File Name,Description,PART NUMBER,"L
0
INDUCTANCE
± 20 %
AT 100 kHz,
0.25 V, 0 A
(μH)","DCR
± 10 %
AT 25 °C
(mΩ)","HEAT
RATING
CURRENT
DC TYP.
(A) (1)","SATURATION
CURRENT
DC TYP.
(A) (2)","SRF
TYP.
(MHz)"
IHLP-2525CZ-06,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series,
10 % DCR Tolerance
FEATURES
• Lowest height (3.0 mm) in this package footprint",IHLP2525CZERR1M06,0.1,1.35,32.5,60.0,400.0
IHLP-2525CZ-06,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series,
10 % DCR Tolerance
FEATURES
• Lowest height (3.0 mm) in this package footprint",IHLP2525CZERR2M06,0.2,2.34,24.0,41.0,150.0
IHLP-2525CZ-06,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series,
10 % DCR Tolerance
FEATURES
• Lowest height (3.0 mm) in this package footprint",IHLP2525CZERR33M06,0.33,3.2,20.0,30.0,100.0
IHLP-2525CZ-06,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series,
10 % DCR Tolerance
FEATURES
• Lowest height (3.0 mm) in this package footprint",IHLP2525CZERR47M06,0.47,3.86,17.5,26.0,75.0
IHLP-2525CZ-06,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series,
10 % DCR Tolerance
FEATURES
• Lowest height (3.0 mm) in this package footprint",IHLP2525CZERR68M06,0.68,5.2,15.5,25.0,62.0
IHLP-2525CZ-06,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series,
10 % DCR Tolerance
FEATURES
• Lowest height (3.0 mm) in this package footprint",IHLP2525CZERR82M06,0.82,7.41,13.0,24.0,60.0
IHLP-2525CZ-06,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series,
10 % DCR Tolerance
FEATURES
• Lowest height (3.0 mm) in this package footprint",IHLP2525CZER1R0M06,1.0,8.0,11.0,22.0,55.0
IHLP-2525CZ-06,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series,
10 % DCR Tolerance
FEATURES
• Lowest height (3.0 mm) in this package footprint",IHLP2525CZER1R5M06,1.5,14.5,9.0,18.0,40.0
IHLP-2525CZ-06,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series,
10 % DCR Tolerance
FEATURES
• Lowest height (3.0 mm) in this package footprint",IHLP2525CZER2R2M06,2.2,17.73,8.0,14.0,38.0
IHLP-2525CZ-06,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series,
10 % DCR Tolerance
FEATURES
• Lowest height (3.0 mm) in this package footprint",IHLP2525CZER3R3M06,3.3,28.21,6.0,13.5,30.0
IHLP-2525CZ-06,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series,
10 % DCR Tolerance
FEATURES
• Lowest height (3.0 mm) in this package footprint",IHLP2525CZER4R7M06,4.7,37.11,5.5,10.0,25.0
IHLP-2525CZ-06,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series,
10 % DCR Tolerance
FEATURES
• Lowest height (3.0 mm) in this package footprint",IHLP2525CZER8R2M06,8.2,61.47,4.0,7.5,17.0
IHLP-2525CZ-06,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series,
10 % DCR Tolerance
FEATURES
• Lowest height (3.0 mm) in this package footprint",IHLP2525CZER100M06,10.0,97.71,3.0,7.0,16.0
