File Name,Description,PART NUMBER,"L
0
INDUCTANCE
± 20 %
AT 1 MHz,
1.0 V, 0 A
(μH)","DCR
25 °C
(mΩ)",,,,"HEAT RATING
CURRENT
DC
(A) (3)",,,,"SATURATION
CURRENT
DC
(A) (4)",,,
IHHP-0806ZH-01,"www.vishay.com Vishay Dale
Low Profile, High Current Inductors
FEATURES
• Composite powdered iron construction
• Miniature size (2.0 x 1.6) and low profile",IHHP0806ZHER000M01,,"TYP,","MAX,","MAX,","MAX,","TYP,","MAX,","MAX,","MAX,","TYP,","MAX,","MAX,","MAX,"
IHHP-0806ZH-01,"www.vishay.com Vishay Dale
Low Profile, High Current Inductors
FEATURES
• Composite powdered iron construction
• Miniature size (2.0 x 1.6) and low profile",IHHP0806ZHERR47M01,0.47,20.0,24.0,4.5,4.7,4.9,24.0,4.5,4.7,5.2,24.0,4.5,4.7
IHHP-0806ZH-01,"www.vishay.com Vishay Dale
Low Profile, High Current Inductors
FEATURES
• Composite powdered iron construction
• Miniature size (2.0 x 1.6) and low profile",IHHP0806ZHER1R0M01,1.0,29.0,35.0,4.0,3.6,4.4,35.0,4.0,3.6,4.0,35.0,4.0,3.6
IHHP-0806ZH-01,"www.vishay.com Vishay Dale
Low Profile, High Current Inductors
FEATURES
• Composite powdered iron construction
• Miniature size (2.0 x 1.6) and low profile",IHHP0806ZHER2R2M01,2.2,75.0,90.0,2.3,2.7,2.6,90.0,2.3,2.7,2.9,90.0,2.3,2.7
