File Name;Image Path;Description;PART NUMBER;COMMON MODE IMPEDANCE AT 100 MHz, ± 20 % (Ω) (1);RATED VOLTAGE (V ) DC;WITHSTANDING VOLTAGE (V ) DC;RATED CURRENT MAX. (mA) (2);DC RESISTANCE MAX. (Ω);INSULATION RESISTANCE MI (MΩ)
ICM-1206;image/small_inductors/34158.png;Surface-Mount Common Mode Choke;ICM1206ER900M;90;50;125;370;0.3;10
ICM-1206;image/small_inductors/34158.png;Surface-Mount Common Mode Choke;ICM1206ER161M;160;50;125;340;0.4;10
ICM-1206;image/small_inductors/34158.png;Surface-Mount Common Mode Choke;ICM1206ER261M;260;50;125;310;0.5;10
ICM-1206;image/small_inductors/34158.png;Surface-Mount Common Mode Choke;ICM1206ER601M;600;50;125;260;0.8;10
ICM-1206;image/small_inductors/34158.png;Surface-Mount Common Mode Choke;ICM1206ER102M;1000;50;125;230;1.0;10
ICM-1206;image/small_inductors/34158.png;Surface-Mount Common Mode Choke;ICM1206ER222M;2200;50;125;200;1.2;10
