File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANC E ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (m);DCR MAX . 25 °C (m);HEAT RATING CURREN T DC TYP. (A) (1);SATURATIO N CURRENT DC TYP. (A) (2);SRF TYP. (MHz)
IHLP-1212AB-A1;image/small_inductors/34528.png;IHLP® Automotive Inductors, High Saturation Series;IHLP1212ABER0R1MA1;0.10;8.98;9.61;10.48;18.92;419
IHLP-1212AB-A1;image/small_inductors/34528.png;IHLP® Automotive Inductors, High Saturation Series;IHLP1212ABER0R15MA1;0.15;11.12;12.14;9.06;13.13;320
IHLP-1212AB-A1;image/small_inductors/34528.png;IHLP® Automotive Inductors, High Saturation Series;IHLP1212ABER0R22MA1;0.22;12.29;13.21;7.93;10.23;251
IHLP-1212AB-A1;image/small_inductors/34528.png;IHLP® Automotive Inductors, High Saturation Series;IHLP1212ABER0R33MA1;0.33;17.58;18.34;6.96;9.32;180
IHLP-1212AB-A1;image/small_inductors/34528.png;IHLP® Automotive Inductors, High Saturation Series;IHLP1212ABER0R47MA1;0.47;26.04;27.39;5.86;8.17;157
IHLP-1212AB-A1;image/small_inductors/34528.png;IHLP® Automotive Inductors, High Saturation Series;IHLP1212ABER1R0MA1;1.0;50.50;53.72;4.13;5.85;86
IHLP-1212AB-A1;image/small_inductors/34528.png;IHLP® Automotive Inductors, High Saturation Series;IHLP1212ABER1R2MA1;1.2;60.16;62.79;3.81;5.61;79
