File Name;Image Path;Description;PART NUMBER;IND. AT 1 kHz (μH);DCR MAX. ();RATED CURRENT MAX. (A);INCREMENTAL CURRENT APPROX. (A)
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER1R0M;1.0;0.013;8.6;4.1
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER1R2M;1.2;0.018;7.6;3.8
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER1R5M;1.5;0.02;6.9;3.5
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER1R8M;1.8;0.021;6.5;3.2
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER2R2M;2.2;0.029;5.7;2.9
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER2R7M;2.7;0.034;5.1;2.6
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER3R3M;3.3;0.038;4.6;2.4
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER3R9M;3.9;0.042;4.3;2.2
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER4R7M;4.7;0.047;4.0;2.0
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER5R6M;5.6;0.051;3.8;1.9
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER6R8M;6.8;0.058;3.5;1.7
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER8R2M;8.2;0.063;3.3;1.5
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER100M;10.0;0.071;3.1;1.4
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER120M;12.0;0.079;2.7;1.3
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER150M;15.0;0.089;2.3;1.2
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER180M;18.0;0.119;1.9;1.1
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER220M;22.0;0.152;1.7;1.02
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER270M;27.0;0.179;1.6;0.95
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER330M;33.0;0.222;1.3;0.88
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER390M;39.0;0.315;1.19;0.8
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER470M;47.0;0.362;1.07;0.74
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER560M;56.0;0.397;0.95;0.68
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER680M;68.0;0.446;0.87;0.62
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER820M;82.0;0.604;0.8;0.56
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER101M;100.0;0.672;0.73;0.5
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER121M;120.0;0.735;0.66;0.45
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER151M;150.0;0.998;0.58;0.4
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER181M;180.0;1.37;0.5;0.35
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER221M;220.0;1.58;0.46;0.32
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER271M;270.0;1.77;0.41;0.3
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER331M;330.0;2.51;0.37;0.28
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER391M;390.0;2.73;0.34;0.26
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER471M;470.0;3.36;0.32;0.24
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER561M;560.0;3.75;0.3;0.23
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER681M;680.0;4.31;0.28;0.2
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER821M;820.0;6.04;0.26;0.17
IHSM-4825;image/small_inductors/34019.png;High Current, Surface Mount Inductors - Wirewound Molded;IHSM4825ER102M;1000.0;6.9;0.24;0.15
