File Name,Description,"IND. AT DCR
TOL. I I
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",56.0,± 15,0.13,1.4,0.97,± 15,0.13,1.4,0.97,± 15,0.13,1.4,0.97,± 15,0.13,1.4,0.97
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",68.0,± 15,0.145,1.3,0.88,± 15,0.145,1.3,0.88,± 15,0.145,1.3,0.88,± 15,0.145,1.3,0.88
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",82.0,± 15,0.152,1.3,0.8,± 15,0.152,1.3,0.8,± 15,0.152,1.3,0.8,± 15,0.152,1.3,0.8
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",100.0,± 15,0.208,1.1,0.73,± 15,0.208,1.1,0.73,± 15,0.208,1.1,0.73,± 15,0.208,1.1,0.73
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",120.0,± 15,0.283,0.94,0.66,± 15,0.283,0.94,0.66,± 15,0.283,0.94,0.66,± 15,0.283,0.94,0.66
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",150.0,± 15,0.33,0.87,0.6,± 15,0.33,0.87,0.6,± 15,0.33,0.87,0.6,± 15,0.33,0.87,0.6
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",180.0,± 15,0.362,0.83,0.54,± 15,0.362,0.83,0.54,± 15,0.362,0.83,0.54,± 15,0.362,0.83,0.54
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",220.0,± 15,0.505,0.7,0.49,± 15,0.505,0.7,0.49,± 15,0.505,0.7,0.49,± 15,0.505,0.7,0.49
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",270.0,± 15,0.557,0.67,0.45,± 15,0.557,0.67,0.45,± 15,0.557,0.67,0.45,± 15,0.557,0.67,0.45
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",330.0,± 15,0.65,0.62,0.4,± 15,0.65,0.62,0.4,± 15,0.65,0.62,0.4,± 15,0.65,0.62,0.4
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",390.0,± 15,0.77,0.57,0.37,± 15,0.77,0.57,0.37,± 15,0.77,0.57,0.37,± 15,0.77,0.57,0.37
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",470.0,± 15,1.03,0.49,0.34,± 15,1.03,0.49,0.34,± 15,1.03,0.49,0.34,± 15,1.03,0.49,0.34
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",560.0,± 15,1.14,0.47,0.31,± 15,1.14,0.47,0.31,± 15,1.14,0.47,0.31,± 15,1.14,0.47,0.31
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",680.0,± 15,1.5,0.41,0.28,± 15,1.5,0.41,0.28,± 15,1.5,0.41,0.28,± 15,1.5,0.41,0.28
