File Name;Image Path;Description;PART NUMBER;IND. (μH);TOL.;TEST FREQ. (MHz);Q MIN.;SRF MIN. (MHz);DCR MAX. (Ω);RATED DC CURRENT (mA) (1)
IMC-2220;image/small_inductors/34127.png;High Frequency, Surface-Mount Molded Inductors;IMC2220ER000M;;;L & Q;;;;
IMC-2220;image/small_inductors/34127.png;High Frequency, Surface-Mount Molded Inductors;IMC2220ER000M;1.0 1.2 1.5 1.8 2.2 2.7 3.3 3.9 4.7 5.6 6.8 8.2 10 12 15 18 22 27 33 39 47 56 68 82 100 120 150 180 220 270 330 390 470 560 680 820 1000 1200 1500 1800 2200 2700 3300 3900 4700 5600 6800 8200 10 000;10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 5 % 5 % 5 % 5 % 5 % 5 % 5 % 5 % 5 % 5 % 5 % 5 %;7.96 7.96 7.96 7.96 7.96 7.96 7.96 7.96 7.96 7.96 7.96 7.96 2.52 2.52 2.52 2.52 2.52 2.52 2.52 2.52 2.52 2.52 2.52 2.52 0.796 0.796 0.796 0.796 0.796 0.796 0.796 0.796 0.796 0.796 0.796 0.796 0.252 0.252 0.252 0.252 0.252 0.252 0.252 0.252 0.252 0.252 0.252 0.252 0.0796;10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 15;95 70 55 47 42 37 34 32 29 26 24 22 19 17 16 14 13 11.5 10.5 9.5 8.5 7.8 7 6.4 6 5.4 4.8 4.4 3.9 3.6 3.2 2.9 2.6 2.4 2.2 2 1.8 1.5 1.4 1.3 1.2 1.1 1 1 0.9 0.8 0.7 0.6 0.5;0.030 0.035 0.040 0.050 0.060 0.070 0.080 0.090 0.110 0.130 0.150 0.180 0.210 0.250 0.300 0.360 0.430 0.520 0.620 0.720 0.850 1.00 1.20 1.40 1.60 1.90 2.20 2.80 3.40 4.20 4.90 5.80 7.00 8.50 10.0 13.0 15.0 17.0 20.0 30.0 35.0 55.0 60.0 70.0 78.0 85.0 110.0 125.0 150.0;1800 1700 1600 1400 1300 1200 1120 1050 950 880 810 750 690 630 580 530 480 440 400 370 340 310 290 270 250 230 210 190 170 155 140 130 120 110 100 90 85 75 70 60 55 45 40 38 36 33 30 28 25
