File Name,Description,PART NUMBER,"L
0
INDUCTANCE
± 20 % AT 100 kHz,
1 V, 0 A
(μH)","DCR
TYP.
25 °C
(m)","DCR
MAX.
25 °C
(m)","HEAT RATING
CURRENT
DC TYP.
(A) (3)","SATURATION
CURRENT
DC TYP.
(A) (4)"
IFLR-4027EZ-01,"www.vishay.com Vishay Dale
Low Profile, High Current Inductors
FEATURES
• Shielded construction
• Frequency range up to 2 MHz",IFLR4027EZER85NM01,0.085,0.38,0.42,50.0,70.0
IFLR-4027EZ-01,"www.vishay.com Vishay Dale
Low Profile, High Current Inductors
FEATURES
• Shielded construction
• Frequency range up to 2 MHz",IFLR4027EZERR10M01,0.1,0.38,0.42,50.0,70.0
IFLR-4027EZ-01,"www.vishay.com Vishay Dale
Low Profile, High Current Inductors
FEATURES
• Shielded construction
• Frequency range up to 2 MHz",IFLR4027EZERR12M01,0.12,0.38,0.42,50.0,52.0
IFLR-4027EZ-01,"www.vishay.com Vishay Dale
Low Profile, High Current Inductors
FEATURES
• Shielded construction
• Frequency range up to 2 MHz",IFLR4027EZERR15M01,0.155,0.38,0.42,50.0,40.0
IFLR-4027EZ-01,"www.vishay.com Vishay Dale
Low Profile, High Current Inductors
FEATURES
• Shielded construction
• Frequency range up to 2 MHz",IFLR4027EZERR22M01,0.22,0.38,0.42,50.0,33.0
