File Name;Image Path;Description;PART NUMBER;MODEL;IND. (μH);IND. TOL.;SCHEMATIC LETTER;DCR MAX. ();MAX. RATED DC CURRENT (A) (1);SATURATING CURRENT (A) (2)
LPE-6855;image/small_inductors/34067.png;Surface Mount Transformers/Inductors,;LPE6855ER000M;LPE6855ER151NU LPE6855ER221NU LPE6855ER331NU LPE6855ER471NU LPE6855ER681NU;150 220 330 470 680;± 30 % ± 30 % ± 30 % ± 30 % ± 30 %;A A A A A;0.28 0.34 0.41 0.49 0.59;0.84 0.76 0.69 0.63 0.57;N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A
LPE-6855;image/small_inductors/34067.png;Surface Mount Transformers/Inductors,;LPE6855ER000M;LPE6855ER102NU LPE6855ER152NU LPE6855ER222NU LPE6855ER332NU LPE6855ER472NU LPE6855ER682NU;1000 1500 2200 3300 4700 6800;± 30 % ± 30 % ± 30 % ± 30 % ± 30 % ± 30 %;A A A A A A;0.72 0.88 1.07 1.31 1.56 1.88;0.52 0.47 0.43 0.39 0.35 0.32;
LPE-6855;image/small_inductors/34067.png;Surface Mount Transformers/Inductors,;LPE6855ER000M;LPE6855ER103NU LPE6855ER153NU LPE6855ER223NU LPE6855ER333NU LPE6855ER473NU LPE6855ER683NU;10 000 15 000 22 000 33 000 47 000 68 000;± 30 % ± 30 % ± 30 % ± 30 % ± 30 % ± 30 %;A A A A A A;7.17 8.78 10.6 13.0 15.5 18.7;0.16 0.15 0.14 0.12 0.11 0.10;
LPE-6855;image/small_inductors/34067.png;Surface Mount Transformers/Inductors,;LPE6855ER000M;LPE6855ER104NU LPE6855ER154NU;100 000 150 000;± 30 % ± 30 %;A A;37.7 46.2;0.07 0.06;
LPE-6855;image/small_inductors/34067.png;Surface Mount Transformers/Inductors,;LPE6855ER000M;LPE6855ER100MG LPE6855ER150MG LPE6855ER220MG LPE6855ER330MG LPE6855ER470MG LPE6855ER680MG;10 15 22 33 47 68;± 20 % ± 20 % ± 20 % ± 20 % ± 20 % ± 20 %;B B B B B B;0.02 0.03 0.04 0.05 0.08 0.12;3.21 2.90 2.64 2.12 1.73 1.41;3.375 2.790 2.325 1.910 1.610 1.350 1.120 0.915 0.757 0.620 0.520 0.433 0.358 0.292 0.242 0.197 0.166
LPE-6855;image/small_inductors/34067.png;Surface Mount Transformers/Inductors,;LPE6855ER000M;LPE6855ER101MG LPE6855ER151MG LPE6855ER221MG LPE6855ER331MG LPE6855ER471MG LPE6855ER681MG;100 150 220 330 470 680;± 20 % ± 20 % ± 20 % ± 20 % ± 20 % ± 20 %;B C D D D E;0.15 0.23 0.35 0.55 0.82 1.23;1.28 1.02 0.83 0.67 0.54 0.45;
LPE-6855;image/small_inductors/34067.png;Surface Mount Transformers/Inductors,;LPE6855ER000M;LPE6855ER102MG LPE6855ER152MG LPE6855ER222MG LPE6855ER332MG LPE6855ER472MG;1000 1500 2200 3300 4700;± 20 % ± 20 % ± 20 % ± 20 % ± 20 %;E E E E E;1.89 2.90 4.50 5.50 8.30;0.36 0.29 0.23 0.21 0.17;
