File Name,Description,PART NUMBER,"L INDUCTANCE
O
± 30 % AT 100 kHz,
0.25 V, 0 A
(μH)","COMMON MODE
IMPEDANCE
AT 10 MHz, TYP.
(Ω)","DC
RESISTANCE
MAX.
(Ω)","HEAT RATING
CURRENT
TYPICAL (EST.)
(A ) (1)
DC","SATURATION
CURRENT
AT 25 °C TYP.
(A ) (2)
DC","LEAKAG
MAX.
(μH)"
IHCM-2321AA-10,"www.vishay.com Vishay Custom Magnetics
Surface-Mount, Common Mode Choke
FEATURES
• Low SMD profile design compatible with
automated pick and place assembly",IHCM2321AAEG900N10,90.0,380.0,0.0015,31.0,35.0,2.5
IHCM-2321AA-10,"www.vishay.com Vishay Custom Magnetics
Surface-Mount, Common Mode Choke
FEATURES
• Low SMD profile design compatible with
automated pick and place assembly",IHCM2321AAEG121N10,120.0,480.0,0.0018,25.0,28.0,3.5
IHCM-2321AA-10,"www.vishay.com Vishay Custom Magnetics
Surface-Mount, Common Mode Choke
FEATURES
• Low SMD profile design compatible with
automated pick and place assembly",IHCM2321AAEG251N10,250.0,850.0,0.005,14.0,19.0,7.5
IHCM-2321AA-10,"www.vishay.com Vishay Custom Magnetics
Surface-Mount, Common Mode Choke
FEATURES
• Low SMD profile design compatible with
automated pick and place assembly",IHCM2321AAEG301N10,300.0,900.0,0.007,10.0,17.0,8.0
IHCM-2321AA-10,"www.vishay.com Vishay Custom Magnetics
Surface-Mount, Common Mode Choke
FEATURES
• Low SMD profile design compatible with
automated pick and place assembly",IHCM2321AAEG481N10,480.0,1200.0,0.0125,8.0,13.0,14.0
