File Name;Image Path;Description;PART NUMBER;L INDUCTANCE ± 20 % 0 AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2);SRF TY (MHz
IHLD-2525GG-5A;image/small_inductors/34556.png;High Current, Dual Inductor;IHLD2525GGER1R0M5A;1.0;7.4;7.95;13.0;12.3;56.7
IHLD-2525GG-5A;image/small_inductors/34556.png;High Current, Dual Inductor;IHLD2525GGER4R7M5A;4.7;35.7;38.20;5.4;4.2;26.7
IHLD-2525GG-5A;image/small_inductors/34556.png;High Current, Dual Inductor;IHLD2525GGER100M5A;10;62.0;66.34;4.1;3.6;16.6
IHLD-2525GG-5A;image/small_inductors/34556.png;High Current, Dual Inductor;IHLD2525GGER150M5A;15;89.5;95.80;3.2;3.0;15.1
IHLD-2525GG-5A;image/small_inductors/34556.png;High Current, Dual Inductor;IHLD2525GGER220M5A;22;154.0;164.80;2.2;2.5;10.9
