Series▲▼,Product Image,Configuration▲▼,Package▲▼,Ch▲▼,VDS(V)▲▼,VGS(V)▲▼,RDS(on)@1.2V(Ω)▲▼,RDS(on)1.5V(Ω)▲▼,RDS(on)@1.8V(Ω)▲▼,RDS(on)@2.5V(Ω)▲▼,RDS(on)@3V(Ω)▲▼,RDS(on)@4.5V(Ω)▲▼,RDS(on)@6V(Ω)▲▼,RDS(on)@7.5V(Ω)▲▼,RDS(on)@10V(Ω)▲▼,Qg@4.5V(nC)▲▼,Qg@10V(nC)▲▼,Qgs(nC)▲▼,Qgd(nC)▲▼,IDMax.(A)▲▼,PDMax.(W)▲▼,VGS(th)Min.(V)▲▼,RgTyp.(Ω)▲▼,Image path
2N7002K,Enlarge,Single,SOT-23,N,60,20,,,,,,4,,,2,0.4,,,,0.3,0.35,1,,image/mosfets/71333.png
IRF510,Enlarge,Single,TO-220AB,N,100,20,,,,,,,,,0.54,,8.3,2.3,3.8,5.6,43,2,,image/mosfets/91015.png
"IRF510S, SiHF510S",Enlarge,Single,D2PAK (TO-263),N,100,20,,,,,,,,,0.54,,8.3,2.3,3.8,5.6,43,2,,image/mosfets/91016.png
IRF520,Enlarge,Single,TO-220AB,N,100,20,,,,,,,,,0.27,,16,4.4,7.7,9.2,60,2,,image/mosfets/91017.png
"IRF520S, SiHF520S",Enlarge,Single,D2PAK (TO-263),N,100,20,,,,,,,,,0.27,,16,4.4,7.7,9.2,60,2,,image/mosfets/91018.png
IRF530,Enlarge,Single,TO-220AB,N,100,20,,,,,,,,,0.16,,26,5.5,11,14,88,2,,image/mosfets/91019.png
"IRF530S, SiHF530S",Enlarge,Single,D2PAK (TO-263),N,100,20,,,,,,,,,0.16,,26,5.5,11,14,88,2,,image/mosfets/91020.png
IRF540,Enlarge,Single,TO-220AB,N,100,20,,,,,,,,,0.077,,72,11,32,28,150,2,,image/mosfets/91021.png
"IRF540S, SiHF540S",Enlarge,Single,D2PAK (TO-263),N,100,20,,,,,,,,,0.077,,72,11,32,28,150,2,,image/mosfets/91022.png
IRF610,Enlarge,Single,TO-220AB,N,200,20,,,,,,,,,1.5,,8.2,1.8,4.5,3.3,36,2,,image/mosfets/91023.png
"IRF610S, SiHF610S, IRF610L, SiHF610L",Enlarge,Single,D2PAK (TO-263),N,200,20,,,,,,,,,1.5,,8.2,1.8,4.5,3.3,36,2,,image/mosfets/91024.png
IRF620,Enlarge,Single,TO-220AB,N,200,20,,,,,,,,,0.8,,14,3,7.9,5.2,50,2,,image/mosfets/91027.png
"IRF620S, SiHF620S",Enlarge,Single,D2PAK (TO-263),N,200,20,,,,,,,,,0.8,,14,3,7.9,5.2,50,2,,image/mosfets/91028.png
IRF630,Enlarge,Single,TO-220AB,N,200,20,,,,,,,,,0.4,,43,7,23,9,74,2,,image/mosfets/91031.png
"IRF630S, SiHF630S",Enlarge,Single,D2PAK (TO-263),N,200,20,,,,,,,,,0.4,,43,7,23,9,74,2,,image/mosfets/91032.png
IRF634,Enlarge,Single,TO-220AB,N,250,20,,,,,,,,,0.45,,41,6.5,22,8.1,74,2,,image/mosfets/91034.png
"IRF634S, SiHF634S",Enlarge,Single,D2PAK (TO-263),N,250,20,,,,,,,,,0.45,,41,6.5,22,8.1,74,2,,image/mosfets/91035.png
"IRF640, SiHF640",Enlarge,Single,TO-220AB,N,200,20,,,,,,,,,0.18,,70,13,39,18,125,2,,image/mosfets/91036.png
"IRF640S, SiHF640S, SiHF640L",Enlarge,Single,D2PAK (TO-263),N,200,20,,,,,,,,,0.18,,70,13,39,18,130,2,,image/mosfets/91037.png
"IRF640S, SiHF640S, SiHF640L",Enlarge,Single,I2PAK (TO-262),N,200,20,,,,,,,,,0.18,,70,13,39,18,130,2,,image/mosfets/91037.png
IRF644,Enlarge,Single,TO-220AB,N,250,20,,,,,,,,,0.28,,68,11,35,14,125,2,,image/mosfets/91039.png
"IRF644S, SiHF644S",Enlarge,Single,D2PAK (TO-263),N,250,20,,,,,,,,,0.28,,68,11,35,14,125,2,,image/mosfets/91040.png
IRF710,Enlarge,Single,TO-220AB,N,400,20,,,,,,,,,3.6,,17,3.4,8.5,2,36,2,,image/mosfets/91041.png
"IRF710S, SiHF710S",Enlarge,Single,D2PAK (TO-263),N,400,20,,,,,,,,,3.6,,17,3.4,8.5,2,36,2,,image/mosfets/91042.png
IRF720,Enlarge,Single,TO-220AB,N,400,20,,,,,,,,,1.8,,20,3.3,11,3.3,50,2,,image/mosfets/91043.png
"IRF720S, SiHF720S, IRF720L, SiHF720L",Enlarge,Single,I2PAK (TO-262),N,400,20,,,,,,,,,1.8,,20,3.3,11,3.3,50,2,,image/mosfets/91044.png
"IRF720S, SiHF720S, IRF720L, SiHF720L",Enlarge,Single,D2PAK (TO-263),N,400,20,,,,,,,,,1.8,,20,3.3,11,3.3,50,2,,image/mosfets/91044.png
IRF730,Enlarge,Single,TO-220AB,N,400,20,,,,,,,,,1,,38,5.7,22,5.5,74,2,,image/mosfets/91047.png
IRF730A,Enlarge,Single,TO-220AB,N,400,30,,,,,,,,,1,,22,5.8,9.3,5.5,74,2,,image/mosfets/91045.png
"IRF730AS, SiHF730AS, IRF730AL, SiHF730AL",Enlarge,Single,I2PAK (TO-262),N,400,30,,,,,,,,,1,,22,5.8,9.3,5.5,74,2,,image/mosfets/91046.png
"IRF730AS, SiHF730AS, IRF730AL, SiHF730AL",Enlarge,Single,D2PAK (TO-263),N,400,30,,,,,,,,,1,,22,5.8,9.3,5.5,74,2,,image/mosfets/91046.png
"IRF730S, SiHF730S",Enlarge,Single,D2PAK (TO-263),N,400,20,,,,,,,,,1,,38,5.7,22,5.5,74,2,,image/mosfets/91048.png
IRF740,Enlarge,Single,TO-220AB,N,400,20,,,,,,,,,0.55,,63,9,32,10,125,2,,image/mosfets/91054.png
IRF740A,Enlarge,Single,TO-220AB,N,400,30,,,,,,,,,0.55,,36,9.9,16,10,125,2,,image/mosfets/91051.png
"IRF740AS, SiHF740AS, IRF740AL, SiHF740AL",Enlarge,Single,I2PAK (TO-262),N,400,30,,,,,,,,,0.55,,36,9.9,16,10,3.1,2,,image/mosfets/91052.png
"IRF740AS, SiHF740AS, IRF740AL, SiHF740AL",Enlarge,Single,D2PAK (TO-263),N,400,30,,,,,,,,,0.55,,36,9.9,16,10,3.1,2,,image/mosfets/91052.png
IRF740LC,Enlarge,Single,TO-220AB,N,400,30,,,,,,,,,0.55,,39,10,19,10,125,2,,image/mosfets/91053.png
"IRF740S, SiHF740S",Enlarge,Single,D2PAK (TO-263),N,400,20,,,,,,,,,0.55,,63,9,32,10,125,2,,image/mosfets/91055.png
IRF820,Enlarge,Single,TO-220AB,N,500,20,,,,,,,,,3,,24,3.3,13,2.5,50,2,,image/mosfets/91059.png
IRF820A,Enlarge,Single,TO-220AB,N,500,30,,,,,,,,,3,,17,4.3,8.5,2.5,50,2,,image/mosfets/91057.png
"IRF820AS, SiHF820AS, IRF820AL, SiHF820AL",Enlarge,Single,I2PAK (TO-262),N,500,30,,,,,,,,,3,,17,4.3,8.5,2.5,50,2,,image/mosfets/91058.png
"IRF820AS, SiHF820AS, IRF820AL, SiHF820AL",Enlarge,Single,D2PAK (TO-263),N,500,30,,,,,,,,,3,,17,4.3,8.5,2.5,50,2,,image/mosfets/91058.png
IRF830,Enlarge,Single,TO-220AB,N,500,20,,,,,,,,,1.5,,38,5,22,4.5,74,2,,image/mosfets/91063.png
IRF830A,Enlarge,Single,TO-220AB,N,500,30,,,,,,,,,1.4,,24,6.3,11,5,74,2,,image/mosfets/91061.png
"IRF830AS, IRF830AL, SiHF830AS, SiHF830AL",Enlarge,Single,D2PAK (TO-263),N,500,30,,,,,,,,,1.4,,24,6.3,11,5,3.1,2,,image/mosfets/91062.png
"IRF830AS, IRF830AL, SiHF830AS, SiHF830AL",Enlarge,Single,I2PAK (TO-262),N,500,30,,,,,,,,,1.4,,24,6.3,11,5,3.1,2,,image/mosfets/91062.png
"IRF830S, SiHF830S, IRF830L, SiHF830L",Enlarge,Single,I2PAK (TO-262),N,500,20,,,,,,,,,1.5,,38,5,22,4.5,74,2,,image/mosfets/91064.png
"IRF830S, SiHF830S, IRF830L, SiHF830L",Enlarge,Single,D2PAK (TO-263),N,500,20,,,,,,,,,1.5,,38,5,22,4.5,74,2,,image/mosfets/91064.png
IRF840A,Enlarge,Single,TO-220AB,N,500,30,,,,,,,,,0.85,,38,9,18,8,125,2,,image/mosfets/91065.png
"IRF840AS, SiHF840AS, IRF840AL, SiHF840AL",Enlarge,Single,I2PAK (TO-262),N,500,30,,,,,,,,,0.85,,38,9,18,8,125,2,,image/mosfets/91066.png
"IRF840AS, SiHF840AS, IRF840AL, SiHF840AL",Enlarge,Single,D2PAK (TO-263),N,500,30,,,,,,,,,0.85,,38,9,18,8,125,2,,image/mosfets/91066.png
"IRF840L, SiHF840L",Enlarge,Single,I2PAK (TO-262),N,500,20,,,,,,,,,0.85,,63,9.3,32,8,125,2,,image/mosfets/91069.png
IRF840LC,Enlarge,Single,TO-220AB,N,500,30,,,,,,,,,0.85,,39,10,19,8,125,2,,image/mosfets/91067.png
"IRF840LCS, IRF840LCL, SiHF840LCS,  SiHF840LCL",Enlarge,Single,I2PAK (TO-262),N,500,30,,,,,,,,,0.85,,39,10,19,8,125,2,,image/mosfets/91068.png
"IRF840LCS, IRF840LCL, SiHF840LCS,  SiHF840LCL",Enlarge,Single,D2PAK (TO-263),N,500,30,,,,,,,,,0.85,,39,10,19,8,125,2,,image/mosfets/91068.png
"IRF840S, SiHF840S",Enlarge,Single,D2PAK (TO-263),N,500,20,,,,,,,,,0.85,,63,9.3,32,8,125,2,,image/mosfets/91071.png
IRF9510,Enlarge,Single,TO-220AB,P,-100,20,,,,,,,,,1.2,,8.7,2.2,4.1,-4,43,-2,,image/mosfets/91072.png
"IRF9510S, SiHF9510S",Enlarge,Single,D2PAK (TO-263),P,-100,20,,,,,,,,,1.2,,8.7,2.2,4.1,-4,43,-2,,image/mosfets/91073.png
IRF9520,Enlarge,Single,TO-220AB,P,-100,20,,,,,,,,,0.6,,18,3,9,-6.8,60,-2,,image/mosfets/91074.png
"IRF9520S, SiHF9520S",Enlarge,Single,D2PAK (TO-263),P,-100,20,,,,,,,,,0.6,,18,3,9,-6.8,60,-2,,image/mosfets/91075.png
IRF9530,Enlarge,Single,TO-220AB,P,-100,20,,,,,,,,,0.3,,38,6.8,21,-12,88,-2,,image/mosfets/91076.png
"IRF9530S, SiHF9530S",Enlarge,Single,D2PAK (TO-263),P,-100,20,,,,,,,,,0.3,,38,6.8,21,-12,88,-2,,image/mosfets/91077.png
IRF9540,Enlarge,Single,TO-220AB,P,-100,20,,,,,,,,,0.2,,61,14,29,-19,150,-2,,image/mosfets/91078.png
"IRF9540S, SiHF9540S",Enlarge,Single,D2PAK (TO-263),P,-100,20,,,,,,,,,0.2,,61,14,29,-19,150,-2,,image/mosfets/91079.png
IRF9610,Enlarge,Single,TO-220AB,P,-200,20,,,,,,,,,3,,11,7,4,-1.8,20,-2,,image/mosfets/91080.png
"IRF9610S, SiHF9610S",Enlarge,Single,D2PAK (TO-263),P,-200,20,,,,,,,,,3,,11,7,4,-1.8,20,-2,,image/mosfets/91081.png
IRF9620,Enlarge,Single,TO-220AB,P,-200,20,,,,,,,,,1.5,,22,12,10,-3.5,40,-2,,image/mosfets/91082.png
"IRF9620S, SiHF9620S",Enlarge,Single,D2PAK (TO-263),P,-200,20,,,,,,,,,1.5,,22,12,10,-3.5,40,-2,,image/mosfets/91083.png
IRF9630,Enlarge,Single,TO-220AB,P,-200,20,,,,,,,,,0.8,,29,5.4,15,-6.5,74,-2,,image/mosfets/91084.png
"IRF9630S, SiHF9630S",Enlarge,Single,D2PAK (TO-263),P,-200,20,,,,,,,,,0.8,,29,5.4,15,-6.5,74,-2,,image/mosfets/91085.png
IRF9640,Enlarge,Single,TO-220AB,P,-200,20,,,,,,,,,0.5,,44,7.1,27,-11,125,-2,,image/mosfets/91086.png
"IRF9640S, SiHF9640S, IRF9640L, SiHF9640L",Enlarge,Single,I2PAK (TO-262),P,-200,20,,,,,,,,,0.5,,44,7.1,27,-11,125,-2,,image/mosfets/91087.png
"IRF9640S, SiHF9640S, IRF9640L, SiHF9640L",Enlarge,Single,D2PAK (TO-263),P,-200,20,,,,,,,,,0.5,,44,7.1,27,-11,125,-2,,image/mosfets/91087.png
IRF9Z10,Enlarge,Single,TO-220AB,P,-60,20,,,,,,,,,0.5,,12,3.8,5.1,-6.7,43,-2,,image/mosfets/90118.png
IRF9Z14,Enlarge,Single,TO-220AB,P,-60,20,,,,,,,,,0.5,,12,3.8,5.1,-6.7,43,-2,,image/mosfets/91088.png
"IRF9Z14S, SiHF9Z14S, IRF9Z14L, SiHF9Z14L",Enlarge,Single,I2PAK (TO-262),P,-60,20,,,,,,,,,0.5,,12,3.8,5.1,-6.7,43,-2,,image/mosfets/91089.png
"IRF9Z14S, SiHF9Z14S, IRF9Z14L, SiHF9Z14L",Enlarge,Single,D2PAK (TO-263),P,-60,20,,,,,,,,,0.5,,12,3.8,5.1,-6.7,43,-2,,image/mosfets/91089.png
"IRF9Z20, SiHF9Z20",Enlarge,Single,TO-220AB,P,-50,20,,,,,,,,,0.28,,26,6.2,8.6,-9.7,40,2,,image/mosfets/90121.png
IRF9Z24,Enlarge,Single,TO-220AB,P,-60,20,,,,,,,,,0.28,,19,5.4,11,-11,60,-2,,image/mosfets/91090.png
"IRF9Z24S, SiHF9Z24S",Enlarge,Single,D2PAK (TO-263),P,-60,20,,,,,,,,,0.28,,19,5.4,11,-11,60,2,,image/mosfets/91091.png
IRF9Z30,Enlarge,Single,TO-220AB,P,-50,20,,,,,,,,,0.14,,26,6.9,9.7,-18,74,-2,,image/mosfets/91459.png
IRF9Z34,Enlarge,Single,TO-220AB,P,-60,20,,,,,,,,,0.14,,34,9.9,16,-18,88,-2,,image/mosfets/91092.png
"IRF9Z34S, SiHF9Z34S",Enlarge,Single,D2PAK (TO-263),P,-60,20,,,,,,,,,0.14,,34,9.9,16,-18,88,-2,,image/mosfets/91093.png
IRFB11N50A,Enlarge,Single,TO-220,N,500,30,,,,,,,,,0.52,,52,13,18,11,170,2,,image/mosfets/91094.png
IRFB9N60A,Enlarge,Single,TO-220AB,N,600,30,,,,,,,,,0.75,,49,13,20,9.2,170,2,,image/mosfets/91103.png
IRFBC20,Enlarge,Single,TO-220AB,N,600,20,,,,,,,,,4.4,,18,3,8.9,2.2,50,2,,image/mosfets/91106.png
"IRFBC20S, SiHFBC20S, IRFBC20L, SiHFBC20L",Enlarge,Single,I2PAK (TO-262),N,600,20,,,,,,,,,4.4,,18,3,8.9,2.2,3.1,2,,image/mosfets/91107.png
"IRFBC20S, SiHFBC20S, IRFBC20L, SiHFBC20L",Enlarge,Single,D2PAK (TO-263),N,600,20,,,,,,,,,4.4,,18,3,8.9,2.2,3.1,2,,image/mosfets/91107.png
IRFBC30A,Enlarge,Single,TO-220AB,N,600,30,,,,,,,,,2.2,,23,5.4,11,3.6,74,2,,image/mosfets/91108.png
"IRFBC30AS, SiHFBC30AS, IRFBC30AL, SiHFBC30AL",Enlarge,Single,I2PAK (TO-262),N,600,30,,,,,,,,,2.2,,23,5.4,11,3.6,74,2,,image/mosfets/91109.png
"IRFBC30AS, SiHFBC30AS, IRFBC30AL, SiHFBC30AL",Enlarge,Single,D2PAK (TO-263),N,600,30,,,,,,,,,2.2,,23,5.4,11,3.6,74,2,,image/mosfets/91109.png
IRFBC40,Enlarge,Single,TO-220AB,N,600,20,,,,,,,,,1.2,,60,8.3,30,6.2,125,2,,image/mosfets/91115.png
IRFBC40A,Enlarge,Single,TO-220AB,N,600,30,,,,,,,,,1.2,,42,10,20,6.2,125,2,,image/mosfets/91112.png
"IRFBC40AS, SiHFBC40AS",Enlarge,Single,D2PAK (TO-263),N,600,30,,,,,,,,,1.2,,42,10,20,6.2,125,2,,image/mosfets/91113.png
IRFBC40LC,Enlarge,Single,TO-220AB,N,600,30,,,,,,,,,1.2,,39,10,19,6.2,125,2,,image/mosfets/91114.png
"IRFBC40S, SiHFBC40S, IRFBC40L, SiHFBC40L",,Single,I2PAK (TO-262),N,600,20,,,,,,,,,1.2,,60,8.3,30,6.2,130,2,,image/mosfets/91117.png
"IRFBC40S, SiHFBC40S, IRFBC40L, SiHFBC40L",,Single,D2PAK (TO-263),N,600,20,,,,,,,,,1.2,,60,8.3,30,6.2,130,2,,image/mosfets/91118.png
IRFBE20,Enlarge,Single,TO-220AB,N,800,20,,,,,,,,,6.5,,38,5,21,1.8,54,2,,image/mosfets/91119.png
IRFBE30,Enlarge,Single,TO-220AB,N,800,20,,,,,,,,,3,,78,9.6,45,4.1,125,2,,image/mosfets/91119.png
"IRFBE30S, SiHFBE30S, IRFBE30L, SiHFBE30L",Enlarge,Single,D2PAK (TO-263),N,800,20,,,,,,,,,3,,78,9.6,45,4.1,125,2,,image/mosfets/91120.png
"IRFBE30S, SiHFBE30S, IRFBE30L, SiHFBE30L",Enlarge,Single,I2PAK (TO-262),N,800,20,,,,,,,,,3,,78,9.6,45,4.1,125,2,,image/mosfets/91122.png
IRFBF20,Enlarge,Single,TO-220AB,N,900,20,,,,,,,,,8,,38,4.7,21,1.7,54,2,,image/mosfets/91123.png
"IRFBF20S, SiHFBF20S, IRFBF20L, SiHFBF20L",,Single,I2PAK (TO-262),N,900,20,,,,,,,,,8,,38,4.7,21,1.7,54,2,,image/mosfets/91124.png
"IRFBF20S, SiHFBF20S, IRFBF20L, SiHFBF20L",,Single,D2PAK (TO-263),N,900,20,,,,,,,,,8,,38,4.7,21,1.7,54,2,,image/mosfets/90178.png
IRFBF30,Enlarge,Single,TO-220AB,N,900,20,,,,,,,,,3.7,,78,10,42,3.6,125,2,,image/mosfets/90180.png
IRFBG20,Enlarge,Single,TO-220AB,N,1000,20,,,,,,,,,11,,38,4.9,22,1.4,54,2,,image/mosfets/91144.png
IRFBG30,Enlarge,Single,TO-220AB,N,1000,20,,,,,,,,,5,,80,10,42,3.1,125,2,,image/mosfets/91146.png
IRFI510G,Enlarge,Single,TO-220 FULLPAK,N,100,20,,,,,,,,,0.54,,8.3,2.3,3.8,4.5,27,2,,image/mosfets/91148.png
IRFI530G,Enlarge,Single,TO-220 FULLPAK,N,100,20,,,,,,,,,0.16,,33,5.4,15,9.7,42,2,,image/mosfets/91150.png
IRFI540G,Enlarge,Single,TO-220 FULLPAK,N,100,20,,,,,,,,,0.077,,72,11,32,17,48,2,,image/mosfets/91151.png
IRFI620G,Enlarge,Single,TO-220 FULLPAK,N,200,20,,,,,,,,,0.8,,14,3,7.9,4.1,30,2,,image/mosfets/91152.png
IRFI630G,Enlarge,Single,TO-220 FULLPAK,N,200,20,,,,,,,,,0.4,,43,7,23,5.9,35,2,,image/mosfets/91153.png
IRFI640G,Enlarge,Single,TO-220 FULLPAK,N,200,20,,,,,,,,,0.18,,70,13,39,9.8,40,2,,image/mosfets/91156.png
IRFI644G,Enlarge,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/91160.png
IRFI720G,Enlarge,Single,TO-220 FULLPAK,N,400,20,,,,,,,,,1.8,,20,3.3,11,2.6,30,2,,image/mosfets/91162.png
IRFI730G,Enlarge,Single,TO-220 FULLPAK,N,400,20,,,,,,,,,1,,38,5.7,22,3.7,35,2,,image/mosfets/91163.png
IRFI740G,Enlarge,Single,TO-220 FULLPAK,N,400,20,,,,,,,,,0.55,,66,10,33,5.4,40,2,,image/mosfets/91164.png
IRFI840G,,Single,TO-220 FULLPAK,N,500,20,,,,,,,,,0.85,,67,10,34,4.6,40,2,,image/mosfets/91165.png
IRFI840GLC,Enlarge,Single,TO-220 FULLPAK,N,500,30,,,,,,,,,0.85,,39,10,19,4.5,40,2,,image/mosfets/91166.png
IRFI9520G,Enlarge,Single,TO-220 FULLPAK,P,-100,20,,,,,,,,,0.6,,18,3,9,-5.2,37,-2,,image/mosfets/91167.png
IRFI9530G,Enlarge,Single,TO-220 FULLPAK,P,-100,20,,,,,,,,,0.3,,38,6.8,21,-7.7,42,-2,,image/mosfets/91168.png
IRFI9540G,Enlarge,Single,TO-220 FULLPAK,P,-100,20,,,,,,,,,0.2,,61,14,29,-11,48,-2,,image/mosfets/91169.png
IRFI9610G,Enlarge,Single,TO-220 FULLPAK,P,-200,20,,,,,,,,,3,,13,3.2,7.3,-2,27,-2,,image/mosfets/91170.png
IRFI9620G,Enlarge,Single,TO-220 FULLPAK,P,-200,20,,,,,,,,,1.5,,15,3.2,8.4,-3,30,-2,,image/mosfets/91171.png
IRFI9630G,Enlarge,Single,TO-220 FULLPAK,P,-200,20,,,,,,,,,0.8,,29,5.4,15,-4.3,35,-2,,image/mosfets/91172.png
IRFI9634G,Enlarge,Single,TO-220 FULLPAK,P,-250,20,,,,,,,,,1,,38,8,18,-4.1,35,-2,,image/mosfets/91175.png
IRFI9640G,Enlarge,Single,TO-220 FULLPAK,P,-200,20,,,,,,,,,0.5,,44,7.1,27,-6.1,40,-2,,image/mosfets/91176.png
IRFI9Z14G,Enlarge,Single,TO-220 FULLPAK,P,-60,20,,,,,,,,,0.5,,12,3.8,5.1,-5.3,27,-2,,image/mosfets/91179.png
IRFI9Z24G,Enlarge,Single,TO-220 FULLPAK,P,-60,20,,,,,,,,,0.28,,19,5.4,11,-8.5,37,-2,,image/mosfets/91181.png
IRFI9Z34G,Enlarge,Single,TO-220 FULLPAK,P,-60,20,,,,,,,,,0.14,,34,9.9,16,-12,42,-2,,image/mosfets/91183.png
IRFIB6N60A,Enlarge,Single,TO-220 FULLPAK,N,600,30,,,,,,,,,0.75,,49,13,20,5.5,60,2,,image/mosfets/91185.png
IRFIB7N50A,Enlarge,Single,TO-220 FULLPAK,N,500,30,,,,,,,,,0.52,,52,13,18,6.6,60,2,,image/mosfets/91186.png
IRFIBC20G,Enlarge,Single,TO-220 FULLPAK,N,600,20,,,,,,,,,4.4,,18,3,8.9,1.7,30,2,,image/mosfets/90224.png
IRFIBC40GLC,Enlarge,Single,TO-220 FULLPAK,N,600,20,,,,,,,,,1.2,,39,10,19,3.5,40,2,,image/mosfets/91187.png
IRFIBE20G,Enlarge,Single,TO-220 FULLPAK,N,800,20,,,,,,,,,6.5,,38,5,21,1.4,30,2,,image/mosfets/91189.png
IRFIBE30G,,Single,TO-220 FULLPAK,N,800,20,,,,,,,,,3,,78,9.6,45,2.1,35,2,,image/mosfets/91191.png
IRFIBF20G,Enlarge,Single,TO-220 FULLPAK,N,900,20,,,,,,,,,8,,38,4.7,21,1.2,30,2,,image/mosfets/91192.png
IRFIBF30G,Enlarge,Single,TO-220 FULLPAK,N,900,20,,,,,,,,,3.7,,78,10,42,1.9,35,2,,image/mosfets/91193.png
IRFIZ14G,Enlarge,Single,TO-220 FULLPAK,N,60,20,,,,,,,,,0.2,,11,3.1,5.8,8,27,2,,image/mosfets/91195.png
IRFIZ24G,Enlarge,Single,TO-220 FULLPAK,N,60,20,,,,,,,,,0.1,,25,5.8,11,14,37,2,,image/mosfets/91196.png
IRFIZ44G,Enlarge,Single,TO-220 FULLPAK,N,60,20,,,,,,,,,0.028,,95,27,46,30,48,2,,image/mosfets/91198.png
IRFIZ48G,,Single,TO-220 FULLPAK,N,60,20,,,,,,,,,0.018,,110,29,36,37,50,2,,image/mosfets/91199.png
"IRFL014, SiHFL014",Enlarge,Single,SOT-223,N,60,20,,,,,,,,,0.2,,11,3.1,5.8,2.7,3.1,2,,image/mosfets/91200.png
"IRFL110, SiHFL110",Enlarge,Single,SOT-223,N,100,20,,,,,,,,,0.54,,8.3,2.3,3.8,1.5,3.1,2,,image/mosfets/91201.png
"IRFL210, SiHFL210",Enlarge,Single,SOT-223,N,200,20,,,,,,,,,1.5,,8.2,1.8,4.5,0.96,3.1,2,,image/mosfets/91202.png
"IRFL9014, SiHFL9014",Enlarge,Single,SOT-223,P,-60,20,,,,,,,,,0.5,,12,3.8,5.1,-1.8,3.1,-2,,image/mosfets/91203.png
"IRFL9110, SiHFL9110",Enlarge,Single,SOT-223,P,-100,20,,,,,,,,,1.2,,8.7,2.2,4.1,-1.1,3.1,-2,,image/mosfets/91207.png
IRFP048,Enlarge,Single,TO-247AC,N,60,20,,,,,,,,,0.018,,110,29,38,70,190,2,,image/mosfets/91210.png
"IRFP048R, SiHFP048R",Enlarge,Single,TO-247AC,N,60,20,,,,,,,,,0.018,,110,29,38,70,190,2,,image/mosfets/91211.png
IRFP054,Enlarge,Single,TO-247AC,N,60,20,,,,,,,,,0.014,,160,48,54,70,230,2,,image/mosfets/91212.png
IRFP064,Enlarge,Single,TO-247AC,N,60,20,,,,,,,,,0.009,,190,55,90,70,300,2,,image/mosfets/91214.png
IRFP140,Enlarge,Single,TO-247AC,N,100,20,,,,,,,,,0.077,,72,11,32,31,180,2,,image/mosfets/91215.png
IRFP150,Enlarge,Single,TO-247AC,N,100,20,,,,,,,,,0.055,,140,29,68,41,230,2,,image/mosfets/91217.png
IRFP22N50A,Enlarge,Single,TO-247AC,N,500,30,,,,,,,,,0.23,,120,32,52,22,277,2,,image/mosfets/91225.png
IRFP240,Enlarge,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/90292.png
IRFP244,Enlarge,Single,TO-247AC,N,250,20,,,,,,,,,0.28,,63,12,39,15,150,2,,image/mosfets/91228.png
IRFP250,Enlarge,Single,TO-247AC,N,200,20,,,,,,,,,0.085,,140,28,74,30,190,2,,image/mosfets/91233.png
IRFP254,Enlarge,Single,TO-247AC,N,250,20,,,,,,,,,0.14,,140,24,71,23,190,2,,image/mosfets/91230.png
IRFP260,Enlarge,Single,TO-247AC,N,200,20,,,,,,,,,0.055,,230,42,110,46,280,2,,image/mosfets/91231.png
IRFP264,Enlarge,Single,TO-247AC,N,250,20,,,,,,,,,0.075,,210,35,98,38,280,2,,image/mosfets/91237.png
IRFP350,Enlarge,Single,TO-247AC,N,400,20,,,,,,,,,0.3,,150,23,80,16,190,2,,image/mosfets/91234.png
IRFP360,Enlarge,Single,TO-247AC,N,400,20,,,,,,,,,0.2,,210,30,110,23,280,2,,image/mosfets/91235.png
IRFP440,Enlarge,Single,TO-247AC,N,500,20,,,,,,,,,0.85,,63,11,30,8.8,150,2,,image/mosfets/91238.png
IRFP450,Enlarge,Single,TO-247,N,500,20,,,,,,,,,0.4,,150,20,80,14,190,2,,image/mosfets/91239.png
IRFP450A,Enlarge,Single,TO-247,N,500,30,,,,,,,,,0.4,,64,16,26,14,190,2,,image/mosfets/91240.png
IRFP450LC,Enlarge,Single,TO-247,N,500,30,,,,,,,,,0.4,,74,19,35,14,190,2,,image/mosfets/91243.png
"IRFP450LC_RC, SiHFP450LC_RC",,,,P,,,,,,,,,,,,,,,,,,,,image/mosfets/91245.png
IRFP460,Enlarge,Single,TO-247,N,500,20,,,,,,,,,0.27,,210,29,110,20,280,2,,image/mosfets/91244.png
IRFP460A,Enlarge,Single,TO-247,N,500,30,,,,,,,,,0.27,,105,26,42,20,280,2,,image/mosfets/91246.png
IRFP460LC,Enlarge,Single,TO-247,N,500,30,,,,,,,,,0.27,,120,32,49,20,280,2,,image/mosfets/91248.png
IRFP9140,Enlarge,Single,TO-247AC,P,-100,20,,,,,,,,,0.2,,61,14,29,-21,180,-2,,image/mosfets/91249.png
IRFP9240,Enlarge,Single,TO-247AC,P,-200,20,,,,,,,,,0.5,,44,7.1,27,-12,150,-2,,image/mosfets/91251.png
IRFPC40,Enlarge,Single,TO-247AC,N,600,20,,,,,,,,,1.2,,60,8.3,30,6.8,150,2,,image/mosfets/91252.png
IRFPC50,Enlarge,Single,TO-247AC,N,600,20,,,,,,,,,0.6,,140,20,69,11,180,2,,image/mosfets/91253.png
