Series▲▼,Product Image,Configuration▲▼,Package▲▼,Ch▲▼,VDS(V)▲▼,VGS(V)▲▼,RDS(on)@1.2V(Ω)▲▼,RDS(on)1.5V(Ω)▲▼,RDS(on)@1.8V(Ω)▲▼,RDS(on)@2.5V(Ω)▲▼,RDS(on)@3V(Ω)▲▼,RDS(on)@4.5V(Ω)▲▼,RDS(on)@6V(Ω)▲▼,RDS(on)@7.5V(Ω)▲▼,RDS(on)@10V(Ω)▲▼,Qg@4.5V(nC)▲▼,Qg@10V(nC)▲▼,Qgs(nC)▲▼,Qgd(nC)▲▼,IDMax.(A)▲▼,PDMax.(W)▲▼,VGS(th)Min.(V)▲▼,RgTyp.(Ω)▲▼,Image path
SQS140ELNW,Enlarge,Single,PowerPAK 1212-8SLW,N,40,20,,,,,,0.00345,,,0.00253,,53,10,10,153,119,1.2,1.1,image/mosfets/62021.png
SQS140ENW,Enlarge,Single,PowerPAK &#174; 1212-8SLW,N,40,20,,,,,,,,,0.00253,,38,11,8,152,119,2.5,1.1,image/mosfets/63184.png
SQS141ELNW,Enlarge,Single,PowerPAK&#174; 1212-8SLW,P,-40,20,,,,,,0.014,,,0.01,,94,17,16,79,119,-1.5,1.6,image/mosfets/62139.png
SQS142ELNW,Enlarge,Single,PowerPAK&#174; 1212-8SLW,N,40,20,,,,,,0.0065,,,0.0045,,32,6,6,86,70,1.2,1.4,image/mosfets/62164.png
SQS142ENW,Enlarge,Single,PowerPAK 1212-8SLW,N,40,20,,,,,,,,,0.0045,,23,7,5,110,113,2.3,2.2,image/mosfets/62194.png
SQS146ELNW,Enlarge,Single,PowerPAK&#174; 1212-8SLW,N,40,20,,,,,,0.0089,,,0.0052,,21,4,4,94,91,1.5,3.2,image/mosfets/62085.png
SQS146ENW,Enlarge,Single,PowerPAK&#174; 1212-8SLW,N,40,20,,,,,,,,,0.006,,17,5,4,88,91,2,4.3,image/mosfets/63169.png
SQS150ELNW,Enlarge,Single,PowerPAK&#174; 1212-8SLW,N,40,20,,,,,,0.0045,,,0.0028,,40,6,6,145,117,1.7,0.9,image/mosfets/62035.png
SQS160ELNW,Enlarge,Single,PowerPAK 1212-8SLW,N,60,20,,,,,,0.0059,,,0.0038,,47,10,8,141,197,1.5,0.9,image/mosfets/62034.png
SQS164ELNW,Enlarge,Single,PowerPAK 1212-8SLW,N,60,20,,,,,,0.0108,,,0.0069,,27,5,5,82,104,1.5,1,image/mosfets/62409.png
SQS166ELNW,Enlarge,Single,PowerPAK 1212-8SLW,N,60,20,,,,,,0.018,,,0.0089,,21,4,4,71,91,1.5,1.2,image/mosfets/62000.png
SQS174ELNW,Enlarge,Single,PowerPAK&#174; 1212-8SLW,N,72,20,,,,,,0.0072,,,0.0055,,46,8,8,87,103,1.2,1,image/mosfets/65529.png
SQS178ELNW,Enlarge,Single,PowerPAK&#174; 1212-8SLW,N,72,20,,,,,,0.012,,,0.0095,,26,5,5,54,65,1.2,1,image/mosfets/63134.png
SQS180ELNW,Enlarge,Single,PowerPAK&#174; 1212-8SLW,N,80,20,,,,,,0.0083,,,0.0071,,45,8,8,82,119,1.4,1,image/mosfets/76627.png
SQS180ENW,Enlarge,Single,PowerPAK&#174; 1212-8SLW,N,80,20,,,,,,,,,0.00867,,37,9,8,72,119,2.2,0.9,image/mosfets/77687.png
SQS181ELNW,Enlarge,Single,PowerPAK&#174; 1212-8SLW,P,-80,20,,,,,,0.048,,,0.031,,30,7,4,-44,119,-1.5,1.5,image/mosfets/78990.png
SQS182ELNW,Enlarge,Single,PowerPAK 1212-8SLW,N,80,20,,,,,,0.0156,,,0.0132,,26,5,5,45,65,1.4,1,image/mosfets/77427.png
SQS186ENW,Enlarge,Single,PowerPAK&#174; 1212-8SLW,N,80,20,,,,,,,,,0.0115,,26,7,6,47,79,2.2,0.9,image/mosfets/67067.png
SQS201CENW,Enlarge,Single,PowerPAK 1212-8W,P,-100,20,,,,,,0.11,,,0.08,,17.4,3.5,3.3,-16,62.5,-1.5,9.82,image/mosfets/70317.png
SQS401EN,Enlarge,Single,PowerPAK 1212-8,P,-40,20,,,,,,0.047,,,0.029,17.7,,5.6,8.1,-16,62.5,-1.5,2.1,image/mosfets/75549.png
SQS405CENW,Enlarge,Single,PowerPAK 1212-8W,P,-12,8,,,,0.022,,0.015,,,,,,4,9.6,-16,39,-0.45,3.1,image/mosfets/63156.png
SQS407ENW,Enlarge,Single,PowerPAK 1212-8W,P,-30,20,,,,,,0.017,,,0.0108,,59,8.6,11.5,-16,62.5,-1.5,5,image/mosfets/72642.png
SQS411ENW,Enlarge,Single,PowerPAK 1212-8W,P,-40,20,,,,,,0.038,,,0.0273,,38,6,7,-16,39.5,-1.5,4.2,image/mosfets/75525.png
SQS414CENW,Enlarge,Single,PowerPAK 1212-8W,N,60,20,,,,,,0.035,,,0.023,,8.9,2.4,0.9,18,33,1.5,0.38,image/mosfets/71727.png
SQS415ENW,Enlarge,Single,PowerPAK 1212-8W,P,-40,20,,,,,,0.023,,,0.0161,,63,9,12,-16,62.5,-1.5,4.6,image/mosfets/76272.png
SQS420EN,Enlarge,Single,PowerPAK 1212-8,N,20,8,,,0.038,0.032,,0.028,,,,9,,1.1,1.3,8,18,0.45,12,image/mosfets/76468.png
SQS423EN,Enlarge,Single,PowerPAK 1212-8,P,-30,20,,,,,,0.06,,,0.021,17,,5.9,9.2,-16,62.5,-1.5,3.43,image/mosfets/67074.png
SQS423ENW,Enlarge,Single,PowerPAK 1212-8W,P,-30,20,,,,,,0.06,,,0.021,17,,5.9,9.2,-16,62.5,-1.5,3.43,image/mosfets/75543.png
SQS460CENW,Enlarge,Single,PowerPAK 1212-8W,N,60,20,,,,,,0.041,,,0.03,,7.2,2.15,0.55,8,27,1.5,1.27,image/mosfets/77038.png
SQS460EN,Enlarge,Single,PowerPAK 1212-8,N,60,20,,,,,,0.048,,,0.036,,13,1.7,3,8,39,1.5,0,image/mosfets/62896.png
SQS460ENW,Enlarge,Single,PowerPAK 1212-8W,N,60,20,,,,,,0.048,,,0.036,,13,1.7,3,8,39,1.5,0,image/mosfets/78989.png
SQS462EN,Enlarge,Single,PowerPAK 1212-8,N,60,20,,,,,,0.082,,,0.063,,,1.3,1.6,8,33,1.5,0,image/mosfets/62236.png
