Part Number▲▼,Product Image,Package▲▼,Reverse WorkingVoltage(V)▲▼,Capacitance(pF)▲▼,LeakageCurrent(µA)▲▼,Peak Pulse Current8/20 µs (*10/1000 µs)acc. IEC 61000-4-5(A)▲▼,Peak PulsePower 8/20 µsacc. IEC 61000-4-5(W)▲▼,ProtectableLines▲▼,ESD Immunityacc. IEC 61000-4-2(kV)▲▼,Max. OperatingJunction Temperature(°C)▲▼,AEC-Q101Qualified▲▼,Image path
SMF8V0A,Enlarge,SMF (DO-219AB),8,706,0.1,14.7,1000,1,± 30,175,Yes,image/diodes/esd-protection/86330.png
SMF8V5A,Enlarge,SMF (DO-219AB),8.5,674,0.1,13.9,1000,1,± 30,175,Yes,image/diodes/esd-protection/85881.png
SMF8V5A,Enlarge,SMF (DO-219AB),8.5,674,0.1,13.9,1000,1,± 30,175,Yes,image/diodes/esd-protection/86330.png
SMF9V0A,Enlarge,SMF (DO-219AB),9,640,0.1,13.5,1000,1,± 30,175,Yes,image/diodes/esd-protection/85881.png
SMF9V0A,Enlarge,SMF (DO-219AB),9,640,0.1,13.5,1000,1,± 30,175,Yes,image/diodes/esd-protection/86330.png
VBUS03B1-SD0,Enlarge,CLP0603-2L,3.3,0.29,0.05,2.5,45,1,± 16,150,No,image/diodes/esd-protection/85908.png
VBUS03N1-DD1,Enlarge,DFN1006-2B,3.3,0.36,0.1,4,90,1,± 16,150,Yes,image/diodes/esd-protection/86204.png
VBUS03N1-HD1,Enlarge,DFN1006-2A,3.3,0.7,0.1,4,60,1,± 16,150,Yes,image/diodes/esd-protection/86205.png
VBUS052BD-HTF,Enlarge,LLP75-4L,5,1.5,0.1,3,45,2,± 15,125,No,image/diodes/esd-protection/81788.png
VBUS052CD-FAH,Enlarge,LLP1713-7L,5,0.8,0.1,3.5,63,2,± 15,125,No,image/diodes/esd-protection/81881.png
VBUS053AZ-HAF,Enlarge,LLP75-7L,5.5,0.7,0.085,3,36,3,± 15,125,No,image/diodes/esd-protection/81845.png
VBUS053CZ-HAF,Enlarge,LLP75-7L,5.5,0.7,0.02,3,54,3,± 15,125,No,image/diodes/esd-protection/85200.png
VBUS054B-HSF,Enlarge,LLP75-6L,5,0.8,0.1,3,45,4,± 15,125,No,image/diodes/esd-protection/81624.png
VBUS054DD-HF4,Enlarge,LLP1010-5L,5,0.8,0.1,3,57,4,± 15,125,No,image/diodes/esd-protection/81928.png
VBUS05B1-SD0,Enlarge,CLP0603-2L,5.5,0.29,0.05,2.5,45,1,± 16,150,No,image/diodes/esd-protection/85899.png
VBUS05L1-DD1,Enlarge,LLP1006-2M,5.5,0.33,0.05,2,34,1,± 15,125,No,image/diodes/esd-protection/81188.png
VBUS05M1-02V,Enlarge,SOD-523,5.5,0.7,0.1,4.5,70,1,± 18,150,Yes,image/diodes/esd-protection/86127.png
VBUS05M2-HT5,Enlarge,DFN1110-3A,5.5,0.37,0.1,3.4,60,2,± 20,150,Yes,image/diodes/esd-protection/86166.png
VBUS05N1-DD1,Enlarge,DFN1006-2B,5.5,0.36,0.1,4,90,1,± 16,150,Yes,image/diodes/esd-protection/86202.png
