Part Number▲▼,Product Image,Rev. Voltage(V)▲▼,IF(AV)(A)▲▼,VFat IF▲▼,IFSM(A)▲▼,trr(ns)▲▼,TJmax.(°C)▲▼,Package (JEDEC®) Code▲▼,CircuitConfiguration▲▼,AEC-Q101 Qualified▲▼,Image path
UF4004,Enlarge,400,1,see datasheet,30,50,150,DO-41 (DO-204AL),Single,No,image/diodes/ultrafast-recovery/88755.png
UF4005,Enlarge,600,1,see datasheet,30,50,150,DO-41 (DO-204AL),Single,No,image/diodes/ultrafast-recovery/88755.png
UF4006,Enlarge,800,1,see datasheet,30,50,150,DO-41 (DO-204AL),Single,No,image/diodes/ultrafast-recovery/88755.png
UF4007,Enlarge,1000,1,see datasheet,30,50,150,DO-41 (DO-204AL),Single,No,image/diodes/ultrafast-recovery/88755.png
UF5400,Enlarge,50,3,see datasheet,150,50,150,DO-201AD,Single,No,image/diodes/ultrafast-recovery/88756.png
UF5401,Enlarge,100,3,see datasheet,150,50,150,DO-201AD,Single,No,image/diodes/ultrafast-recovery/88756.png
UF5402,Enlarge,200,3,see datasheet,150,50,150,DO-201AD,Single,No,image/diodes/ultrafast-recovery/88756.png
UF5403,Enlarge,300,3,see datasheet,150,50,150,DO-201AD,Single,No,image/diodes/ultrafast-recovery/88756.png
UF5404,Enlarge,400,3,see datasheet,150,50,150,DO-201AD,Single,No,image/diodes/ultrafast-recovery/88756.png
UF5405,Enlarge,500,3,see datasheet,150,50,150,DO-201AD,Single,No,image/diodes/ultrafast-recovery/88756.png
UF5406,Enlarge,600,3,see datasheet,150,50,150,DO-201AD,Single,No,image/diodes/ultrafast-recovery/88756.png
UF5407,Enlarge,800,3,see datasheet,150,50,150,DO-201AD,Single,No,image/diodes/ultrafast-recovery/88756.png
UF5408,Enlarge,1000,3,see datasheet,150,50,150,DO-201AD,Single,No,image/diodes/ultrafast-recovery/88756.png
UG10xCT,Enlarge,100 to 200,2 x 5.0,0.895,55,25,150,TO-220AB,Common cathode,No,image/diodes/ultrafast-recovery/88549.png
UG1A,Enlarge,50,1,0.95,40,15,150,DO-41 (DO-204AL),Single,No,image/diodes/ultrafast-recovery/88760.png
UG1B,Enlarge,100,1,0.95,40,15,150,DO-41 (DO-204AL),Single,No,image/diodes/ultrafast-recovery/88760.png
UG1C,Enlarge,150,1,0.95,40,15,150,DO-41 (DO-204AL),Single,No,image/diodes/ultrafast-recovery/88760.png
UG1D,Enlarge,200,1,0.95,40,15,150,DO-41 (DO-204AL),Single,No,image/diodes/ultrafast-recovery/88760.png
UG2A,Enlarge,50,2,0.95,80,15,150,DO-15 (DO-204AC),Single,No,image/diodes/ultrafast-recovery/88761.png
UG2B,Enlarge,100,2,0.95,80,15,150,DO-15 (DO-204AC),Single,No,image/diodes/ultrafast-recovery/88761.png
UG2C,Enlarge,150,2,0.95,80,15,150,DO-15 (DO-204AC),Single,No,image/diodes/ultrafast-recovery/88761.png
UG2D,Enlarge,200,2,0.95,80,15,150,DO-15 (DO-204AC),Single,No,image/diodes/ultrafast-recovery/88761.png
UG4A,Enlarge,50,4,0.95,150,20,150,DO-201AD,Single,No,image/diodes/ultrafast-recovery/88763.png
UG4B,Enlarge,100,4,0.95,150,20,150,DO-201AD,Single,No,image/diodes/ultrafast-recovery/88763.png
UG4C,Enlarge,150,4,0.95,150,20,150,DO-201AD,Single,No,image/diodes/ultrafast-recovery/88763.png
UG4D,Enlarge,200,4,0.95,150,20,150,DO-201AD,Single,No,image/diodes/ultrafast-recovery/88763.png
UH4PBC,Enlarge,100,2 x 2.0,0.77,40,25,175,SMPC (TO-277A),Common cathode,Yes,image/diodes/ultrafast-recovery/88991.png
UH4PCC,Enlarge,150,2 x 2.0,0.77,40,25,175,SMPC (TO-277A),Common cathode,Yes,image/diodes/ultrafast-recovery/88991.png
