Part Number▲▼,Product Image,Rev. Voltage(V)▲▼,IF(AV)(A)▲▼,VFat IF▲▼,IFSM(A)▲▼,trr(ns)▲▼,TJmax.(°C)▲▼,Package (JEDEC®) Code▲▼,CircuitConfiguration▲▼,AEC-Q101 Qualified▲▼,Image path
EGF1B,Enlarge,100,1,1.0,30,50,175,GF1 (DO-214BA),Single,Yes,image/diodes/ultrafast-recovery/88579.png
EGF1C,Enlarge,150,1,1.0,30,50,175,GF1 (DO-214BA),Single,Yes,image/diodes/ultrafast-recovery/98393.png
EGF1C,Enlarge,150,1,1.0,30,50,175,GF1 (DO-214BA),Single,Yes,image/diodes/ultrafast-recovery/88579.png
EGF1D,Enlarge,200,1,1.0,30,50,175,GF1 (DO-214BA),Single,Yes,image/diodes/ultrafast-recovery/98393.png
EGF1D,Enlarge,200,1,1.0,30,50,175,GF1 (DO-214BA),Single,Yes,image/diodes/ultrafast-recovery/88579.png
EGF1T,Enlarge,1300,1,3.0,20,75,150,GF1 (DO-214BA),Single,Yes,image/diodes/ultrafast-recovery/98392.png
EGF1T,Enlarge,1300,1,3.0,20,75,150,GF1 (DO-214BA),Single,Yes,image/diodes/ultrafast-recovery/88904.png
EGL34x,Enlarge,50 to 400,0.5,see datasheet,10,50,175,GL34 (DO-213AA),Single,No,image/diodes/ultrafast-recovery/88580.png
EGL41x,Enlarge,50 to 400,1,see datasheet,30,50,175,GL41 (DO-213AB),Single,No,image/diodes/ultrafast-recovery/88581.png
ES07B,Enlarge,100,1.2,0.98,30,25,150,SMF (DO-219AB),Single,Yes,image/diodes/ultrafast-recovery/85737.png
ES07B-M,Enlarge,100,1.2,0.98,30,25,150,SMF (DO-219AB),Single,Yes,image/diodes/ultrafast-recovery/85192.png
ES07D,Enlarge,200,1.2,0.98,30,25,150,SMF (DO-219AB),Single,Yes,image/diodes/ultrafast-recovery/85737.png
ES07D-M,Enlarge,200,1.2,0.98,30,25,150,SMF (DO-219AB),Single,Yes,image/diodes/ultrafast-recovery/85192.png
