Series▲▼,Product Image,Package (JEDEC®) Code▲▼,VRRM(V)▲▼,IRat VR(nA at V)▲▼,VFat IF(V at mA)▲▼,trr(ns)▲▼,Circuit Configuration▲▼,AEC-Q101 Qualified▲▼,Image path
BAS16,Enlarge,SOT-23,75,100 at 75,0.715 at 1,6,Single,Yes,image/diodes/switching/86366.png
BAS16-G,Enlarge,SOT-23,75,100 at 75,0.715 at 1,6,Single,Yes,image/diodes/switching/86367.png
BAS16D,Enlarge,SOD-123,100,50 at 75,1.25 at 150,6,Single,Yes,image/diodes/switching/86368.png
BAS16D-G,Enlarge,SOD-123,100,50 at 75,1.25 at 150,6,Single,Yes,image/diodes/switching/86369.png
BAS16L,Enlarge,DFN1006-2A,100,500 at 80,1.250 at 150,4,Single,Yes,image/diodes/switching/86187.png
BAS16LTH,Enlarge,DFN1006-2A,,500 at 80,1.250 at 150,4,Single,Yes,image/diodes/switching/86327.png
BAS16WS,Enlarge,SOD-323,100,1000 at 75,1.250 at 150,6,Single,Yes,image/diodes/switching/85752.png
BAS16WS-G,Enlarge,SOD-323,100,1000 at 75,1.250 at 150,6,Single,Yes,image/diodes/switching/85152.png
"BAS19, BAS20, BAS21",Enlarge,SOT-23,120,100 at 100,1.0 at 100,50,Single,Yes,image/diodes/switching/86370.png
"BAS19, BAS20, BAS21",Enlarge,SOT-23,200,100 at 150,1.0 at 100,50,Single,Yes,image/diodes/switching/86370.png
"BAS19, BAS20, BAS21",Enlarge,SOT-23,250,100 at 200,1.0 at 100,50,Single,Yes,image/diodes/switching/86370.png
"BAS19-G, BAS20-G, BAS21-G",Enlarge,SOT-23,120,100 at 100,1.0 at 100,50,Single,Yes,image/diodes/switching/86371.png
"BAV100, BAV101, BAV102, BAV103",Enlarge,MiniMELF (SOD-80),120,100 at 100,1 at 100,50,Single,No,image/diodes/switching/85542.png
"BAV100, BAV101, BAV102, BAV103",Enlarge,MiniMELF (SOD-80),200,100 at 150,1 at 100,50,Single,No,image/diodes/switching/85542.png
"BAV100, BAV101, BAV102, BAV103",Enlarge,MiniMELF (SOD-80),250,100 at 200,1 at 100,50,Single,No,image/diodes/switching/85542.png
"BAV100, BAV101, BAV102, BAV103",Enlarge,MiniMELF (SOD-80),60,100 at 50,1 at 100,50,Single,No,image/diodes/switching/85542.png
"BAV17, BAV18, BAV19, BAV20, BAV21",Enlarge,DO-35 (DO-204AH),200,100 at 150,1 at 100,50,Single,No,image/diodes/switching/85543.png
"BAV17, BAV18, BAV19, BAV20, BAV21",Enlarge,DO-35 (DO-204AH),25,100 at 20,1 at 100,50,Single,No,image/diodes/switching/85543.png
"BAV17, BAV18, BAV19, BAV20, BAV21",Enlarge,DO-35 (DO-204AH),250,100 at 200,1 at 100,50,Single,No,image/diodes/switching/85543.png
"BAV17, BAV18, BAV19, BAV20, BAV21",Enlarge,DO-35 (DO-204AH),60,100 at 50,1 at 100,50,Single,No,image/diodes/switching/85543.png
"BAV17, BAV18, BAV19, BAV20, BAV21",Enlarge,DO-35 (DO-204AH),120,100 at 100,1 at 100,50,Single,No,image/diodes/switching/85543.png
"BAV19W, BAV20W, BAV21W",Enlarge,SOD-123,120,100 at 100,1 at 100,50,Single,Yes,image/diodes/switching/86372.png
"BAV19W, BAV20W, BAV21W",Enlarge,SOD-123,200,100 at 150,1 at 100,50,Single,Yes,image/diodes/switching/86372.png
"BAV19W, BAV20W, BAV21W",Enlarge,SOD-123,250,100 at 200,1 at 100,50,Single,Yes,image/diodes/switching/86372.png
"BAV19W-G, BAV20W-G, BAV21W-G",Enlarge,SOD-123,120,100 at 100,1 at 100,50,Single,Yes,image/diodes/switching/86373.png
"BAV19WS, BAV20WS, BAV21WS",Enlarge,SOD-323,120,100 at 100,1 at 100,50,Single,Yes,image/diodes/switching/85726.png
"BAV19WS, BAV20WS, BAV21WS",Enlarge,SOD-323,200,100 at 150,1 at 100,50,Single,Yes,image/diodes/switching/85726.png
"BAV19WS, BAV20WS, BAV21WS",Enlarge,SOD-323,250,100 at 200,1 at 100,50,Single,Yes,image/diodes/switching/85726.png
"BAV19WS-G, BAV20WS-G, BAV21WS-G",Enlarge,SOD-323,250,100 at 200,1 at 100,50,Single,Yes,image/diodes/switching/83423.png
