Series▲▼,Product Image,IF(AV)(A) at Ths/TC(°C)▲▼,IFSMat 50 Hz(A)▲▼,IFSMat 60 Hz(A)▲▼,VRRM(V)▲▼,trr(µs)▲▼,TJ(°C)▲▼,VFM(V)▲▼,Package (JEDEC®) Code▲▼,Circuit Configuration▲▼,Image path
VS-SD300C..C Series,Enlarge,650 at 55,6050,6335,3200,,-40 to +180,2.08,A-PUK (DO-200AA),Single,image/diodes/med-high-diodes/93544.png
VS-SD300C..C Series,Enlarge,540 at 55,6050,6335,3200,,-40 to +150,2.08,A-PUK (DO-200AA),Single,image/diodes/med-high-diodes/93544.png
VS-SD300C..C Series,Enlarge,650 at 55,6050,6335,2800,,-40 to +180,2.08,A-PUK (DO-200AA),Single,image/diodes/med-high-diodes/93544.png
VS-SD300C..C Series,Enlarge,540 at 55,6050,6335,2800,,-40 to +150,2.08,A-PUK (DO-200AA),Single,image/diodes/med-high-diodes/93544.png
VS-SD300C..C Series,Enlarge,540 at 55,6050,6335,2500,,-40 to +150,2.08,A-PUK (DO-200AA),Single,image/diodes/med-high-diodes/93544.png
VS-SD300C..C Series,Enlarge,650 at 55,6050,6335,2500,,-40 to +180,2.08,A-PUK (DO-200AA),Single,image/diodes/med-high-diodes/93544.png
VS-SD300C..C Series,Enlarge,540 at 55,6050,6335,2000,,-40 to +150,2.08,A-PUK (DO-200AA),Single,image/diodes/med-high-diodes/93544.png
VS-SD300C..C Series,Enlarge,650 at 55,6050,6335,2000,,-40 to +180,2.08,A-PUK (DO-200AA),Single,image/diodes/med-high-diodes/93544.png
VS-SD300C..C Series,Enlarge,540 at 55,6050,6335,1600,,-40 to +150,2.08,A-PUK (DO-200AA),Single,image/diodes/med-high-diodes/93544.png
VS-SD300C..C Series,Enlarge,650 at 55,6050,6335,1600,,-40 to +180,2.08,A-PUK (DO-200AA),Single,image/diodes/med-high-diodes/93544.png
VS-SD300C..C Series,Enlarge,540 at 55,6050,6335,1200,,-40 to +150,2.08,A-PUK (DO-200AA),Single,image/diodes/med-high-diodes/93544.png
VS-SD300C..C Series,Enlarge,540 at 55,6050,6335,800,,-40 to +150,2.08,A-PUK (DO-200AA),Single,image/diodes/med-high-diodes/93544.png
VS-SD300C..C Series,Enlarge,650 at 55,6050,6335,1200,,-40 to +180,2.08,A-PUK (DO-200AA),Single,image/diodes/med-high-diodes/93544.png
VS-SD300C..C Series,Enlarge,540 at 55,6050,6335,400,,-40 to +150,2.08,A-PUK (DO-200AA),Single,image/diodes/med-high-diodes/93544.png
VS-SD300C..C Series,Enlarge,650 at 55,6050,6335,800,,-40 to +180,2.08,A-PUK (DO-200AA),Single,image/diodes/med-high-diodes/93544.png
VS-SD300C..C Series,Enlarge,650 at 55,6050,6335,400,,-40 to +180,2.08,A-PUK (DO-200AA),Single,image/diodes/med-high-diodes/93544.png
VS-SD300N/R Series,Enlarge,380 at 100,6050,6335,1600,,-40 to +180,1.83,DO-9 (DO-205AB),Single,image/diodes/med-high-diodes/93545.png
VS-SD300N/R Series,Enlarge,380 at 70,6050,6335,1600,,-40 to +150,1.83,DO-9 (DO-205AB),Single,image/diodes/med-high-diodes/93545.png
VS-SD300N/R Series,Enlarge,380 at 100,6050,6335,2000,,-40 to +180,1.83,DO-9 (DO-205AB),Single,image/diodes/med-high-diodes/93545.png
VS-SD300N/R Series,Enlarge,380 at 70,6050,6335,2000,,-40 to +150,1.83,DO-9 (DO-205AB),Single,image/diodes/med-high-diodes/93545.png
VS-SD300N/R Series,Enlarge,380 at 100,6050,6335,2500,,-40 to +180,1.83,DO-9 (DO-205AB),Single,image/diodes/med-high-diodes/93545.png
VS-SD300N/R Series,Enlarge,380 at 70,6050,6335,2500,,-40 to +150,1.83,DO-9 (DO-205AB),Single,image/diodes/med-high-diodes/93545.png
VS-SD300N/R Series,Enlarge,380 at 100,6050,6335,2800,,-40 to +180,1.83,DO-9 (DO-205AB),Single,image/diodes/med-high-diodes/93545.png
VS-SD300N/R Series,Enlarge,380 at 70,6050,6335,2800,,-40 to +150,1.83,DO-9 (DO-205AB),Single,image/diodes/med-high-diodes/93545.png
VS-SD300N/R Series,Enlarge,380 at 100,6050,6335,3200,,-40 to +180,1.83,DO-9 (DO-205AB),Single,image/diodes/med-high-diodes/93545.png
VS-SD300N/R Series,Enlarge,380 at 70,6050,6335,3200,,-40 to +150,1.83,DO-9 (DO-205AB),Single,image/diodes/med-high-diodes/93545.png
VS-SD400C..C Series,Enlarge,800 at 55,8250,8640,2400,,-40 to +190,1.86,A-PUK (DO-200AA),Single,image/diodes/med-high-diodes/93547.png
VS-SD400C..C Series,Enlarge,800 at 55,8250,8640,2000,,-40 to +190,1.86,A-PUK (DO-200AA),Single,image/diodes/med-high-diodes/93547.png
VS-SD400C..C Series,Enlarge,800 at 55,8250,8640,1600,,-40 to +190,1.86,A-PUK (DO-200AA),Single,image/diodes/med-high-diodes/93547.png
VS-SD400C..C Series,Enlarge,800 at 55,8250,8640,1200,,-40 to +190,1.86,A-PUK (DO-200AA),Single,image/diodes/med-high-diodes/93547.png
VS-SD400C..C Series,Enlarge,800 at 55,8250,8640,400,,-40 to +190,1.86,A-PUK (DO-200AA),Single,image/diodes/med-high-diodes/93547.png
VS-SD400C..C Series,Enlarge,800 at 55,8250,8640,800,,-40 to +190,1.86,A-PUK (DO-200AA),Single,image/diodes/med-high-diodes/93547.png
VS-SD400N/R Series,Enlarge,480 at 120,8250,8640,1600,,-40 to +190,1.62,DO-9 (DO-205AB),Single,image/diodes/med-high-diodes/93548.png
VS-SD400N/R Series,Enlarge,480 at 120,8250,8640,2000,,-40 to +190,1.62,DO-9 (DO-205AB),Single,image/diodes/med-high-diodes/93548.png
VS-SD400N/R Series,Enlarge,480 at 120,8250,8640,2400,,-40 to +190,1.62,DO-9 (DO-205AB),Single,image/diodes/med-high-diodes/93548.png
VS-SD600N/R Series,Enlarge,600 at 92,13000,13600,400,,-40 to +180,1.31,B-8,Single,image/diodes/med-high-diodes/93551.png
VS-SD600N/R Series,Enlarge,600 at 54,10500,11000,400,,-40 to +150,1.44,B-8,Single,image/diodes/med-high-diodes/93551.png
VS-SD600N/R Series,Enlarge,600 at 92,13000,13600,800,,-40 to +180,1.31,B-8,Single,image/diodes/med-high-diodes/93551.png
VS-SD600N/R Series,Enlarge,600 at 54,10500,11000,800,,-40 to +150,1.44,B-8,Single,image/diodes/med-high-diodes/93551.png
VS-SD600N/R Series,Enlarge,600 at 92,13000,13600,1200,,-40 to +180,1.31,B-8,Single,image/diodes/med-high-diodes/93551.png
VS-SD600N/R Series,Enlarge,600 at 54,10500,11000,1200,,-40 to +150,1.44,B-8,Single,image/diodes/med-high-diodes/93551.png
VS-SD600N/R Series,Enlarge,600 at 92,13000,13600,1600,,-40 to +180,1.31,B-8,Single,image/diodes/med-high-diodes/93551.png
VS-SD600N/R Series,Enlarge,600 at 54,10500,11000,1600,,-40 to +150,1.44,B-8,Single,image/diodes/med-high-diodes/93551.png
VS-SD600N/R Series,Enlarge,600 at 92,13000,13600,2000,,-40 to +180,1.31,B-8,Single,image/diodes/med-high-diodes/93551.png
VS-SD600N/R Series,Enlarge,600 at 54,10500,11000,2000,,-40 to +150,1.44,B-8,Single,image/diodes/med-high-diodes/93551.png
VS-SD600N/R Series,Enlarge,600 at 92,13000,13600,2200,,-40 to +180,1.31,B-8,Single,image/diodes/med-high-diodes/93551.png
VS-SD600N/R Series,Enlarge,600 at 54,10500,11000,2200,,-40 to +150,1.44,B-8,Single,image/diodes/med-high-diodes/93551.png
VS-SD600N/R Series,Enlarge,600 at 92,13000,13600,2800,,-40 to +180,1.31,B-8,Single,image/diodes/med-high-diodes/93551.png
VS-SD600N/R Series,Enlarge,600 at 54,10500,11000,2800,,-40 to +150,1.44,B-8,Single,image/diodes/med-high-diodes/93551.png
VS-SD600N/R Series,Enlarge,600 at 92,13000,13600,3200,,-40 to +180,1.31,B-8,Single,image/diodes/med-high-diodes/93551.png
VS-SD600N/R Series,Enlarge,600 at 54,10500,11000,3200,,-40 to +150,1.44,B-8,Single,image/diodes/med-high-diodes/93551.png
VS-SD603C..C Series,Enlarge,600 at 55,8320,8715,2200,2,-40 to +125,2.97,B-43,Single,image/diodes/med-high-diodes/93178.png
VS-SD603C..C Series,Enlarge,600 at 55,8320,8715,2200,1.5,-40 to +125,2.97,B-43,Single,image/diodes/med-high-diodes/93178.png
VS-SD603C..C Series,Enlarge,600 at 55,8320,8715,2200,1,-40 to +125,2.97,B-43,Single,image/diodes/med-high-diodes/93178.png
VS-SD603C..C Series,Enlarge,600 at 55,8320,8715,2000,2,-40 to +125,2.97,B-43,Single,image/diodes/med-high-diodes/93178.png
VS-SD603C..C Series,Enlarge,600 at 55,8320,8715,2000,1,-40 to +125,2.97,B-43,Single,image/diodes/med-high-diodes/93178.png
VS-SD603C..C Series,Enlarge,600 at 55,8320,8715,2000,1.5,-40 to +125,2.97,B-43,Single,image/diodes/med-high-diodes/93178.png
VS-SD603C..C Series,Enlarge,600 at 55,8320,8715,1600,2,-40 to +125,2.97,B-43,Single,image/diodes/med-high-diodes/93178.png
VS-SD603C..C Series,Enlarge,600 at 55,8320,8715,1600,1.5,-40 to +125,2.97,B-43,Single,image/diodes/med-high-diodes/93178.png
VS-SD603C..C Series,Enlarge,600 at 55,8320,8715,1600,1,-40 to +125,2.97,B-43,Single,image/diodes/med-high-diodes/93178.png
VS-SD603C..C Series,Enlarge,600 at 55,8320,8715,1400,2,-40 to +125,2.97,B-43,Single,image/diodes/med-high-diodes/93178.png
VS-SD603C..C Series,Enlarge,600 at 55,8320,8715,1400,1.5,-40 to +125,2.97,B-43,Single,image/diodes/med-high-diodes/93178.png
VS-SD603C..C Series,Enlarge,600 at 55,8320,8715,1400,1,-40 to +125,2.97,B-43,Single,image/diodes/med-high-diodes/93178.png
VS-SD603C..C Series,Enlarge,600 at 55,8320,8715,1200,2,-40 to +125,2.97,B-43,Single,image/diodes/med-high-diodes/93178.png
VS-SD603C..C Series,Enlarge,600 at 55,8320,8715,1200,1.5,-40 to +125,2.97,B-43,Single,image/diodes/med-high-diodes/93178.png
VS-SD603C..C Series,Enlarge,600 at 55,8320,8715,1200,1,-40 to +125,2.97,B-43,Single,image/diodes/med-high-diodes/93178.png
VS-SD603C..C Series,Enlarge,600 at 55,8320,8715,1000,2,-40 to +125,2.97,B-43,Single,image/diodes/med-high-diodes/93178.png
VS-SD603C..C Series,Enlarge,600 at 55,8320,8715,1000,1.5,-40 to +125,2.97,B-43,Single,image/diodes/med-high-diodes/93178.png
VS-SD603C..C Series,Enlarge,600 at 55,8320,8715,1000,1,-40 to +125,2.97,B-43,Single,image/diodes/med-high-diodes/93178.png
VS-SD603C..C Series,Enlarge,600 at 55,8320,8715,800,2,-40 to +125,2.97,B-43,Single,image/diodes/med-high-diodes/93178.png
VS-SD603C..C Series,Enlarge,600 at 55,8320,8715,800,1.5,-40 to +125,2.97,B-43,Single,image/diodes/med-high-diodes/93178.png
VS-SD603C..C Series,Enlarge,600 at 55,8320,8715,800,1,-40 to +125,2.97,B-43,Single,image/diodes/med-high-diodes/93178.png
VS-SD603C..C Series,Enlarge,600 at 55,8320,8715,400,2,-40 to +125,2.97,B-43,Single,image/diodes/med-high-diodes/93178.png
VS-SD603C..C Series,Enlarge,600 at 55,8320,8715,400,1.5,-40 to +125,2.97,B-43,Single,image/diodes/med-high-diodes/93178.png
VS-SD603C..C Series,Enlarge,600 at 55,8320,8715,400,1,-40 to +125,2.97,B-43,Single,image/diodes/med-high-diodes/93178.png
VS-SD700C30L,Enlarge,700 at 55,7500,7850,3000,,-40 to +150,1.66,B-PUK (DO-200AB),Single,image/diodes/med-high-diodes/93552.png
