Part Number▲▼,Product Image,Rev. Voltage(V)▲▼,IF(AV)(A)▲▼,VFat IF(V)▲▼,IFSM(A)▲▼,trr(ns)▲▼,TJmax.(°C)▲▼,Package (JEDEC®) Code▲▼,CircuitConfiguration▲▼,Snap factor▲▼,AEC-Q101Qualified▲▼,Image path
AS3PM,Enlarge,1000,3,0.90,70,,175,SMPC (TO-277A),Single,,Yes,image/diodes/standard-recovery/88837.png
AS4PD,Enlarge,200,4,0.92,100,,175,SMPC (TO-277A),Single,,Yes,image/diodes/standard-recovery/88770.png
AS4PG,Enlarge,400,4,0.92,100,,175,SMPC (TO-277A),Single,,Yes,image/diodes/standard-recovery/88770.png
AS4PJ,Enlarge,600,4,0.92,100,,175,SMPC (TO-277A),Single,,Yes,image/diodes/standard-recovery/88770.png
AS4PK,Enlarge,800,4,0.92,100,,175,SMPC (TO-277A),Single,,Yes,image/diodes/standard-recovery/88770.png
AS4PM,Enlarge,1000,4,0.92,100,,175,SMPC (TO-277A),Single,,Yes,image/diodes/standard-recovery/88770.png
BA157,Enlarge,400,1,1.3,20,150,125,DO-41 (DO-204AL),Single,,No,image/diodes/standard-recovery/88536.png
BA158,Enlarge,600,1,1.3,20,150,125,DO-41 (DO-204AL),Single,,No,image/diodes/standard-recovery/88536.png
BA159,Enlarge,1000,1,1.3,20,150,125,DO-41 (DO-204AL),Single,,No,image/diodes/standard-recovery/88536.png
BA159D,Enlarge,800,1,1.3,20,150,125,DO-41 (DO-204AL),Single,,No,image/diodes/standard-recovery/88536.png
BY203-12S,Enlarge,1200,0.25,2.4 at 0.2,20,300,150,SOD-57,,,No,image/diodes/standard-recovery/86002.png
BY203-16S,Enlarge,1600,0.25,2.4 at 0.2,20,300,150,SOD-57,,,No,image/diodes/standard-recovery/86002.png
BY203-20S,Enlarge,2000,0.25,2.4 at 0.2,20,300,150,SOD-57,,,No,image/diodes/standard-recovery/86002.png
BY228,Enlarge,1500,3,1.5 at 5,50,2000,140,SOD-64,,,No,image/diodes/standard-recovery/86003.png
BY228-13,Enlarge,1000,3,1.5 at 5,50,2000,140,SOD-64,,,No,image/diodes/standard-recovery/86004.png
BY228-15,Enlarge,1200,3,1.5 at 5,50,2000,140,SOD-64,,,No,image/diodes/standard-recovery/86004.png
BY251P,Enlarge,200,3,1.1,150,,150,DO-201AD,Single die,,No,image/diodes/standard-recovery/88838.png
BY252P,Enlarge,400,3,1.1,150,,150,DO-201AD,Single die,,No,image/diodes/standard-recovery/88838.png
BY253P,Enlarge,600,3,1.1,150,,150,DO-201AD,Single die,,No,image/diodes/standard-recovery/88838.png
BY254P,Enlarge,800,3,1.1,150,,150,DO-201AD,Single die,,No,image/diodes/standard-recovery/88838.png
BY255P,Enlarge,1300,3,1.1,150,,150,DO-201AD,Single die,,No,image/diodes/standard-recovery/88838.png
BY268,Enlarge,1400,0.8,1.25 at 0.4,20,400,175,SOD-57,,,No,image/diodes/standard-recovery/86005.png
BY269,Enlarge,1600,0.8,1.25 at 0.4,20,400,175,SOD-57,,,No,image/diodes/standard-recovery/86005.png
BY448,Enlarge,1500,2,1.6 at 3,30,2000,140,SOD-57,,,No,image/diodes/standard-recovery/86006.png
BY458,Enlarge,1200,2,1.6 at 3,30,2000,140,SOD-57,,,No,image/diodes/standard-recovery/86006.png
BY527,Enlarge,800,2,1 at 1,50,4000,175,SOD-57,,,No,image/diodes/standard-recovery/86007.png
BYG10D,Enlarge,200,1.5,1.15,30,,150,SMA (DO-214AC),Single,,Yes,image/diodes/standard-recovery/88957.png
BYG10G,Enlarge,400,1.5,1.15,30,,150,SMA (DO-214AC),Single,,Yes,image/diodes/standard-recovery/88957.png
BYG10J,Enlarge,600,1.5,1.15,30,,150,SMA (DO-214AC),Single,,Yes,image/diodes/standard-recovery/88957.png
BYG10K,Enlarge,800,1.5,1.15,30,,150,SMA (DO-214AC),Single,,Yes,image/diodes/standard-recovery/88957.png
BYG10M,Enlarge,1000,1.5,1.15,30,,150,SMA (DO-214AC),Single,,Yes,image/diodes/standard-recovery/88957.png
BYG10Y,Enlarge,1600,1.5,1.15,30,,150,SMA (DO-214AC),Single,,Yes,image/diodes/standard-recovery/88957.png
BYG21K,Enlarge,800,1.5,1.6,30,120,150,SMA (DO-214AC),Single,,Yes,image/diodes/standard-recovery/88961.png
BYG21M,Enlarge,1000,1.5,1.6,30,120,150,SMA (DO-214AC),Single,,Yes,image/diodes/standard-recovery/88961.png
BYG24D,Enlarge,200,1.5,1.25,30,140,150,SMA (DO-214AC),Single,,Yes,image/diodes/standard-recovery/88960.png
BYG24G,Enlarge,400,1.5,1.25,30,140,150,SMA (DO-214AC),Single,,Yes,image/diodes/standard-recovery/88960.png
BYG24J,Enlarge,600,1.5,1.25,30,140,150,SMA (DO-214AC),Single,,Yes,image/diodes/standard-recovery/88960.png
BYM10-xxx,Enlarge,50 to 1000,1,see datasheet,30,,175,MELF (DO-213AB),Single,,No,image/diodes/standard-recovery/88546.png
BYM10-xxx,Enlarge,50 to 1600,1,see datasheet,30,,175,MELF (DO-213AB),Single,,No,image/diodes/standard-recovery/88546.png
BYM11-xxx,Enlarge,50 to 1000,1,1.3,30,150,175,GL41 (DO-213AB),Single,,No,image/diodes/standard-recovery/88547.png
BYM36A,Enlarge,200,3,1.6 at 3,65,100,175,SOD-64,,,No,image/diodes/standard-recovery/86012.png
BYM36B,Enlarge,400,3,1.6 at 3,65,100,175,SOD-64,,,No,image/diodes/standard-recovery/86012.png
BYM36C,Enlarge,600,3,1.6 at 3,65,100,175,SOD-64,,,No,image/diodes/standard-recovery/86012.png
BYM36D,Enlarge,800,2.9,1.78 at 3,65,150,175,SOD-64,,,No,image/diodes/standard-recovery/86012.png
BYM36E,Enlarge,1000,2.9,1.78 at 3,65,150,175,SOD-64,,,No,image/diodes/standard-recovery/86012.png
BYT51A,Enlarge,50,1.5,1.1 at 1,50,4000,175,SOD-57,,,Yes,image/diodes/standard-recovery/86028.png
BYT51B,Enlarge,100,1.5,1.1 at 1,50,4000,175,SOD-57,,,Yes,image/diodes/standard-recovery/86028.png
BYT51D,Enlarge,200,1.5,1.1 at 1,50,4000,175,SOD-57,,,Yes,image/diodes/standard-recovery/86028.png
BYT51G,Enlarge,400,1.5,1.1 at 1,50,4000,175,SOD-57,,,Yes,image/diodes/standard-recovery/86028.png
BYT51J,Enlarge,600,1.5,1.1 at 1,50,4000,175,SOD-57,,,Yes,image/diodes/standard-recovery/86028.png
BYT51K,Enlarge,800,1.5,1.1 at 1,50,4000,175,SOD-57,,,Yes,image/diodes/standard-recovery/86028.png
BYT51M,Enlarge,1000,1.5,1.1 at 1,50,4000,175,SOD-57,,,Yes,image/diodes/standard-recovery/86028.png
BYT52A,Enlarge,50,1.4,1.3 at 1,50,200,175,SOD-57,,,No,image/diodes/standard-recovery/86029.png
BYT52B,Enlarge,100,1.4,1.3 at 1,50,200,175,SOD-57,,,No,image/diodes/standard-recovery/86029.png
BYT52D,Enlarge,200,1.4,1.3 at 1,50,200,175,SOD-57,,,No,image/diodes/standard-recovery/86029.png
BYT52G,Enlarge,400,1.4,1.3 at 1,50,200,175,SOD-57,,,No,image/diodes/standard-recovery/86029.png
BYT52J,Enlarge,600,1.4,1.3 at 1,50,200,175,SOD-57,,,No,image/diodes/standard-recovery/86029.png
BYT52K,Enlarge,800,1.4,1.3 at 1,50,200,175,SOD-57,,,No,image/diodes/standard-recovery/86029.png
BYT52M,Enlarge,1000,1.4,1.3 at 1,50,200,175,SOD-57,,,No,image/diodes/standard-recovery/86029.png
BYT54A,Enlarge,50,1.25,1.5 at 1,30,100,175,SOD-57,,,No,image/diodes/standard-recovery/86031.png
BYT54B,Enlarge,100,1.25,1.5 at 1,30,100,175,SOD-57,,,No,image/diodes/standard-recovery/86031.png
BYT54D,Enlarge,200,1.25,1.5 at 1,30,100,175,SOD-57,,,No,image/diodes/standard-recovery/86031.png
BYT54G,Enlarge,400,1.25,1.5 at 1,30,100,175,SOD-57,,,No,image/diodes/standard-recovery/86031.png
BYT54J,Enlarge,600,1.25,1.5 at 1,30,100,175,SOD-57,,,No,image/diodes/standard-recovery/86031.png
BYT54K,Enlarge,800,1.25,1.5 at 1,30,100,175,SOD-57,,,No,image/diodes/standard-recovery/86031.png
BYT54M,Enlarge,1000,1.25,1.5 at 1,30,100,175,SOD-57,,,No,image/diodes/standard-recovery/86031.png
BYT56A,Enlarge,50,3,1.4 at 3,80,100,175,SOD-64,,,No,image/diodes/standard-recovery/86032.png
BYT56B,Enlarge,100,3,1.4 at 3,80,100,175,SOD-64,,,No,image/diodes/standard-recovery/86032.png
BYT56D,Enlarge,200,3,1.4 at 3,80,100,175,SOD-64,,,No,image/diodes/standard-recovery/86032.png
BYT56G,Enlarge,400,3,1.4 at 3,80,100,175,SOD-64,,,No,image/diodes/standard-recovery/86032.png
BYT56J,Enlarge,600,3,1.4 at 3,80,100,175,SOD-64,,,No,image/diodes/standard-recovery/86032.png
BYT56K,Enlarge,800,3,1.4 at 3,80,100,175,SOD-64,,,No,image/diodes/standard-recovery/86032.png
BYT56M,Enlarge,1000,3,1.4 at 3,80,100,175,SOD-64,,,No,image/diodes/standard-recovery/86032.png
BYT62,Enlarge,2400,0.35,3 at 0.2,10,5000,175,SOD-57,,,No,image/diodes/standard-recovery/86033.png
BYT77,Enlarge,800,3,1.2 at 3,100,250,175,SOD-64,,,No,image/diodes/standard-recovery/86034.png
BYT78,Enlarge,1000,3,1.2 at 3,100,250,175,SOD-64,,,No,image/diodes/standard-recovery/86034.png
BYV12,Enlarge,100,1.5,1.5 at 1,40,300,175,SOD-57,,,No,image/diodes/standard-recovery/86039.png
BYV13,Enlarge,400,1.5,1.5 at 1,40,300,175,SOD-57,,,No,image/diodes/standard-recovery/86039.png
BYV14,Enlarge,600,1.5,1.5 at 1,40,300,175,SOD-57,,,No,image/diodes/standard-recovery/86039.png
BYV15,Enlarge,800,1.5,1.5 at 1,40,300,175,SOD-57,,,No,image/diodes/standard-recovery/86039.png
BYV16,Enlarge,1000,1.5,1.5 at 1,40,300,175,SOD-57,,,No,image/diodes/standard-recovery/86039.png
BYV37,Enlarge,800,2,1.1 at 1,50,300,175,SOD-57,,,No,image/diodes/standard-recovery/86045.png
BYV38,Enlarge,1000,2,1.1 at 1,50,300,175,SOD-57,,,No,image/diodes/standard-recovery/86045.png
BYW172D,Enlarge,200,3,1.1 at 3,100,100,175,SOD-64,,,No,image/diodes/standard-recovery/86096.png
BYW172F,Enlarge,300,3,1.1 at 3,100,100,175,SOD-64,,,No,image/diodes/standard-recovery/86096.png
BYW172G,Enlarge,400,3,1.1 at 3,100,100,175,SOD-64,,,No,image/diodes/standard-recovery/86096.png
BYW178,Enlarge,800,3,1.9 at 3,80,60,175,SOD-64,,,No,image/diodes/standard-recovery/86047.png
BYW32,Enlarge,200,2,1.1 at 1,50,200,175,SOD-57,,,No,image/diodes/standard-recovery/86048.png
BYW33,Enlarge,300,2,1.1 at 1,50,200,175,SOD-57,,,No,image/diodes/standard-recovery/86048.png
BYW34,Enlarge,400,2,1.1 at 1,50,200,175,SOD-57,,,No,image/diodes/standard-recovery/86048.png
BYW35,Enlarge,500,2,1.1 at 1,50,200,175,SOD-57,,,No,image/diodes/standard-recovery/86048.png
BYW36,Enlarge,600,2,1.1 at 1,50,200,175,SOD-57,,,No,image/diodes/standard-recovery/86048.png
BYW52,Enlarge,200,2,1 at 1,50,4000,175,SOD-57,,,Yes,image/diodes/standard-recovery/86049.png
BYW53,Enlarge,400,2,1 at 1,50,4000,175,SOD-57,,,Yes,image/diodes/standard-recovery/86049.png
BYW54,Enlarge,600,2,1 at 1,50,4000,175,SOD-57,,,Yes,image/diodes/standard-recovery/86049.png
BYW55,Enlarge,800,2,1 at 1,50,4000,175,SOD-57,,,Yes,image/diodes/standard-recovery/86049.png
BYW56,Enlarge,1000,2,1 at 1,50,4000,175,SOD-57,,,Yes,image/diodes/standard-recovery/86049.png
BYW72,Enlarge,200,3,1.1 at 3,100,200,175,SOD-64,,,No,image/diodes/standard-recovery/86050.png
BYW73,Enlarge,300,3,1.1 at 3,100,200,175,SOD-64,,,No,image/diodes/standard-recovery/86050.png
BYW74,Enlarge,400,3,1.1 at 3,100,200,175,SOD-64,,,No,image/diodes/standard-recovery/86050.png
BYW75,Enlarge,500,3,1.1 at 3,100,200,175,SOD-64,,,No,image/diodes/standard-recovery/86050.png
