Part Number▲▼,Product Image,Rev. Voltage(V)▲▼,IF(AV)(A)▲▼,VFat IF(V)▲▼,IFSM(A)▲▼,trr(ns)▲▼,TJmax.(°C)▲▼,Package (JEDEC®) Code▲▼,CircuitConfiguration▲▼,Snap factor▲▼,AEC-Q101Qualified▲▼,Image path
GL34A,Enlarge,50,0.5,see datasheet,10,,175,GL34 (DO-213AA),Single,,No,image/diodes/standard-recovery/88634.png
GL34B,Enlarge,100,0.5,see datasheet,10,,175,GL34 (DO-213AA),Single,,No,image/diodes/standard-recovery/88634.png
GL34D,Enlarge,200,0.5,see datasheet,10,,175,GL34 (DO-213AA),Single,,No,image/diodes/standard-recovery/88634.png
GL34G,Enlarge,400,0.5,see datasheet,10,,175,GL34 (DO-213AA),Single,,No,image/diodes/standard-recovery/88634.png
GL34J,Enlarge,600,0.5,see datasheet,10,,175,GL34 (DO-213AA),Single,,No,image/diodes/standard-recovery/88634.png
GL41x,Enlarge,50 to 1000,1,see datasheet,30,,175,MELF (DO-213AB),Single,,No,image/diodes/standard-recovery/88546.png
GL41x,Enlarge,50 to 1600,1,see datasheet,30,,175,MELF (DO-213AB),Single,,No,image/diodes/standard-recovery/88546.png
GP02-20,Enlarge,2000,0.25,3.0,15,,175,DO-41 (DO-204AL),Single,,No,image/diodes/standard-recovery/88635.png
GP02-25,Enlarge,2500,0.25,3.0,15,,175,DO-41 (DO-204AL),Single,,No,image/diodes/standard-recovery/88635.png
GP02-30,Enlarge,3000,0.25,3.0,15,,175,DO-41 (DO-204AL),Single,,No,image/diodes/standard-recovery/88635.png
GP02-35,Enlarge,3500,0.25,3.0,15,,175,DO-41 (DO-204AL),Single,,No,image/diodes/standard-recovery/88635.png
GP02-40,Enlarge,4000,0.25,3.0,15,,175,DO-41 (DO-204AL),Single,,No,image/diodes/standard-recovery/88635.png
GPP10A,Enlarge,50,1,1.1,30,,150,DO-41 (DO-204AL),Single,,No,image/diodes/standard-recovery/88641.png
GPP10B,Enlarge,100,1,1.1,30,,150,DO-41 (DO-204AL),Single,,No,image/diodes/standard-recovery/88641.png
GPP10D,Enlarge,200,1,1.1,30,,150,DO-41 (DO-204AL),Single,,No,image/diodes/standard-recovery/88641.png
GPP10G,Enlarge,400,1,1.1,30,,150,DO-41 (DO-204AL),Single,,No,image/diodes/standard-recovery/88641.png
GPP10J,Enlarge,600,1,1.1,30,,150,DO-41 (DO-204AL),Single,,No,image/diodes/standard-recovery/88641.png
GPP10K,Enlarge,800,1,1.1,30,,150,DO-41 (DO-204AL),Single,,No,image/diodes/standard-recovery/88641.png
GPP10M,Enlarge,1000,1,1.1,30,,150,DO-41 (DO-204AL),Single,,No,image/diodes/standard-recovery/88641.png
GPP20A,Enlarge,50,2,1.1,70,,150,DO-15 (DO-204AC),Single,,No,image/diodes/standard-recovery/88642.png
GPP20B,Enlarge,100,2,1.1,70,,150,DO-15 (DO-204AC),Single,,No,image/diodes/standard-recovery/88642.png
GPP20D,Enlarge,200,2,1.1,70,,150,DO-15 (DO-204AC),Single,,No,image/diodes/standard-recovery/88642.png
GPP20G,Enlarge,400,2,1.1,70,,150,DO-15 (DO-204AC),Single,,No,image/diodes/standard-recovery/88642.png
GPP20J,Enlarge,600,2,1.1,70,,150,DO-15 (DO-204AC),Single,,No,image/diodes/standard-recovery/88642.png
GPP20K,Enlarge,800,2,1.1,70,,150,DO-15 (DO-204AC),Single,,No,image/diodes/standard-recovery/88642.png
GPP20M,Enlarge,1000,2,1.1,70,,150,DO-15 (DO-204AC),Single,,No,image/diodes/standard-recovery/88642.png
MPG06A,Enlarge,50,1,1.1,40,,150,MPG06,Single die,,Yes,image/diodes/standard-recovery/88682.png
MPG06B,Enlarge,100,1,1.1,40,,150,MPG06,Single die,,Yes,image/diodes/standard-recovery/88682.png
MPG06D,Enlarge,200,1,1.1,40,,150,MPG06,Single die,,Yes,image/diodes/standard-recovery/88682.png
MPG06G,Enlarge,400,1,1.1,40,,150,MPG06,Single die,,Yes,image/diodes/standard-recovery/88682.png
MPG06J,Enlarge,600,1,1.1,40,,150,MPG06,Single die,,Yes,image/diodes/standard-recovery/88682.png
MPG06K,Enlarge,800,1,1.1,40,,150,MPG06,Single die,,Yes,image/diodes/standard-recovery/88682.png
MPG06M,Enlarge,1000,1,1.1,40,,150,MPG06,Single die,,Yes,image/diodes/standard-recovery/88682.png
MRSE1PK,Enlarge,800,1,1.0,15,250,175,MicroSMP (DO-219AD),Single,,No,image/diodes/standard-recovery/98651.png
MSE07PB,Enlarge,100,0.7,0.83,20,,175,MicroSMP (DO-219AD),Single,,Yes,image/diodes/standard-recovery/87795.png
MSE07PD,Enlarge,200,0.7,0.83,20,,175,MicroSMP (DO-219AD),Single,,Yes,image/diodes/standard-recovery/87795.png
MSE07PG,Enlarge,400,0.7,0.83,20,,175,MicroSMP (DO-219AD),Single,,Yes,image/diodes/standard-recovery/87795.png
MSE07PJ,Enlarge,600,0.7,0.83,20,,175,MicroSMP (DO-219AD),Single,,Yes,image/diodes/standard-recovery/87795.png
MSE1PB,Enlarge,100,1,0.925,20,,175,MicroSMP (DO-219AD),Single,,Yes,image/diodes/standard-recovery/89067.png
MSE1PD,Enlarge,200,1,0.925,20,,175,MicroSMP (DO-219AD),Single,,Yes,image/diodes/standard-recovery/89067.png
MSE1PG,Enlarge,400,1,0.925,20,,175,MicroSMP (DO-219AD),Single,,Yes,image/diodes/standard-recovery/89067.png
MSE1PJ,Enlarge,600,1,0.925,20,,175,MicroSMP (DO-219AD),Single,,Yes,image/diodes/standard-recovery/89067.png
MSQ1PG,Enlarge,400,1,0.99,15,,175,MicroSMP (DO-219AD),Single,,Yes,image/diodes/standard-recovery/87547.png
MSQ1PJ,Enlarge,600,1,0.99,15,,175,MicroSMP (DO-219AD),Single,,Yes,image/diodes/standard-recovery/87547.png
MSX1PB,Enlarge,100,1,0.9,18,,175,MicroSMP (DO-219AD),Single,,Yes,image/diodes/standard-recovery/87726.png
MSX1PD,Enlarge,200,1,0.9,18,,175,MicroSMP (DO-219AD),Single,,Yes,image/diodes/standard-recovery/87726.png
MSX1PG,Enlarge,400,1,0.9,18,,175,MicroSMP (DO-219AD),Single,,Yes,image/diodes/standard-recovery/87726.png
MSX1PJ,Enlarge,600,1,0.9,18,,175,MicroSMP (DO-219AD),Single,,Yes,image/diodes/standard-recovery/87726.png
NS8xT,Enlarge,50 to 1000,8,1.1,125,,150,TO-220AC,Single,,Yes,image/diodes/standard-recovery/88690.png
NSB8xT,Enlarge,50 to 1000,8,1.1,125,,150,D2PAK (TO-263AB),Single,,Yes,image/diodes/standard-recovery/88690.png
