Series▲▼,Product Image,Product Group▲▼,VRmax. / VRRM(V)▲▼,IFmax.(mA)▲▼,VFmax. at IF(mV at mA)▲▼,AEC-Q101 Qualified▲▼,Package (JEDEC®) Code▲▼,Circuit Configuration▲▼,Image path
BAS86,Enlarge,Small Signal Schottky Diode,,,,,,,image/diodes/ss-schottky/85511.png
BAS86-M,Enlarge,Small Signal Schottky Diode,50,200,900 at 100,No,MiniMELF (SOD-80),Single,image/diodes/ss-schottky/83402.png
BAT165,Enlarge,Small Signal Schottky Diode,40,750,740 at 750,Yes,MicroSMF (DO-219AC),Single,image/diodes/ss-schottky/86134.png
BAT41,Enlarge,Small Signal Schottky Diode,100,100,1000 at 200,No,DO-35 (DO-204AH),Single,image/diodes/ss-schottky/85659.png
"BAT42, BAT43",Enlarge,Small Signal Schottky Diode,30,200,650 at 200,No,DO-35 (DO-204AH),Single,image/diodes/ss-schottky/85660.png
"BAT42, BAT43",Enlarge,Small Signal Schottky Diode,30,200,450 at 200,No,DO-35 (DO-204AH),Single,image/diodes/ss-schottky/85660.png
"BAT42W, BAT43W",Enlarge,Small Signal Schottky Diode,30,300,650 at 200,Yes,SOD-123,Single,image/diodes/ss-schottky/86404.png
"BAT42W, BAT43W",Enlarge,Small Signal Schottky Diode,30,300,450 at 200,Yes,SOD-123,Single,image/diodes/ss-schottky/86404.png
"BAT42W-G, BAT43W-G",Enlarge,Small Signal Schottky Diode,30,300,1000 at 200,Yes,SOD-123,Single,image/diodes/ss-schottky/86405.png
"BAT42WS, BAT43WS",Enlarge,Small Signal Schottky Diode,30,200,650 at 200,Yes,SOD-323,Single,image/diodes/ss-schottky/81813.png
"BAT42WS, BAT43WS",Enlarge,Small Signal Schottky Diode,30,200,450 at 200,Yes,SOD-323,Single,image/diodes/ss-schottky/81813.png
"BAT42WS-G, BAT43WS-G",Enlarge,Small Signal Schottky Diode,30,200,650 at 200,Yes,SOD-323,Single,image/diodes/ss-schottky/85238.png
"BAT42WS-G, BAT43WS-G",Enlarge,Small Signal Schottky Diode,30,200,450 at 200,Yes,SOD-323,Single,image/diodes/ss-schottky/85238.png
BAT46,Enlarge,Small Signal Schottky Diode,100,150,1000 at 250,No,DO-35 (DO-204AH),Single,image/diodes/ss-schottky/85662.png
BAT46W,Enlarge,Small Signal Schottky Diode,100,200,1000 at 250,Yes,SOD-123,Single,image/diodes/ss-schottky/86406.png
