Part Number▲▼,Product Image,IF(AV)(A)▲▼,VFat IF(V at A)▲▼,IFSM(A)▲▼,Rev. Voltage(V)▲▼,TJmax.(°C)▲▼,Package (JEDEC®) Code▲▼,Circuit Configuration▲▼,Image path
GBU6G,Enlarge,6,1.0,175,100,150,GBU,In-line,image/diodes/bridge/88615.png
GBU6G,Enlarge,6,1.0,175,600,150,GBU,In-line,image/diodes/bridge/88615.png
GBU6G,Enlarge,6,1.0,175,200,150,GBU,In-line,image/diodes/bridge/88615.png
GBU6G,Enlarge,6,1.0,175,800,150,GBU,In-line,image/diodes/bridge/88615.png
GBU6G,Enlarge,6,1.0,175,50,150,GBU,In-line,image/diodes/bridge/88615.png
GBU6G,Enlarge,6,1.0,175,400,150,GBU,In-line,image/diodes/bridge/88615.png
GBU6G,Enlarge,6,1.0,175,1000,150,GBU,In-line,image/diodes/bridge/88615.png
GBU6J,Enlarge,6,1.0,175,800,150,GBU,In-line,image/diodes/bridge/88615.png
GBU6J,Enlarge,6,1.0,175,50,150,GBU,In-line,image/diodes/bridge/88615.png
GBU6J,Enlarge,6,1.0,175,400,150,GBU,In-line,image/diodes/bridge/88615.png
GBU6J,Enlarge,6,1.0,175,1000,150,GBU,In-line,image/diodes/bridge/88615.png
GBU6J,Enlarge,6,1.0,175,100,150,GBU,In-line,image/diodes/bridge/88615.png
GBU6J,Enlarge,6,1.0,175,600,150,GBU,In-line,image/diodes/bridge/88615.png
GBU6J,Enlarge,6,1.0,175,200,150,GBU,In-line,image/diodes/bridge/88615.png
GBU6K,Enlarge,6,1.0,175,100,150,GBU,In-line,image/diodes/bridge/88615.png
GBU6K,Enlarge,6,1.0,175,600,150,GBU,In-line,image/diodes/bridge/88615.png
GBU6K,Enlarge,6,1.0,175,200,150,GBU,In-line,image/diodes/bridge/88615.png
GBU6K,Enlarge,6,1.0,175,800,150,GBU,In-line,image/diodes/bridge/88615.png
GBU6K,Enlarge,6,1.0,175,50,150,GBU,In-line,image/diodes/bridge/88615.png
GBU6K,Enlarge,6,1.0,175,400,150,GBU,In-line,image/diodes/bridge/88615.png
GBU6K,Enlarge,6,1.0,175,1000,150,GBU,In-line,image/diodes/bridge/88615.png
GBU6M,Enlarge,6,1.0,175,50,150,GBU,In-line,image/diodes/bridge/88615.png
GBU6M,Enlarge,6,1.0,175,400,150,GBU,In-line,image/diodes/bridge/88615.png
GBU6M,Enlarge,6,1.0,175,1000,150,GBU,In-line,image/diodes/bridge/88615.png
GBU6M,Enlarge,6,1.0,175,100,150,GBU,In-line,image/diodes/bridge/88615.png
GBU6M,Enlarge,6,1.0,175,600,150,GBU,In-line,image/diodes/bridge/88615.png
GBU6M,Enlarge,6,1.0,175,200,150,GBU,In-line,image/diodes/bridge/88615.png
GBU6M,Enlarge,6,1.0,175,800,150,GBU,In-line,image/diodes/bridge/88615.png
GBU8A,Enlarge,8,1.0,200,200,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8A,Enlarge,8,1.0,200,800,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8A,Enlarge,8,1.0,200,50,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8A,Enlarge,8,1.0,200,400,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8A,Enlarge,8,1.0,200,1000,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8A,Enlarge,8,1.0,200,100,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8A,Enlarge,8,1.0,200,600,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8B,Enlarge,8,1.0,200,100,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8B,Enlarge,8,1.0,200,600,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8B,Enlarge,8,1.0,200,200,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8B,Enlarge,8,1.0,200,800,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8B,Enlarge,8,1.0,200,50,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8B,Enlarge,8,1.0,200,400,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8B,Enlarge,8,1.0,200,1000,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8D,Enlarge,8,1.0,200,200,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8D,Enlarge,8,1.0,200,800,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8D,Enlarge,8,1.0,200,50,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8D,Enlarge,8,1.0,200,400,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8D,Enlarge,8,1.0,200,1000,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8D,Enlarge,8,1.0,200,100,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8D,Enlarge,8,1.0,200,600,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8G,Enlarge,8,1.0,200,100,150,GBU,In-line,image/diodes/bridge/88616.png
