Series▲▼,Product Image,Part Number▲▼,VzMin.(V)▲▼,VzMax.(V)▲▼,VzNom.(V)▲▼,Izt(mA)▲▼,Ptot(mW)▲▼,Package (JEDEC®) Code▲▼,VzSpecification▲▼,AEC-Q101Qualified▲▼,Image path
1N4728A to 1N4761A,Enlarge,1N4744A,3.3,75,15,17,1300,DO-41 (DO-204AL),Thermal equilibrium,No,image/diodes/zener-stabilizers/85816.png
1N4728A to 1N4761A,Enlarge,1N4745A,3.3,75,16,15.5,1300,DO-41 (DO-204AL),Thermal equilibrium,No,image/diodes/zener-stabilizers/85816.png
1N4728A to 1N4761A,Enlarge,1N4746A,3.3,75,18,14,1300,DO-41 (DO-204AL),Thermal equilibrium,No,image/diodes/zener-stabilizers/85816.png
1N4728A to 1N4761A,Enlarge,1N4747A,3.3,75,20,12.5,1300,DO-41 (DO-204AL),Thermal equilibrium,No,image/diodes/zener-stabilizers/85816.png
1N4728A to 1N4761A,Enlarge,1N4748A,3.3,75,22,11.5,1300,DO-41 (DO-204AL),Thermal equilibrium,No,image/diodes/zener-stabilizers/85816.png
1N4728A to 1N4761A,Enlarge,1N4749A,3.3,75,24,10.5,1300,DO-41 (DO-204AL),Thermal equilibrium,No,image/diodes/zener-stabilizers/85816.png
1N4728A to 1N4761A,Enlarge,1N4750A,3.3,75,27,9.5,1300,DO-41 (DO-204AL),Thermal equilibrium,No,image/diodes/zener-stabilizers/85816.png
1N4728A to 1N4761A,Enlarge,1N4751A,3.3,75,30,8.5,1300,DO-41 (DO-204AL),Thermal equilibrium,No,image/diodes/zener-stabilizers/85816.png
1N4728A to 1N4761A,Enlarge,1N4752A,3.3,75,33,7.5,1300,DO-41 (DO-204AL),Thermal equilibrium,No,image/diodes/zener-stabilizers/85816.png
1N4728A to 1N4761A,Enlarge,1N4753A,3.3,75,36,7,1300,DO-41 (DO-204AL),Thermal equilibrium,No,image/diodes/zener-stabilizers/85816.png
1N4728A to 1N4761A,Enlarge,1N4754A,3.3,75,39,6.5,1300,DO-41 (DO-204AL),Thermal equilibrium,No,image/diodes/zener-stabilizers/85816.png
1N4728A to 1N4761A,Enlarge,1N4755A,3.3,75,43,6,1300,DO-41 (DO-204AL),Thermal equilibrium,No,image/diodes/zener-stabilizers/85816.png
1N4728A to 1N4761A,Enlarge,1N4756A,3.3,75,47,5.5,1300,DO-41 (DO-204AL),Thermal equilibrium,No,image/diodes/zener-stabilizers/85816.png
1N4728A to 1N4761A,Enlarge,1N4757A,3.3,75,51,5,1300,DO-41 (DO-204AL),Thermal equilibrium,No,image/diodes/zener-stabilizers/85816.png
1N4728A to 1N4761A,Enlarge,1N4758A,3.3,75,56,4.5,1300,DO-41 (DO-204AL),Thermal equilibrium,No,image/diodes/zener-stabilizers/85816.png
1N4728A to 1N4761A,Enlarge,1N4759A,3.3,75,62,4,1300,DO-41 (DO-204AL),Thermal equilibrium,No,image/diodes/zener-stabilizers/85816.png
1N4728A to 1N4761A,Enlarge,1N4760A,3.3,75,68,3.7,1300,DO-41 (DO-204AL),Thermal equilibrium,No,image/diodes/zener-stabilizers/85816.png
1N4728A to 1N4761A,Enlarge,1N4761A,3.3,75,75,3.3,1300,DO-41 (DO-204AL),Thermal equilibrium,No,image/diodes/zener-stabilizers/85816.png
1N5221 to 1N5267,Enlarge,1N5221,2.4,75,2.4,20,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5222,2.4,75,2.5,20,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5223,2.4,75,2.7,20,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5224,2.4,75,2.8,20,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5225,2.4,75,3,20,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5226,2.4,75,3.3,20,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5227,2.4,75,3.6,20,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5228,2.4,75,3.9,20,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5229,2.4,75,4.3,20,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5230,2.4,75,4.7,20,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5231,2.4,75,5.1,20,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5232,2.4,75,5.6,20,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5233,2.4,75,6,20,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5234,2.4,75,6.2,20,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5235,2.4,75,6.8,20,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5236,2.4,75,7.5,20,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5237,2.4,75,8.2,20,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5238,2.4,75,8.7,20,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5239,2.4,75,9.1,20,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5240,2.4,75,10,20,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5241,2.4,75,11,20,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
