Series▲▼,Product Image,Part Number▲▼,VzMin.(V)▲▼,VzMax.(V)▲▼,VzNom.(V)▲▼,Izt(mA)▲▼,Ptot(mW)▲▼,Package (JEDEC®) Code▲▼,VzSpecification▲▼,AEC-Q101Qualified▲▼,Image path
BZG04-M-Series,Enlarge,BZG04-47-M,10,270,56,10,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86139.png
BZG04-M-Series,Enlarge,BZG04-51-M,10,270,62,10,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86139.png
BZG04-M-Series,Enlarge,BZG04-56-M,10,270,68,10,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86139.png
BZG04-M-Series,Enlarge,BZG04-62-M,10,270,75,10,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86139.png
BZG04-M-Series,Enlarge,BZG04-68-M,10,270,82,10,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86139.png
BZG04-M-Series,Enlarge,BZG04-75-M,10,270,91,5,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86139.png
BZG04-M-Series,Enlarge,BZG04-82-M,10,270,100,5,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86139.png
BZG04-M-Series,Enlarge,BZG04-91-M,10,270,110,5,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86139.png
BZG04-M-Series,Enlarge,BZG04-100-M,10,270,120,5,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86139.png
BZG04-M-Series,Enlarge,BZG04-110-M,10,270,130,5,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86139.png
BZG04-M-Series,Enlarge,BZG04-120-M,10,270,150,5,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86139.png
BZG04-M-Series,Enlarge,BZG04-130-M,10,270,160,5,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86139.png
BZG04-M-Series,Enlarge,BZG04-150-M,10,270,180,5,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86139.png
BZG04-M-Series,Enlarge,BZG04-160-M,10,270,200,5,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86139.png
BZG04-M-Series,Enlarge,BZG04-180-M,10,270,220,2,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86139.png
BZG04-M-Series,Enlarge,BZG04-200-M,10,270,240,2,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86139.png
BZG04-M-Series,Enlarge,BZG04-220-M,10,270,270,2,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86139.png
BZG05B-M-Series,Enlarge,BZG05B3V3-M,3.3,100,3.3,80,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B3V6-M,3.3,100,3.6,60,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B3V9-M,3.3,100,3.9,60,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B4V3-M,3.3,100,4.3,50,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B4V7-M,3.3,100,4.7,45,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B5V1-M,3.3,100,5.1,45,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B5V6-M,3.3,100,5.6,45,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B6V2-M,3.3,100,6.2,35,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B6V8-M,3.3,100,6.8,35,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B7V5-M,3.3,100,7.5,35,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B8V2-M,3.3,100,8.2,25,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B9V1-M,3.3,100,9.1,25,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B10-M,3.3,100,10,25,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B11-M,3.3,100,11,20,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B12-M,3.3,100,12,20,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B13-M,3.3,100,13,20,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B15-M,3.3,100,15,15,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B16-M,3.3,100,16,15,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B18-M,3.3,100,18,15,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B20-M,3.3,100,20,10,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B22-M,3.3,100,22,10,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B24-M,3.3,100,24,10,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B27-M,3.3,100,27,8,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B30-M,3.3,100,30,8,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B33-M,3.3,100,33,8,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B36-M,3.3,100,36,8,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B39-M,3.3,100,39,6,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B43-M,3.3,100,43,6,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B47-M,3.3,100,47,4,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B51-M,3.3,100,51,4,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B56-M,3.3,100,56,4,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B62-M,3.3,100,62,4,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B68-M,3.3,100,68,4,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B75-M,3.3,100,75,4,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B82-M,3.3,100,82,2.7,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B91-M,3.3,100,91,2.7,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05B-M-Series,Enlarge,BZG05B100-M,3.3,100,100,2.7,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86136.png
BZG05C-M-Series,Enlarge,BZG05C3V3-M,3.3,100,3.3,80,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C3V6-M,3.3,100,3.6,60,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C3V9-M,3.3,100,3.9,60,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C4V3-M,3.3,100,4.3,50,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C4V7-M,3.3,100,4.7,45,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C5V1-M,3.3,100,5.1,45,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C5V6-M,3.3,100,5.6,45,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C6V2-M,3.3,100,6.2,35,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C6V8-M,3.3,100,6.8,35,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C7V5-M,3.3,100,7.5,35,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C8V2-M,3.3,100,8.2,25,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C9V1-M,3.3,100,9.1,25,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C10-M,3.3,100,10,25,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C11-M,3.3,100,11,20,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C12-M,3.3,100,12,20,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C13-M,3.3,100,13,20,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C15-M,3.3,100,15,15,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C16-M,3.3,100,16,15,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C18-M,3.3,100,18,15,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C20-M,3.3,100,20,10,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C22-M,3.3,100,22,10,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C24-M,3.3,100,24,10,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C27-M,3.3,100,27,8,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C30-M,3.3,100,30,8,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C33-M,3.3,100,33,8,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C36-M,3.3,100,36,8,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C39-M,3.3,100,39,6,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C43-M,3.3,100,43,6,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C47-M,3.3,100,47,4,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C51-M,3.3,100,51,4,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C56-M,3.3,100,56,4,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C62-M,3.3,100,62,4,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C68-M,3.3,100,68,4,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C75-M,3.3,100,75,4,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C82-M,3.3,100,82,2.7,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C91-M,3.3,100,91,2.7,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZG05C-M-Series,Enlarge,BZG05C100-M,3.3,100,100,2.7,3000,SMA (DO-214AC),Pulse current,Yes,image/diodes/zener-stabilizers/86135.png
BZM55-Series,Enlarge,BZM55C2V4,2.4,75,2.4,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C2V7,2.4,75,2.7,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C3V0,2.4,75,3,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C3V3,2.4,75,3.3,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C3V6,2.4,75,3.6,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C3V9,2.4,75,3.9,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C4V3,2.4,75,4.3,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C4V7,2.4,75,4.7,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C5V1,2.4,75,5.1,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C5V6,2.4,75,5.6,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C6V2,2.4,75,6.2,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C6V8,2.4,75,6.8,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C7V5,2.4,75,7.5,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C8V2,2.4,75,8.2,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C9V1,2.4,75,9.1,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C10,2.4,75,10,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C11,2.4,75,11,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C12,2.4,75,12,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C13,2.4,75,13,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C15,2.4,75,15,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C16,2.4,75,16,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C18,2.4,75,18,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C20,2.4,75,20,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C22,2.4,75,22,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C24,2.4,75,24,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C27,2.4,75,27,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C30,2.4,75,30,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C33,2.4,75,33,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C36,2.4,75,36,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C39,2.4,75,39,2.5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C43,2.4,75,43,2.5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C47,2.4,75,47,2.5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C51,2.4,75,51,2.5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C56,2.4,75,56,2.5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C62,2.4,75,62,2.5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C68,2.4,75,68,2.5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55C75,2.4,75,75,2.5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B2V4,2.4,75,2.4,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B2V7,2.4,75,2.7,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B3V0,2.4,75,3,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B3V3,2.4,75,3.3,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B3V6,2.4,75,3.6,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B3V9,2.4,75,3.9,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B4V3,2.4,75,4.3,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B4V7,2.4,75,4.7,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B5V1,2.4,75,5.1,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B5V6,2.4,75,5.6,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B6V2,2.4,75,6.2,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B6V8,2.4,75,6.8,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B7V5,2.4,75,7.5,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B8V2,2.4,75,8.2,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B9V1,2.4,75,9.1,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B10,2.4,75,10,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B11,2.4,75,11,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B12,2.4,75,12,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B13,2.4,75,13,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B15,2.4,75,15,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B16,2.4,75,16,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B18,2.4,75,18,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B20,2.4,75,20,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B22,2.4,75,22,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B24,2.4,75,24,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B27,2.4,75,27,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B30,2.4,75,30,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B33,2.4,75,33,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B36,2.4,75,36,5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B39,2.4,75,39,2.5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B43,2.4,75,43,2.5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B47,2.4,75,47,2.5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B51,2.4,75,51,2.5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B56,2.4,75,56,2.5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B62,2.4,75,62,2.5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B68,2.4,75,68,2.5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZM55-Series,Enlarge,BZM55B75,2.4,75,75,2.5,500,MicroMELF,Pulse current,No,image/diodes/zener-stabilizers/85597.png
BZT03-Series,Enlarge,BZT03C6V2,6.2,300,6.2,100,3250,SOD-57,Pulse current,No,image/diodes/zener-stabilizers/85599.png
BZT03-Series,Enlarge,BZT03C6V8,6.2,300,6.8,100,3250,SOD-57,Pulse current,No,image/diodes/zener-stabilizers/85599.png
BZT03-Series,Enlarge,BZT03C7V5,6.2,300,7.5,100,3250,SOD-57,Pulse current,No,image/diodes/zener-stabilizers/85599.png
BZT03-Series,Enlarge,BZT03C8V2,6.2,300,8.2,100,3250,SOD-57,Pulse current,No,image/diodes/zener-stabilizers/85599.png
BZT03-Series,Enlarge,BZT03C9V1,6.2,300,9.1,50,3250,SOD-57,Pulse current,No,image/diodes/zener-stabilizers/85599.png
BZT03-Series,Enlarge,BZT03C10,6.2,300,10,50,3250,SOD-57,Pulse current,No,image/diodes/zener-stabilizers/85599.png
BZT03-Series,Enlarge,BZT03C11,6.2,300,11,50,3250,SOD-57,Pulse current,No,image/diodes/zener-stabilizers/85599.png
BZT03-Series,Enlarge,BZT03C12,6.2,300,12,50,3250,SOD-57,Pulse current,No,image/diodes/zener-stabilizers/85599.png
BZT03-Series,Enlarge,BZT03C13,6.2,300,13,50,3250,SOD-57,Pulse current,No,image/diodes/zener-stabilizers/85599.png
BZT03-Series,Enlarge,BZT03C15,6.2,300,15,50,3250,SOD-57,Pulse current,No,image/diodes/zener-stabilizers/85599.png
BZT03-Series,Enlarge,BZT03C16,6.2,300,16,25,3250,SOD-57,Pulse current,No,image/diodes/zener-stabilizers/85599.png
BZT03-Series,Enlarge,BZT03C18,6.2,300,18,25,3250,SOD-57,Pulse current,No,image/diodes/zener-stabilizers/85599.png
BZT03-Series,Enlarge,BZT03C20,6.2,300,20,25,3250,SOD-57,Pulse current,No,image/diodes/zener-stabilizers/85599.png
BZT03-Series,Enlarge,BZT03C22,6.2,300,22,25,3250,SOD-57,Pulse current,No,image/diodes/zener-stabilizers/85599.png
BZT03-Series,Enlarge,BZT03C24,6.2,300,24,25,3250,SOD-57,Pulse current,No,image/diodes/zener-stabilizers/85599.png
BZT03-Series,Enlarge,BZT03C27,6.2,300,27,25,3250,SOD-57,Pulse current,No,image/diodes/zener-stabilizers/85599.png
BZT03-Series,Enlarge,BZT03C30,6.2,300,30,25,3250,SOD-57,Pulse current,No,image/diodes/zener-stabilizers/85599.png
BZT03-Series,Enlarge,BZT03C33,6.2,300,33,25,3250,SOD-57,Pulse current,No,image/diodes/zener-stabilizers/85599.png
BZT03-Series,Enlarge,BZT03C36,6.2,300,36,10,3250,SOD-57,Pulse current,No,image/diodes/zener-stabilizers/85599.png
