Part Number▲▼,Product Image,Rev. Voltage(V)▲▼,IF(AV)(A)▲▼,VFat IF(V at A)▲▼,IFSM(A)▲▼,IRM(mA)▲▼,TJmax.(°C)▲▼,Package (JEDEC®) Code▲▼,Circuit Configuration▲▼,AEC-Q101Qualified▲▼,Image path
V10PWM153,Enlarge,150,10,0.61,180,,175,SlimDPAK (TO-252AE),Single,Yes,image/diodes/schottky/98166.png
V10PWM153C,Enlarge,150,2 x 5,0.63,80,,175,SlimDPAK (TO-252AE),Common cathode,Yes,image/diodes/schottky/98163.png
V10PWM45,Enlarge,45,10,0.46,180,,175,SlimDPAK (TO-252AE),Single,Yes,image/diodes/schottky/98176.png
V10PWM45C,Enlarge,45,2 x 5,0.45,80,,175,SlimDPAK (TO-252AE),Common cathode,Yes,image/diodes/schottky/98212.png
V10PWM60,Enlarge,60,10,0.49,180,,175,SlimDPAK (TO-252AE),Single,Yes,image/diodes/schottky/98180.png
V10PWM60C,Enlarge,60,2 x 5,0.51,80,,175,SlimDPAK (TO-252AE),Common cathode,Yes,image/diodes/schottky/98213.png
V10PWM63,Enlarge,60,10,0.52,180,,175,SlimDPAK (TO-252AE),Single,Yes,image/diodes/schottky/98255.png
V10PWM63C,Enlarge,60,2 x 5,0.54,80,,175,SlimDPAK (TO-252AE),Common cathode,Yes,image/diodes/schottky/98261.png
V12P10,Enlarge,100,12,0.58,200,,150,SMPC (TO-277A),Single,Yes,image/diodes/schottky/88981.png
V12P103,Enlarge,100,12,0.52,200,,150,SMPC (TO-277A),Single,Yes,image/diodes/schottky/98456.png
V12P12,Enlarge,120,12,0.63,150,,150,SMPC (TO-277A),Single,Yes,image/diodes/schottky/89094.png
V12P15,Enlarge,150,12,0.66,200,,150,SMPC (TO-277A),Single,Yes,image/diodes/schottky/87622.png
V12P22,Enlarge,200,12,0.68,200,,175,SMPC (TO-277A),Single,Yes,image/diodes/schottky/87019.png
V12P45,Enlarge,45,12,0.41,200,,150,SMPC (TO-277A),Single,Yes,image/diodes/schottky/87715.png
V12P6,Enlarge,60,12,0.46,200,,150,SMPC (TO-277A),Single,Yes,image/diodes/schottky/87713.png
V12P8,Enlarge,80,12,0.54,200,,150,SMPC (TO-277A),Single,Yes,image/diodes/schottky/87714.png
V12PL63,Enlarge,60,12,0.45,200,,150,SMPC (TO-277A),Single,Yes,image/diodes/schottky/98226.png
V12PM10,Enlarge,100,12,0.61,200,,175,SMPC (TO-277A),Single,Yes,image/diodes/schottky/87629.png
V12PM103,Enlarge,100,12,0.54,200,,175,SMPC (TO-277A),Single,Yes,image/diodes/schottky/98452.png
V12PM12,Enlarge,120,12,0.63,160,,175,SMPC (TO-277A),Single,Yes,image/diodes/schottky/89938.png
V12PM15,Enlarge,150,12,0.66,200,,175,SMPC (TO-277A),Single,Yes,image/diodes/schottky/87438.png
V12PM153,Enlarge,150,12,0.62,200,,175,SMPC (TO-277A),Single,Yes,image/diodes/schottky/87205.png
V12PM45,Enlarge,45,12,0.46,200,,175,SMPC (TO-277A),Single,Yes,image/diodes/schottky/87439.png
V12PM6,Enlarge,60,12,0.52,200,,175,SMPC (TO-277A),Single,Yes,image/diodes/schottky/87437.png
V12PM63,Enlarge,60,12,0.52,200,,175,SMPC (TO-277A),Single,Yes,image/diodes/schottky/87027.png
V15K100C,Enlarge,100,2 x 7.5,0.55,140,,150,FlatPAK 5 x 6,Common cathode,Yes,image/diodes/schottky/87483.png
V15K120C,Enlarge,120,2 x 7.5,0.6,140,,150,FlatPAK 5 x 6,Common cathode,Yes,image/diodes/schottky/87484.png
V15K150C,Enlarge,150,2 x 7.5,0.63,140,,150,FlatPAK 5 x 6,Common cathode,Yes,image/diodes/schottky/87485.png
V15K170C,Enlarge,170,2 x 7.5,0.66,130,,150,FlatPAK 5 x 6,Common cathode,Yes,image/diodes/schottky/98154.png
V15K202C,Enlarge,200,2 x 7.5,0.66,130,,150,FlatPAK 5 x 6,Common cathode,Yes,image/diodes/schottky/98155.png
V15K60C,Enlarge,60,2 x 7.5,0.44,140,,150,FlatPAK 5 x 6,Common cathode,Yes,image/diodes/schottky/87482.png
V15KL45C,Enlarge,45,2 x 7.5,0.36,140,,150,FlatPAK 5 x 6,Common cathode,Yes,image/diodes/schottky/87481.png
V15KM100C,Enlarge,100,2 x 7.5,0.56,140,,175,FlatPAK 5 x 6,Common cathode,Yes,image/diodes/schottky/87496.png
V15KM120C,Enlarge,120,2 x 7.5,0.6,140,,175,FlatPAK 5 x 6,Common cathode,Yes,image/diodes/schottky/87497.png
V15KM150C,Enlarge,150,2 x 7.5,0.63,140,,175,FlatPAK 5 x 6,Common cathode,Yes,image/diodes/schottky/87498.png
V15KM45C,Enlarge,45,2 x 7.5,0.42,140,,175,FlatPAK 5 x 6,Common cathode,Yes,image/diodes/schottky/87494.png
V15KM60C,Enlarge,60,2 x 7.5,0.47,140,,175,FlatPAK 5 x 6,Common cathode,Yes,image/diodes/schottky/87495.png
V15P10,Enlarge,100,15,0.60,220,,150,SMPC (TO-277A),Single,Yes,image/diodes/schottky/87623.png
V15P103,Enlarge,100,15,0.54,220,,150,SMPC (TO-277A),Single,Yes,image/diodes/schottky/98457.png
V15P12,Enlarge,120,15,0.63,220,,150,SMPC (TO-277A),Single,Yes,image/diodes/schottky/87625.png
V15P15,Enlarge,150,15,0.66,220,,150,SMPC (TO-277A),Single,Yes,image/diodes/schottky/87627.png
V15P22,Enlarge,200,15,0.69,220,,175,SMPC (TO-277A),Single,Yes,image/diodes/schottky/87020.png
V15P45,Enlarge,45,15,0.42,210,,150,SMPC (TO-277A),Single,Yes,image/diodes/schottky/89342.png
V15P45S-M3,Enlarge,45,15,0.42,210,,150,SMPC (TO-277A),Single,No,image/diodes/schottky/89343.png
V15P6,Enlarge,60,15,0.48,220,,150,SMPC (TO-277A),Single,Yes,image/diodes/schottky/87716.png
V15P8,Enlarge,80,15,0.55,220,,150,SMPC (TO-277A),Single,Yes,image/diodes/schottky/87717.png
V15PL50,Enlarge,50,15,0.40,200,,150,SMPC (TO-277A),Single,No,image/diodes/schottky/87990.png
V15PL63,Enlarge,60,15,0.48,220,,150,SMPC (TO-277A),Single,Yes,image/diodes/schottky/98227.png
V15PM10,Enlarge,100,15,0.61,220,,175,SMPC (TO-277A),Single,Yes,image/diodes/schottky/87624.png
V15PM103,Enlarge,100,15,0.56,220,,175,SMPC (TO-277A),Single,Yes,image/diodes/schottky/98453.png
V15PM12,Enlarge,120,15,0.63,220,,175,SMPC (TO-277A),Single,Yes,image/diodes/schottky/87626.png
V15PM15,Enlarge,150,15,0.66,220,,175,SMPC (TO-277A),Single,Yes,image/diodes/schottky/87435.png
V15PM153,Enlarge,150,15,0.62,220,,175,SMPC (TO-277A),Single,Yes,image/diodes/schottky/87206.png
V15PM45,Enlarge,45,15,0.52,220,,175,SMPC (TO-277A),Single,Yes,image/diodes/schottky/87436.png
V15PM6,Enlarge,60,15,0.52,220,,175,SMPC (TO-277A),Single,Yes,image/diodes/schottky/87434.png
V15PM63,Enlarge,60,15,0.55,220,,175,SMPC (TO-277A),Single,Yes,image/diodes/schottky/87028.png
V15PN50-M3,Enlarge,50,15,0.41,200,,150,SMPC (TO-277A),Single,No,image/diodes/schottky/89966.png
V1F22,Enlarge,200,1,0.64,30,,175,SMF (DO-219AB),Single,Yes,image/diodes/schottky/87474.png
V1F6,Enlarge,60,1,0.45,30,,150,SMF (DO-219AB),Single,Yes,image/diodes/schottky/87555.png
V1FL45,Enlarge,45,1,0.36,30,,150,SMF (DO-219AB),Single,Yes,image/diodes/schottky/87556.png
V1FM10,Enlarge,100,1,0.59,30,,175,SMF (DO-219AB),Single,Yes,image/diodes/schottky/87557.png
V1FM12,Enlarge,120,1,0.61,30,,175,SMF (DO-219AB),Single,Yes,image/diodes/schottky/87558.png
V1FM15,Enlarge,150,1,0.64,30,,175,SMF (DO-219AB),Single,Yes,image/diodes/schottky/87559.png
V1P22,Enlarge,200,1,0.65,25,,175,MicroSMP (DO-219AD),Single,Yes,image/diodes/schottky/86535.png
V1P6,Enlarge,60,1,0.45,25,,150,MicroSMP (DO-219AD),Single,Yes,image/diodes/schottky/87524.png
V1PL45,Enlarge,45,1,0.36,25,,150,MicroSMP (DO-219AD),Single,Yes,image/diodes/schottky/87642.png
V1PM10,Enlarge,100,1,0.58,25,,175,MicroSMP (DO-219AD),Single,Yes,image/diodes/schottky/87664.png
V1PM12,Enlarge,120,1,0.61,25,,175,MicroSMP (DO-219AD),Single,Yes,image/diodes/schottky/87640.png
V1PM15,Enlarge,150,1,0.64,25,,175,MicroSMP (DO-219AD),Single,Yes,image/diodes/schottky/87639.png
"V20100C, VI20100C",Enlarge,,,,,,,,,,image/diodes/schottky/89161.png
V20100C-E3,Enlarge,100,2 x 10,0.58,150,,150,TO-220AB,Common cathode,No,image/diodes/schottky/88977.png
V20100S,Enlarge,100,20,0.69,250,,150,TO-220AB,Single,No,image/diodes/schottky/89190.png
V20100S-E3,Enlarge,100,20,0.69,250,,150,TO-220AB,Single,No,image/diodes/schottky/88975.png
V20100SG,Enlarge,100,20,0.75,150,,150,TO-220AC,Single,No,image/diodes/schottky/88966.png
V20100SG,Enlarge,100,20,0.75,150,,150,TO-220AB,Single,No,image/diodes/schottky/89153.png
"V20120C, VI20120C",Enlarge,,,,,,,,,,image/diodes/schottky/89159.png
V20120C-E3,Enlarge,120,2 x 10,0.64,120,,150,TO-220AB,Common cathode,No,image/diodes/schottky/89040.png
V20120S,Enlarge,120,20,0.73,200,,150,TO-220AB,Single,No,image/diodes/schottky/89243.png
V20120S-E3,Enlarge,120,20,0.73,200,,150,TO-220AB,Single,No,image/diodes/schottky/88993.png
V20120SG,Enlarge,120,20,0.78,150,,150,TO-220AB,Single,No,image/diodes/schottky/89244.png
V20120SG-E3,Enlarge,120,20,0.78,150,,150,TO-220AB,Single,No,image/diodes/schottky/88994.png
"V20150C, VI20150C",Enlarge,,,,,,,,,,image/diodes/schottky/89151.png
V20150C-E3,Enlarge,150,2 x 10,0.69,120,,150,TO-220AB,Common cathode,No,image/diodes/schottky/89046.png
V20150S,Enlarge,150,20,0.75,160,,150,TO-220AB,Single,No,image/diodes/schottky/89247.png
V20150S-E3,Enlarge,150,20,0.75,160,,150,TO-220AB,Single,No,image/diodes/schottky/89059.png
V20150SG,Enlarge,150,20,0.77,140,,150,TO-220AB,Single,No,image/diodes/schottky/89248.png
V20150SG-E3,Enlarge,150,20,0.77,140,,150,TO-220AB,Single,No,image/diodes/schottky/89060.png
V20200C-E3,Enlarge,200,2 x 10,0.68,120,,150,TO-220AB,Common cathode,No,image/diodes/schottky/89072.png
V20200G-E3,Enlarge,200,2 x 10,0.71,110,,150,TO-220AB,Common cathode,No,image/diodes/schottky/89117.png
V20202C,Enlarge,200,2 x 10,0.68,150,,175,TO-220AB,Common cathode,No,image/diodes/schottky/87797.png
V20202G,Enlarge,200,2 x 10,0.71,130,,175,TO-220AB,Common cathode,No,image/diodes/schottky/87798.png
V20D100C,Enlarge,100,2 x 10,0.63,120,,150,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/87550.png
V20D103C,Enlarge,100,2 x 10,0.59,130,,150,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/98476.png
V20D170C,Enlarge,170,2 x 10.0,0.68,150,,175,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/87451.png
V20D202C,Enlarge,200,2 x 10.0,0.68,150,,175,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/87747.png
V20D45C,Enlarge,45,2 x 10,0.40,120,,150,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/87548.png
V20D60C,Enlarge,60,2 x 10,0.49,120,,150,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/87549.png
V20DL45,Enlarge,45,20,0.50,160,,150,SMPD (TO-263AC),Single,Yes,image/diodes/schottky/87786.png
V20DL45BP,Enlarge,45,20,0.50,160,,200,SMPD (TO-263AC),Single,No,image/diodes/schottky/87787.png
V20DL63C,Enlarge,60,2 x 10,0.49,120,,150,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/98245.png
V20DM100C,Enlarge,100,2 x 10,0.64,150,,175,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/87575.png
V20DM103C,Enlarge,100,2 x 10,0.60,130,,175,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/98478.png
V20DM120,Enlarge,120,20,0.71,150,,175,SMPD (TO-263AC),Single,Yes,image/diodes/schottky/87601.png
V20DM120C,Enlarge,120,2 x 10,0.65,120,,175,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/89989.png
V20DM150C,Enlarge,150,2 x 10,0.69,120,,175,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/87572.png
V20DM153C,Enlarge,150,2 x 10,0.65,120,,175,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/87187.png
V20DM45C,Enlarge,45,2 x 10,0.46,150,,175,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/87585.png
V20DM60C,Enlarge,60,2 x 10,0.54,150,,175,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/87580.png
V20DM63C,Enlarge,60,2 x 10,0.54,120,,175,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/98246.png
V20K150,Enlarge,150,20,0.69,220,,150,FlatPAK 5 x 6,Single,Yes,image/diodes/schottky/87152.png
V20K170,Enlarge,170,20,0.72,220,,165,FlatPAK 5 x 6,Single,Yes,image/diodes/schottky/87153.png
V20K202,Enlarge,200,20,0.72,220,,165,FlatPAK 5 x 6,Single,Yes,image/diodes/schottky/87154.png
V20K60,Enlarge,60,20,0.45,220,,150,FlatPAK 5 x 6,Single,Yes,image/diodes/schottky/87155.png
V20KL45,Enlarge,45,20,0.44,220,,150,FlatPAK 5 x 6,Single,Yes,image/diodes/schottky/87156.png
V20KM100,Enlarge,100,20,0.61,220,,165,FlatPAK 5 x 6,Single,Yes,image/diodes/schottky/87147.png
V20KM120,Enlarge,120,20,0.64,220,,165,FlatPAK 5 x 6,Single,Yes,image/diodes/schottky/87148.png
V20KM45,Enlarge,45,20,0.46,220,,165,FlatPAK 5 x 6,Single,Yes,image/diodes/schottky/87427.png
V20KM60,Enlarge,60,20,0.52,220,,165,FlatPAK 5 x 6,Single,Yes,image/diodes/schottky/87146.png
V20M100M-E3,Enlarge,100,2 x 10,0.67,110,,175,TO-220AB,Common cathode,No,image/diodes/schottky/89985.png
V20M120C,Enlarge,120,2 x 10,0.64,120,,175,TO-220AB,Common cathode,No,image/diodes/schottky/89463.png
V20M120M-E3,Enlarge,120,2 x 10,0.68,110,,175,TO-220AB,Common cathode,No,image/diodes/schottky/89987.png
V20PL50-M3,Enlarge,50,20,0.46,240,,150,SMPC (TO-277A),Single,No,image/diodes/schottky/87706.png
V20PL60-M3,Enlarge,60,20,0.46,240,,150,SMPC (TO-277A),Single,No,image/diodes/schottky/87704.png
V20PL63,Enlarge,60,20,0.53,240,,150,SMPC (TO-277A),Single,Yes,image/diodes/schottky/98228.png
V20PM63,Enlarge,60,20,0.57,240,,175,SMPC (TO-277A),Single,Yes,image/diodes/schottky/87029.png
V20PW10,Enlarge,100,20,0.69,200,,150,SlimDPAK (TO-252AE),Single,Yes,image/diodes/schottky/87678.png
V20PW103,Enlarge,100,20,0.61,200,,150,SlimDPAK (TO-252AE),Single,Yes,image/diodes/schottky/98465.png
V20PW103C,Enlarge,100,2 x 10,0.60,150,,150,SlimDPAK (TO-252AE),Common cathode,Yes,image/diodes/schottky/98466.png
V20PW10C,Enlarge,100,2 x 10,0.63,150,,150,SlimDPAK (TO-252AE),Common cathode,Yes,image/diodes/schottky/87677.png
V20PW12,Enlarge,120,20,0.72,200,,150,SlimDPAK (TO-252AE),Single,Yes,image/diodes/schottky/87682.png
V20PW12C,Enlarge,120,2 x 10,0.66,150,,150,SlimDPAK (TO-252AE),Common cathode,Yes,image/diodes/schottky/87680.png
V20PW15,Enlarge,150,20,0.74,200,,150,SlimDPAK (TO-252AE),Single,Yes,image/diodes/schottky/87685.png
V20PW15C,Enlarge,150,2 x 10,0.69,150,,150,SlimDPAK (TO-252AE),Common cathode,Yes,image/diodes/schottky/87684.png
V20PW22,Enlarge,200,20,0.74,200,,175,SlimDPAK (TO-252AE),Single,Yes,image/diodes/schottky/87004.png
V20PW22C,Enlarge,200,2 x 10,0.7,150,,175,SlimDPAK (TO-252AE),Common cathode,Yes,image/diodes/schottky/87005.png
V20PW45,Enlarge,45,20,0.46,200,,150,SlimDPAK (TO-252AE),Single,Yes,image/diodes/schottky/87673.png
V20PW45C,Enlarge,45,2 x 10,0.44,150,,150,SlimDPAK (TO-252AE),Common cathode,Yes,image/diodes/schottky/87672.png
V20PW60,Enlarge,60,20,0.54,200,,150,SlimDPAK (TO-252AE),Single,Yes,image/diodes/schottky/87676.png
V20PW60C,Enlarge,60,2 x 10,0.51,150,,150,SlimDPAK (TO-252AE),Common cathode,Yes,image/diodes/schottky/87674.png
V20PWL63,Enlarge,60,20,0.51,200,,150,SlimDPAK (TO-252AE),Single,Yes,image/diodes/schottky/98256.png
V20PWL63C,Enlarge,60,2 x 10,0.49,150,,150,SlimDPAK (TO-252AE),Common cathode,Yes,image/diodes/schottky/98262.png
V20PWM10,Enlarge,100,20,0.70,200,,175,SlimDPAK (TO-252AE),Single,Yes,image/diodes/schottky/87698.png
V20PWM103,Enlarge,100,20,0.62,200,,175,SlimDPAK (TO-252AE),Single,Yes,image/diodes/schottky/98467.png
V20PWM103C,Enlarge,100,2 x 10,0.59,150,,175,SlimDPAK (TO-252AE),Common cathode,Yes,image/diodes/schottky/98468.png
V20PWM10C,Enlarge,100,2 x 10,0.63,150,,175,SlimDPAK (TO-252AE),Common cathode,Yes,image/diodes/schottky/87510.png
V20PWM12,Enlarge,120,20,0.72,200,,175,SlimDPAK (TO-252AE),Single,Yes,image/diodes/schottky/87699.png
V20PWM12C,Enlarge,120,2 x 10,0.65,150,,175,SlimDPAK (TO-252AE),Common cathode,Yes,image/diodes/schottky/87511.png
V20PWM15,Enlarge,150,20,0.74,200,,175,SlimDPAK (TO-252AE),Single,Yes,image/diodes/schottky/87501.png
V20PWM153,Enlarge,150,20,0.69,200,,175,SlimDPAK (TO-252AE),Single,Yes,image/diodes/schottky/98167.png
V20PWM153C,Enlarge,150,2 x 10,0.65,150,,175,SlimDPAK (TO-252AE),Common cathode,Yes,image/diodes/schottky/98164.png
V20PWM15C,Enlarge,150,2 x 10,0.69,150,,175,SlimDPAK (TO-252AE),Common cathode,Yes,image/diodes/schottky/87512.png
V20PWM45,Enlarge,45,20,0.51,200,,175,SlimDPAK (TO-252AE),Single,Yes,image/diodes/schottky/87689.png
V20PWM45C,Enlarge,45,2 x 10,0.46,150,,175,SlimDPAK (TO-252AE),Common cathode,Yes,image/diodes/schottky/87688.png
V20PWM60,Enlarge,,,,,,,,,,image/diodes/schottky/87692.png
V20PWM60C,Enlarge,60,2 x 10,0.52,150,,175,SlimDPAK (TO-252AE),Common cathode,Yes,image/diodes/schottky/87693.png
V20PWM63,Enlarge,60,20,0.55,200,,175,SlimDPAK (TO-252AE),Single,Yes,image/diodes/schottky/98257.png
V20PWM63C,Enlarge,60,2 x 10,0.54,150,,175,SlimDPAK (TO-252AE),Common cathode,Yes,image/diodes/schottky/98263.png
V25PL60-M3,Enlarge,60,25,0.5,240,,150,SMPC (TO-277A),Single,No,image/diodes/schottky/87705.png
V25PN60,Enlarge,60,25,0.45,300,,150,SMPC (TO-277A),Single,No,image/diodes/schottky/87718.png
V2F22,Enlarge,200,2,0.64,60,,175,SMF (DO-219AB),Single,Yes,image/diodes/schottky/87475.png
V2F6,Enlarge,60,2,0.45,50,,150,SMF (DO-219AB),Single,Yes,image/diodes/schottky/87560.png
V2FL45,Enlarge,45,2,0.40,40,,150,SMF (DO-219AB),Single,Yes,image/diodes/schottky/87561.png
V2FM10,Enlarge,100,2,0.62,40,,175,SMF (DO-219AB),Single,Yes,image/diodes/schottky/87562.png
V2FM12,Enlarge,120,2,0.65,40,,175,SMF (DO-219AB),Single,Yes,image/diodes/schottky/87563.png
V2FM15,Enlarge,150,2,0.69,40,,175,SMF (DO-219AB),Single,Yes,image/diodes/schottky/87564.png
V2N103,Enlarge,100,2,0.45,50,,150,DFN3820A,Single,Yes,image/diodes/schottky/98441.png
V2N22,Enlarge,200,2,0.60,50,,175,DFN3820A,Single,Yes,image/diodes/schottky/98484.png
V2NL63,Enlarge,60,2,0.36,50,,150,DFN3820A,Single,Yes,image/diodes/schottky/98433.png
V2NM103,Enlarge,100,2,0.48,50,,175,DFN3820A,Single,Yes,image/diodes/schottky/98445.png
V2NM153,Enlarge,150,2,0.56,50,,175,DFN3820A,Single,Yes,image/diodes/schottky/98375.png
V2NM63,Enlarge,60,2,0.42,50,,175,DFN3820A,Single,Yes,image/diodes/schottky/98437.png
V2P22,Enlarge,200,2,0.70,30,,175,MicroSMP (DO-219AD),Single,Yes,image/diodes/schottky/86536.png
V2P22L,Enlarge,200,2,0.68,50,,175,SMP (DO-220AA),Single,Yes,image/diodes/schottky/87470.png
V2P6,Enlarge,60,2,0.51,30,,150,MicroSMP (DO-219AD),Single,Yes,image/diodes/schottky/87525.png
V2P6L,Enlarge,60,2,0.45,50,,150,SMP (DO-220AA),Single,Yes,image/diodes/schottky/87458.png
V2P6X,Enlarge,60,2,0.51,50,,175,SMP (DO-220AA),Single,Yes,image/diodes/schottky/87457.png
V2PL45,Enlarge,45,2,0.40,30,,150,MicroSMP (DO-219AD),Single,Yes,image/diodes/schottky/87526.png
V2PL45L,Enlarge,45,2,0.36,50,,150,SMP (DO-220AA),Single,Yes,image/diodes/schottky/87459.png
V2PL63L,Enlarge,60,2,0.46,50,,150,SMP (DO-220AA),Single,Yes,image/diodes/schottky/98214.png
V2PM10,Enlarge,100,2,0.62,30,,175,MicroSMP (DO-219AD),Single,Yes,image/diodes/schottky/87527.png
V2PM10L,Enlarge,100,2,0.58,50,,175,SMP (DO-220AA),Single,Yes,image/diodes/schottky/87463.png
V2PM12,Enlarge,120,2,0.65,30,,175,MicroSMP (DO-219AD),Single,Yes,image/diodes/schottky/87528.png
V2PM12L,Enlarge,120,2,0.60,50,,175,SMP (DO-220AA),Single,Yes,image/diodes/schottky/87466.png
V2PM15,Enlarge,150,2,0.68,30,,175,MicroSMP (DO-219AD),Single,Yes,image/diodes/schottky/87529.png
V2PM15L,Enlarge,150,2,0.64,50,,175,SMP (DO-220AA),Single,Yes,image/diodes/schottky/87467.png
V2PM63L,Enlarge,60,2,0.52,50,,175,SMP (DO-220AA),Single,Yes,image/diodes/schottky/98215.png
V2PM6L,Enlarge,60,2,0.48,50,,175,SMP (DO-220AA),Single,Yes,image/diodes/schottky/87462.png
V30100C,Enlarge,100,2 x 15,0.63,160,,150,TO-220AB,Common cathode,No,image/diodes/schottky/89158.png
V30100C-E3,Enlarge,100,2 x 15,0.63,160,,150,TO-220AB,Common cathode,No,image/diodes/schottky/89010.png
V30100CI,Enlarge,100,2 x 15,0.62,160,,150,TO-220AB,Common cathode,No,image/diodes/schottky/87543.png
V30100S,Enlarge,100,30,0.69,250,,150,TO-220AB,Single,No,image/diodes/schottky/89175.png
V30100S-E3,Enlarge,100,30,0.69,250,,150,TO-220AB,Single,No,image/diodes/schottky/88941.png
V30100SG,Enlarge,100,30,0.76,250,,150,TO-220AB,Single,No,image/diodes/schottky/89191.png
V30100SG-E3,Enlarge,100,30,0.76,250,,150,TO-220AB,Single,No,image/diodes/schottky/88996.png
"V30120C, VI30120C",Enlarge,,,,,,,,,,image/diodes/schottky/89160.png
V30120C-E3,Enlarge,120,2 x 15,0.68,150,,150,TO-220AB,Common cathode,No,image/diodes/schottky/89041.png
V30120CI,Enlarge,120,2 x 15,0.66,160,,150,TO-220AB,Common cathode,No,image/diodes/schottky/87544.png
V30120S,Enlarge,120,30,0.74,300,,150,TO-220AB,Single,No,image/diodes/schottky/89152.png
V30120S-E3,Enlarge,120,30,0.74,300,,150,TO-220AB,Single,No,image/diodes/schottky/88974.png
V30120SG,Enlarge,120,30,0.81,220,,150,TO-220AB,Single,No,image/diodes/schottky/89245.png
V30120SG-E3,Enlarge,120,30,0.81,220,,150,TO-220AB,Single,No,image/diodes/schottky/89011.png
V30150C,Enlarge,150,2 x 15,0.71,140,,150,TO-220AB,Common cathode,No,image/diodes/schottky/89249.png
V30150C,Enlarge,150,2 x 15,0.71,140,,150,TO-220AB,Common cathode,No,image/diodes/schottky/89047.png
V30200C,Enlarge,200,2 x 15,0.648,250,,150,TO-220AB,Common cathode,No,image/diodes/schottky/89014.png
V30202C,Enlarge,200,2 x 15,0.65,260,,175,TO-220AB,Common cathode,No,image/diodes/schottky/87799.png
V30D100C,Enlarge,100,2 x 15,0.64,150,,150,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/87551.png
V30D103C,Enlarge,100,2 x 15,0.61,160,,150,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/98479.png
V30D170C,Enlarge,170,2 x 15.0,0.66,260,,175,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/87452.png
V30D202C,Enlarge,200,2 x 15.0,0.66,260,,175,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/87748.png
V30D45C,Enlarge,45,2 x 15,0.40,200,,150,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/89994.png
V30D60C,Enlarge,60,2 x 15,0.57,170,,150,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/89995.png
V30D60CL,Enlarge,60,2 x 15,0.49,200,,150,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/89996.png
V30DL45,Enlarge,45,30,0.51,240,,150,SMPD (TO-263AC),Single,Yes,image/diodes/schottky/87788.png
V30DL45BP,Enlarge,45,30,0.51,200,,200,SMPD (TO-263AC),Single,No,image/diodes/schottky/87791.png
V30DL50C,Enlarge,50,2 x 15,0.42,300,,150,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/89963.png
V30DL63C,Enlarge,60,2 x 15,0.54,170,,150,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/98247.png
V30DL63CL,Enlarge,60,2 x 15,0.47,200,,150,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/98248.png
V30DM100C,Enlarge,100,2 x 15,0.66,160,,175,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/87576.png
V30DM103C,Enlarge,100,2 x 15,0.61,160,,175,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/98482.png
V30DM120,Enlarge,120,30,0.73,250,,175,SMPD (TO-263AC),Single,Yes,image/diodes/schottky/87602.png
V30DM120C,Enlarge,120,2 x 15,0.67,150,,175,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/89990.png
V30DM150C,Enlarge,150,2 x 15,0.73,140,,175,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/87573.png
V30DM153C,Enlarge,150,2 x 15,0.67,140,,175,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/87188.png
V30DM45C,Enlarge,45,2 x 15,0.46,200,,175,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/87586.png
V30DM60CL,Enlarge,60,2 x 15,0.52,200,,175,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/87581.png
V30DM63CL,Enlarge,60,2 x 15,0.55,200,,175,SMPD (TO-263AC),Common cathode,Yes,image/diodes/schottky/98249.png
V30K150,Enlarge,150,30,0.68,240,,150,FlatPAK 5 x 6,Single,Yes,image/diodes/schottky/87157.png
