File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR 25 °C (mΩ);MAX.;MAX.;MAX.;HEAT RATING CURRENT DC I DC (A) (3);MAX.;MAX.;MAX.;SATURATION CURRENT DC I SAT (A) (4);MAX.;MAX.;MAX.
IFSC-0806AZ-01;image/small_inductors/34291.png;Low Profile, High Current Inductors;IFSC0806AZER000M01;;TYP.;MAX.;MAX.;MAX.;TYP.;MAX.;MAX.;MAX.;TYP.;MAX.;MAX.;MAX.
IFSC-0806AZ-01;image/small_inductors/34291.png;Low Profile, High Current Inductors;IFSC0806AZER0R47M01;0.47;47;57;2.34;2.56;2.60;57;2.34;2.56;2.85;57;2.34;2.56
IFSC-0806AZ-01;image/small_inductors/34291.png;Low Profile, High Current Inductors;IFSC0806AZER1R0M01;1.0;87;107;1.50;1.80;1.70;107;1.50;1.80;2.00;107;1.50;1.80
IFSC-0806AZ-01;image/small_inductors/34291.png;Low Profile, High Current Inductors;IFSC0806AZER1R5M01;1.5;137;164;1.44;1.50;1.60;164;1.44;1.50;1.65;164;1.44;1.50
IFSC-0806AZ-01;image/small_inductors/34291.png;Low Profile, High Current Inductors;IFSC0806AZER2R2M01;2.2;192;230;1.22;1.31;1.35;230;1.22;1.31;1.45;230;1.22;1.31
IFSC-0806AZ-01;image/small_inductors/34291.png;Low Profile, High Current Inductors;IFSC0806AZER3R3M01;3.3;243;292;0.95;0.95;1.05;292;0.95;0.95;1.05;292;0.95;0.95
IFSC-0806AZ-01;image/small_inductors/34291.png;Low Profile, High Current Inductors;IFSC0806AZER4R7M01;4.7;322;387;0.85;0.80;0.95;387;0.85;0.80;0.95;387;0.85;0.80
IFSC-0806AZ-01;image/small_inductors/34291.png;Low Profile, High Current Inductors;IFSC0806AZER6R8M01;6.8;610;732;0.56;0.72;0.62;732;0.56;0.72;0.80;732;0.56;0.72
IFSC-0806AZ-01;image/small_inductors/34291.png;Low Profile, High Current Inductors;IFSC0806AZER100M01;10;932;1119;0.42;0.55;0.47;1119;0.42;0.55;0.62;1119;0.42;0.55
IFSC-0806AZ-01;image/small_inductors/34291.png;Low Profile, High Current Inductors;IFSC0806AZER220M01;22;2365;2838;0.33;0.40;0.37;2838;0.33;0.40;0.45;2838;0.33;0.40
