Series▲▼;Product Image;Resistance Min.(Ω)▲▼;Resistance Max.(Ω)▲▼;E-Series▲▼;Tolerance(± %)▲▼;Power Rating(W)▲▼;Maximum Voltage(V)▲▼;TCR(± ppm/°C)▲▼;MountingTechnology▲▼;Size / Device Style▲▼;OperatingTemperature(°C)▲▼;Automotive▲▼;Image path
AC01-CS, AC03-CS, AC05-CS;Enlarge;1;100;E24;5;2.5;n/a;200;Through-hole;Axial;-40 to +200;No;image/resistors-fixed/28909.png
AC01-CS, AC03-CS, AC05-CS;Enlarge;1;100;E24;5;2.5;n/a;200;Through-hole;Radial;-40 to +200;No;image/resistors-fixed/28909.png
AC01-CS, AC03-CS, AC05-CS;Enlarge;1;100;E24;5;3;n/a;200;Through-hole;Axial;-40 to +200;No;image/resistors-fixed/28909.png
AC01-CS, AC03-CS, AC05-CS;Enlarge;1;100;E24;5;3;n/a;200;Through-hole;Radial;-40 to +200;No;image/resistors-fixed/28909.png
AC01-CS, AC03-CS, AC05-CS;Enlarge;1;100;E24;5;4.5;n/a;200;Through-hole;Axial;-40 to +200;No;image/resistors-fixed/28909.png
AC01-CS, AC03-CS, AC05-CS;Enlarge;1;100;E24;5;4.5;n/a;200;Through-hole;Radial;-40 to +200;No;image/resistors-fixed/28909.png
AC01-CS, AC03-CS, AC05-CS;Enlarge;1;100;E24;5;5;n/a;200;Through-hole;Axial;-40 to +200;No;image/resistors-fixed/28909.png
AC01-CS, AC03-CS, AC05-CS;Enlarge;1;100;E24;5;5;n/a;200;Through-hole;Radial;-40 to +200;No;image/resistors-fixed/28909.png
AH;Enlarge;5;100;n/a;10;75;87;100;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png
AH;Enlarge;5;100;n/a;10;75;87;25;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png
AH;Enlarge;5;100;n/a;5;75;87;100;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png
AH;Enlarge;5;100;n/a;5;75;87;25;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png
AH;Enlarge;5;200;n/a;10;100;141;100;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png
AH;Enlarge;5;200;n/a;10;100;141;25;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png
AH;Enlarge;5;200;n/a;5;100;141;100;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png
AH;Enlarge;5;200;n/a;5;100;141;25;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png
AH;Enlarge;5;500;n/a;10;150;274;100;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png
AH;Enlarge;5;500;n/a;10;150;274;25;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png
AH;Enlarge;5;500;n/a;10;200;316;100;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png
AH;Enlarge;5;500;n/a;10;200;316;25;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png
AH;Enlarge;5;500;n/a;10;250;354;100;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png
AH;Enlarge;5;500;n/a;10;250;354;25;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png
AH;Enlarge;5;500;n/a;10;300;387;100;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png
AH;Enlarge;5;500;n/a;10;300;387;25;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png
AH;Enlarge;5;500;n/a;5;150;274;100;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png
AH;Enlarge;5;500;n/a;5;150;274;25;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png
AH;Enlarge;5;500;n/a;5;200;316;100;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png
AH;Enlarge;5;500;n/a;5;200;316;25;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png
AH;Enlarge;5;500;n/a;5;250;354;100;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png
AH;Enlarge;5;500;n/a;5;250;354;25;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png
