Series▲▼;Product Image;Resistance Min.(Ω)▲▼;Resistance Max.(Ω)▲▼;E-Series▲▼;Tolerance(± %)▲▼;Power Rating(W)▲▼;Maximum Voltage(V)▲▼;TCR(± ppm/°C)▲▼;MountingTechnology▲▼;Size / Device Style▲▼;OperatingTemperature(°C)▲▼;Automotive▲▼;Image path
ALSR, ALVR;Enlarge;0.1;58500;n/a;10;5;541;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;58500;n/a;10;5;541;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;58500;n/a;3;5;541;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;58500;n/a;3;5;541;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;58500;n/a;3;5;541;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;58500;n/a;5;5;541;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;58500;n/a;5;5;541;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;58500;n/a;5;5;541;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;6000;n/a;1;3;134;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;6000;n/a;1;3;134;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;6000;n/a;1;3;134;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;6000;n/a;10;3;134;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;6000;n/a;10;3;134;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;6000;n/a;10;3;134;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;6000;n/a;3;3;134;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;6000;n/a;3;3;134;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;6000;n/a;3;3;134;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;6000;n/a;5;3;134;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;6000;n/a;5;3;134;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;6000;n/a;5;3;134;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;6370;n/a;1;1;80;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;6370;n/a;1;1;80;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;6370;n/a;1;1;80;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;6370;n/a;10;1;80;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;6370;n/a;10;1;80;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;6370;n/a;10;1;80;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;6370;n/a;3;1;80;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;6370;n/a;3;1;80;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;6370;n/a;3;1;80;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;6370;n/a;5;1;80;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;6370;n/a;5;1;80;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;6370;n/a;5;1;80;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;92000;n/a;1;7;802;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;92000;n/a;1;7;802;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;92000;n/a;1;7;802;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;92000;n/a;10;7;802;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;92000;n/a;10;7;802;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;92000;n/a;10;7;802;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;92000;n/a;3;7;802;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;92000;n/a;3;7;802;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;92000;n/a;3;7;802;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;92000;n/a;5;7;802;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;92000;n/a;5;7;802;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;92000;n/a;5;7;802;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ASE;Enlarge;0.08;9;n/a;10;140;35;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png
ASE;Enlarge;0.08;9;n/a;10;140;35;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png
ASE;Enlarge;0.08;9;n/a;5;140;35;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png
ASE;Enlarge;0.08;9;n/a;5;140;35;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png
ASE;Enlarge;0.1;12.5;n/a;10;155;44;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png
ASE;Enlarge;0.1;12.5;n/a;10;155;44;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png
ASE;Enlarge;0.1;12.5;n/a;5;155;44;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png
ASE;Enlarge;0.1;12.5;n/a;5;155;44;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png
ASE;Enlarge;0.1;18;n/a;10;240;66;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png
ASE;Enlarge;0.1;18;n/a;10;240;66;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png
ASE;Enlarge;0.1;18;n/a;5;240;66;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png
ASE;Enlarge;0.1;18;n/a;5;240;66;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png
ASE;Enlarge;0.1;5.7;n/a;10;90;23;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png
ASE;Enlarge;0.1;5.7;n/a;10;90;23;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png
ASE;Enlarge;0.1;5.7;n/a;5;90;23;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31851.png
