Series▲▼;Product Image;Type▲▼;Description▲▼;Technology▲▼;Resistance (min)(Ω)▲▼;Resistance (max)(Ω)▲▼;TCR Absolute(ppm/°C)▲▼;TCR Tracking(ppm/°C)▲▼;Absolute Tolerance(%)▲▼;Ratio Tolerance(%)▲▼;Power(W)▲▼;Package Type▲▼;Case (EIA & Mil)▲▼;Image path
RMK 408N, 508N, 48N, 816N, 914N (CN);Enlarge;Resistor Networks;Wirebondable Thin Film Chip Resistor Networks;Thin Film;1 K;200 K;5;1;0.01;0.1;0.250;Wirebondable;0610;image/networks-and-arrays/60053.png
RMKD (CNP);Enlarge;Resistor Networks;Hermetic, Dual-In-Line Packaged Thin Film Resistor, Through Hole Networks;Thin Film;500;200 K;5;1;0.01;0.05;0.125;Hermetic;n/a;image/networks-and-arrays/60049.png
RMKD (CNP);Enlarge;Resistor Networks;Hermetic, Dual-In-Line Packaged Thin Film Resistor, Through Hole Networks;Thin Film;500;200 K;5;1;0.01;0.05;0.250;Hermetic;n/a;image/networks-and-arrays/60049.png
RMKHT (CNHT);Enlarge;Resistor Networks;"High Temperature (230 &#176;C) Wirebondable Thin Film Chip Resistors and Resistor Networks";Thin Film;100;500 K;15;15;0.02;0.05;0.10;Wirebondable;0303;image/networks-and-arrays/60075.png
RMKMS (CNM);Enlarge;Resistor Networks;SMD Molded, 50 Mil Pitch, Dual-In-Line Thin Film Resistor Networks;Thin Film;500;200 K;10;5;0.05;0.1;0.050;SOIC (molded);08;image/networks-and-arrays/60004.png
RSK 33N;Enlarge;Resistor Networks;Wirebondable Dual Value Thin Film Chip Resistor Networks, Center Tap;Thin Film;10;500 K;15;5;0.05;0.5;0.250;Wirebondable;0303;image/networks-and-arrays/60069.png
SC7, SCB;Enlarge;Resistor Networks;Thin Film Resistor Divider Network on Silicon, User Trimmable;Thin Film;100;50 K;25;n/a;0.1;n/a;0.25;n/a;0505;image/networks-and-arrays/61011.png
SLCC (CNP);Enlarge;Resistor Networks;Hermetic, 50 Mil Pitch, Leadless Chip Thin Film Resistor Networks;Thin Film;10;100 K;25;2;0.1;0.1;0.050;Hermetic;3535;image/networks-and-arrays/60014.png
SOGC 01, 03, 05;Enlarge;Resistor Networks;Thick Film Resistor Networks, Dual-In-Line, Wide Body, Small Outline, Molded DIP, Surface Mount;Thick Film;10;1 M;100;n/a;1;n/a;0.1;SOIC (molded);n/a;image/networks-and-arrays/31506.png
SOGC 01, 03, 05;Enlarge;Resistor Networks;Thick Film Resistor Networks, Dual-In-Line, Wide Body, Small Outline, Molded DIP, Surface Mount;Thick Film;10;1 M;100;n/a;1;n/a;0.19;SOIC (molded);n/a;image/networks-and-arrays/31506.png
SOGC 45, 46;Enlarge;Resistor Networks;Thick Film Resistor Networks, Dual-In-Line, Wide Body, Small Outline, Molded DIP, Surface Mount;Thick Film;180;820;100;n/a;2;n/a;0.1;SOIC (molded);n/a;image/networks-and-arrays/31507.png
SOMC;Enlarge;Resistor Networks;Thick Film Resistor Networks, Dual-In-Line, Medium Body, Small Outline, Molded DIP, Surface Mount;Thick Film;10;1 M;100;n/a;1;n/a;0.08;SOIC (molded);n/a;image/networks-and-arrays/31508.png
SOMC;Enlarge;Resistor Networks;Thick Film Resistor Networks, Dual-In-Line, Medium Body, Small Outline, Molded DIP, Surface Mount;Thick Film;10;1 M;100;n/a;1;n/a;0.16;SOIC (molded);n/a;image/networks-and-arrays/31508.png
STR, DTR Custom Networks;Enlarge;Resistor Networks;Custom Thin Film Dual Resistor Divider Network;Thin Film;100;500 K;25;5;0.1;0.05;0.125;n/a;0303;image/networks-and-arrays/61032.png
