PART NUMBER;Z ± 25 % ();TEST FREQUENCY (MHz);DCR MAX. ();RATED DC CURRENT (mA);File Name;Image Path;Description
ILHB0603ER600V ILHB0603ER121V;60 120;100 100;0.04 0.04;3000 3000;ILHB;image/small_inductors/34102.png;High Current Multilayer Ferrite Beads
ILHB0805ER300V ILHB0805ER600V ILHB0805ER900V ILHB0805ER121V ILHB0805ER251V ILHB0805ER601V;30 60 90 120 250 600;100 100 100 100 100 100;0.015 0.040 0.020 0.020 0.040 0.090;6000 3000 5000 5000 3000 2000;ILHB;image/small_inductors/34102.png;High Current Multilayer Ferrite Beads
ILHB1206ER500V ILHB1206ER750V ILHB1206ER121V ILHB1206ER501V ILHB1206ER601V;50 75 120 500 600;100 100 100 100 100;0.015 0.040 0.015 0.070 0.070;6000 3000 6000 2500 2500;ILHB;image/small_inductors/34102.png;High Current Multilayer Ferrite Beads
ILHB1806ER600V;60;100;0.015;6000;ILHB;image/small_inductors/34102.png;High Current Multilayer Ferrite Beads
ILHB1812ER121V ILHB1812ER601V ILHB1812ER132V;120 600 1300;100 50 60;0.015 0.04 0.04;6000 3000 3000;ILHB;image/small_inductors/34102.png;High Current Multilayer Ferrite Beads
