File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2)
IHLP-2525EZ-A1;image/small_inductors/34244.png;IHLP® Automotive Inductors, High Saturation Series;IHLP2525EZER0R56MA1;0.56;3.4;3.6;20;12
IHLP-2525EZ-A1;image/small_inductors/34244.png;IHLP® Automotive Inductors, High Saturation Series;IHLP2525EZER0R68MA1;0.68;4.2;4.5;18;11.5
IHLP-2525EZ-A1;image/small_inductors/34244.png;IHLP® Automotive Inductors, High Saturation Series;IHLP2525EZER0R82MA1;0.82;4.6;4.9;16.5;13
IHLP-2525EZ-A1;image/small_inductors/34244.png;IHLP® Automotive Inductors, High Saturation Series;IHLP2525EZER1R0MA1;1.0;5.6;6.5;13;15
IHLP-2525EZ-A1;image/small_inductors/34244.png;IHLP® Automotive Inductors, High Saturation Series;IHLP2525EZER1R5MA1;1.5;8.6;9.0;12;12
IHLP-2525EZ-A1;image/small_inductors/34244.png;IHLP® Automotive Inductors, High Saturation Series;IHLP2525EZER2R2MA1;2.2;13.0;13.6;10;10
IHLP-2525EZ-A1;image/small_inductors/34244.png;IHLP® Automotive Inductors, High Saturation Series;IHLP2525EZER3R3MA1;3.3;19.9;20.9;8;8
IHLP-2525EZ-A1;image/small_inductors/34244.png;IHLP® Automotive Inductors, High Saturation Series;IHLP2525EZER4R7MA1;4.7;28.9;30.3;6.5;7
IHLP-2525EZ-A1;image/small_inductors/34244.png;IHLP® Automotive Inductors, High Saturation Series;IHLP2525EZER5R6MA1;5.6;32.7;34.4;6;7
IHLP-2525EZ-A1;image/small_inductors/34244.png;IHLP® Automotive Inductors, High Saturation Series;IHLP2525EZER6R8MA1;6.8;42.5;44.6;5.5;5.5
IHLP-2525EZ-A1;image/small_inductors/34244.png;IHLP® Automotive Inductors, High Saturation Series;IHLP2525EZER8R2MA1;8.2;43.5;45.6;5.5;5.5
IHLP-2525EZ-A1;image/small_inductors/34244.png;IHLP® Automotive Inductors, High Saturation Series;IHLP2525EZER100MA1;10.0;67.9;71.3;4.5;4.5
