File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANC ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);E DCR TYP. 25 °C (m);DCR MAX. 25 °C (m);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2);SRF TYP. (MHz)
IHLP-3232DZ-01;image/small_inductors/34316.png;IHLP® Commercial Inductors, High Saturation Series;IHLP3232DZER0R22M01;0.22;1.57;1.68;30.7;45.0;126
IHLP-3232DZ-01;image/small_inductors/34316.png;IHLP® Commercial Inductors, High Saturation Series;IHLP3232DZER0R33M01;0.33;2.00;2.14;29.5;36.0;97
IHLP-3232DZ-01;image/small_inductors/34316.png;IHLP® Commercial Inductors, High Saturation Series;IHLP3232DZER0R47M01;0.47;2.45;2.62;25.0;31.5;74
IHLP-3232DZ-01;image/small_inductors/34316.png;IHLP® Commercial Inductors, High Saturation Series;IHLP3232DZER0R68M01;0.68;3.43;3.67;21.0;24.5;59
IHLP-3232DZ-01;image/small_inductors/34316.png;IHLP® Commercial Inductors, High Saturation Series;IHLP3232DZER0R82M01;0.82;4.13;4.42;19.0;24.2;53
IHLP-3232DZ-01;image/small_inductors/34316.png;IHLP® Commercial Inductors, High Saturation Series;IHLP3232DZER1R0M01;1.0;5.40;5.78;18.0;24.0;42
IHLP-3232DZ-01;image/small_inductors/34316.png;IHLP® Commercial Inductors, High Saturation Series;IHLP3232DZER2R2M01;2.2;12.80;13.70;10.5;23.0;33
IHLP-3232DZ-01;image/small_inductors/34316.png;IHLP® Commercial Inductors, High Saturation Series;IHLP3232DZER3R3M01;3.3;16.50;17.70;9.2;20.0;25
IHLP-3232DZ-01;image/small_inductors/34316.png;IHLP® Commercial Inductors, High Saturation Series;IHLP3232DZER4R7M01;4.7;29.90;32.00;7.25;15.0;20
IHLP-3232DZ-01;image/small_inductors/34316.png;IHLP® Commercial Inductors, High Saturation Series;IHLP3232DZER5R6M01;5.6;33.20;35.50;6.8;16.7;18
IHLP-3232DZ-01;image/small_inductors/34316.png;IHLP® Commercial Inductors, High Saturation Series;IHLP3232DZER6R8M01;6.8;44.60;47.70;5.7;15.2;15
IHLP-3232DZ-01;image/small_inductors/34316.png;IHLP® Commercial Inductors, High Saturation Series;IHLP3232DZER8R2M01;8.2;47.50;50.80;5.5;10.0;17
IHLP-3232DZ-01;image/small_inductors/34316.png;IHLP® Commercial Inductors, High Saturation Series;IHLP3232DZER100M01;10.0;56.00;59.90;5.2;9.0;15
