File Name,Description,PART NUMBER,"L
0
INDUCTANCE
± 10 %
AT 100 kHz,
0.25 V, 0 A
(μH)","DCR
MAX.
25 °C
(mΩ)","HEAT
RATING
CURRENT
DC TYP. (1)
(A)","SATURATION
CURRENT
DC TYP.
AT 100 °C (2)
(A)","SRF
TYP.
(MHz)","HIPOT
CORE
TO WIRE,
500 V ,
DC
2 s
(mA)"
IHDF-1300AE-10,"www.vishay.com Vishay Dale
Low Profile, Through-Hole, High Current Inductors,
Edge-Wound Series
FEATURES
• Low loss ferrite core for high performance",IHDF1300AEER1R0M10,1.0,0.79,72.0,230.0,39.0,< 2
IHDF-1300AE-10,"www.vishay.com Vishay Dale
Low Profile, Through-Hole, High Current Inductors,
Edge-Wound Series
FEATURES
• Low loss ferrite core for high performance",IHDF1300AEER2R2M10,2.2,1.11,59.0,148.0,23.0,< 2
IHDF-1300AE-10,"www.vishay.com Vishay Dale
Low Profile, Through-Hole, High Current Inductors,
Edge-Wound Series
FEATURES
• Low loss ferrite core for high performance",IHDF1300AEER3R3M10,3.3,1.11,59.0,112.0,18.0,< 2
IHDF-1300AE-10,"www.vishay.com Vishay Dale
Low Profile, Through-Hole, High Current Inductors,
Edge-Wound Series
FEATURES
• Low loss ferrite core for high performance",IHDF1300AEER4R7M10,4.7,1.11,59.0,82.0,16.0,< 2
IHDF-1300AE-10,"www.vishay.com Vishay Dale
Low Profile, Through-Hole, High Current Inductors,
Edge-Wound Series
FEATURES
• Low loss ferrite core for high performance",IHDF1300AEER5R0M10,5.0,1.11,59.0,78.0,15.0,< 2
IHDF-1300AE-10,"www.vishay.com Vishay Dale
Low Profile, Through-Hole, High Current Inductors,
Edge-Wound Series
FEATURES
• Low loss ferrite core for high performance",IHDF1300AEER5R6M10,5.6,1.11,59.0,63.0,14.0,< 2
IHDF-1300AE-10,"www.vishay.com Vishay Dale
Low Profile, Through-Hole, High Current Inductors,
Edge-Wound Series
FEATURES
• Low loss ferrite core for high performance",IHDF1300AEER6R8M10,6.8,1.11,59.0,52.0,12.0,< 2
IHDF-1300AE-10,"www.vishay.com Vishay Dale
Low Profile, Through-Hole, High Current Inductors,
Edge-Wound Series
FEATURES
• Low loss ferrite core for high performance",IHDF1300AEER8R2M10,8.2,1.11,59.0,43.0,10.0,< 2
IHDF-1300AE-10,"www.vishay.com Vishay Dale
Low Profile, Through-Hole, High Current Inductors,
Edge-Wound Series
FEATURES
• Low loss ferrite core for high performance",IHDF1300AEER100M10,10.0,1.11,59.0,35.0,9.0,< 2
