File Name,Description,PART NUMBER,"L
0
INDUCTANCE
± 20 %
AT 1 MHz,
1.0 V, 0 A
(μH)","DCR
25 °C
(mΩ)",,,,"HEAT RATING
CURRENT
DC
(A) (3)",,,,"SATURATION
CURRENT
DC
(A) (4)",,,
IHHP-0805ZH-01,"www.vishay.com Vishay Dale
Low Profile, High Current Inductors
FEATURES
• Composite powdered iron construction
• Miniature size (2.0 x 1.2) and low profile",IHHP0805ZHER000M01,,"TYP,","MAX,","MAX,","MAX,","TYP,","MAX,","MAX,","MAX,","TYP,","MAX,","MAX,","MAX,"
IHHP-0805ZH-01,"www.vishay.com Vishay Dale
Low Profile, High Current Inductors
FEATURES
• Composite powdered iron construction
• Miniature size (2.0 x 1.2) and low profile",IHHP0805ZHERR47M01,0.47,26.0,33.0,3.7,4.3,3.9,33.0,3.7,4.3,4.8,33.0,3.7,4.3
IHHP-0805ZH-01,"www.vishay.com Vishay Dale
Low Profile, High Current Inductors
FEATURES
• Composite powdered iron construction
• Miniature size (2.0 x 1.2) and low profile",IHHP0805ZHER1R0M01,1.0,45.0,55.0,3.2,3.3,3.5,55.0,3.2,3.3,3.8,55.0,3.2,3.3
IHHP-0805ZH-01,"www.vishay.com Vishay Dale
Low Profile, High Current Inductors
FEATURES
• Composite powdered iron construction
• Miniature size (2.0 x 1.2) and low profile",IHHP0805ZHER2R2M01,2.2,90.0,110.0,1.6,1.9,1.8,110.0,1.6,1.9,2.1,110.0,1.6,1.9
