Series▲▼;Product Image;Technology▲▼;Mounting▲▼;Construction▲▼;Capacitance▲▼;Voltage(V)▲▼;ESR(mΩ)▲▼;Case Size(mm)▲▼;Image path
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;10;25;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;6.3;80;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;10 µF;50;100;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;15 µF;25;100;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;4;25;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;16;50;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;3;25;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;10;55;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;68 µF;6.3;80;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;2.5;25;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;10 µF;50;125;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;4;25;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;22 µF;25;75;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;22 µF;10;80;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;22 µF;20;75;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;470 µF;3;25;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;10;25;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;6.3;25;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;470 µF;2.5;25;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;4.7 µF;63;100;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;470 µF;4;25;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;33 µF;25;75;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;33 µF;10;80;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;33 µF;20;75;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;680 µF;3;25;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;16;35;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;6.3;25;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;680 µF;2.5;25;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;4.7 µF;63;120;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;470 µF;4;40;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;15 µF;35;75;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;10;25;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;20;75;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;68 µF;4;80;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;16;65;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;6.3;25;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;3;80;;image/capacitors/polymer/40281.png
