Series▲▼;Product Image;Order Code▲▼;Cap (µF)▲▼;Voltage (V)▲▼;Form▲▼;Case Size▲▼;Temp Max (°C)▲▼;Useful Life▲▼;Style▲▼;Technology▲▼;Image path
196 DLC;Enlarge;MAL219662684E3;680000;5.5;Cell;Ø20.5x10.5;+85 °C;1000;"""Button Cell, 2-pin, Stacked Vertical, Form A""";Supercapacitor;image/capacitors/energy-storage/28362.png
196 DLC;Enlarge;MAL219632104E3;100000;5.5;Cell;Ø11.5x13;+70 °C;1000;"""Button Cell, 2-pin, Stacked Horizontal, Form B""";Supercapacitor;image/capacitors/energy-storage/28362.png
196 DLC;Enlarge;MAL219612104E3;100000;5.5;Cell;Ø13x7;+70 °C;1000;"""Button Cell, 2-pin, Stacked Vertical, Form A""";Supercapacitor;image/capacitors/energy-storage/28362.png
196 DLC;Enlarge;MAL219672474E3;470000;5.5;Cell;Ø11.5x13;+85 °C;1000;"""Button Cell, 2-pin, Stacked Horizontal, Form B""";Supercapacitor;image/capacitors/energy-storage/28362.png
196 DLC;Enlarge;MAL219622104E3;100000;5.5;Cell;Ø13x9;+85 °C;1000;"""Button Cell, 2-pin, Stacked Vertical, Form A""";Supercapacitor;image/capacitors/energy-storage/28362.png
196 DLC;Enlarge;MAL219662105E3;1000000;5.5;Cell;Ø20.5x8;+85 °C;1000;"""Button Cell, 2-pin, Stacked Vertical, Form A""";Supercapacitor;image/capacitors/energy-storage/28362.png
196 DLC;Enlarge;MAL219632224E3;220000;5.5;Cell;Ø11.5x13;+70 °C;1000;"""Button Cell, 2-pin, Stacked Horizontal, Form B""";Supercapacitor;image/capacitors/energy-storage/28362.png
196 DLC;Enlarge;MAL219672105E3;1000000;5.5;Cell;Ø19x20.5;+85 °C;1000;"""Button Cell, 2-pin, Stacked Horizontal, Form B""";Supercapacitor;image/capacitors/energy-storage/28362.png
196 DLC;Enlarge;MAL219612224E3;220000;5.5;Cell;Ø13x7;+70 °C;1000;"""Button Cell, 2-pin, Stacked Vertical, Form A""";Supercapacitor;image/capacitors/energy-storage/28362.png
196 DLC;Enlarge;MAL219662155E3;1500000;5.5;Cell;Ø20.5x8;+85 °C;1000;"""Button Cell, 2-pin, Stacked Vertical, Form A""";Supercapacitor;image/capacitors/energy-storage/28362.png
