Series▲▼;Product Image;Technology▲▼;Mounting▲▼;Construction▲▼;Capacitance▲▼;Voltage(V)▲▼;ESR(mΩ)▲▼;Case Size (mm)(mm)▲▼;Image path
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;5 µF;50;9000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;270 µF;6;4000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;86 µF;100;3100;57.15 x 9.53 (K);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;100 µF;25;4000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;3.5 µF;75;10000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;180 µF;10;4000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;10 µF;100;6000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;220 µF;20;4000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;430 µF;8;3200;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;11 µF;150;12000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;300 µF;30;1600;57.15 x 9.53 (K);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;70 µF;15;3600;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;82 µF;50;4000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;25 µF;8;4200;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;25 µF;125;10000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;15 µF;30;8000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;56 µF;75;6000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;10 µF;50;8000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;290 µF;6;2000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;1.7 µF;125;54600;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;180 µF;25;4000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;6.8 µF;75;8000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;250 µF;10;2000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;11 µF;100;6000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;10 µF;25;6000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;39 µF;60;7000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;850 µF;8;1000;57.15 x 9.53 (K);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;22 µF;150;4000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;68 µF;35;6000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;120 µF;15;4000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;160 µF;50;2200;57.15 x 9.53 (K);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;56 µF;8;4000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;56 µF;125;4100;57.15 x 9.53 (K);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;40 µF;30;4000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;110 µF;75;3100;57.15 x 9.53 (K);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;22 µF;50;7000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;330 µF;6;2100;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;3.6 µF;125;15000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;220 µF;25;2600;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;13 µF;75;6000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;390 µF;10;3000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;30 µF;6;4200;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;22 µF;100;7000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;22 µF;25;5000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;50 µF;60;4000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;20 µF;10;5000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;39 µF;150;2200;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;120 µF;35;4000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;2.5 µF;100;26500;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;270 µF;15;3000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;4 µF;60;10000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;220 µF;8;4000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;1.7 µF;150;42000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;68 µF;30;6000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;25 µF;50;6000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;560 µF;6;3000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;9 µF;125;15000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;350 µF;25;1300;57.15 x 9.53 (K);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;15 µF;75;6500;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;750 µF;10;1000;57.15 x 9.53 (K);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;270 µF;35;2200;57.15 x 9.53 (K);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;68 µF;6;4000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;30 µF;100;4000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;50 µF;25;4000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;68 µF;60;6000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;47 µF;10;5000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;3 µF;100;10000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;540 µF;15;1200;57.15 x 9.53 (K);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;8.2 µF;60;8000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;3 µF;150;15000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;100 µF;30;6000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;47 µF;50;6000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;1.2 mF;6;1600;57.15 x 9.53 (K);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;14 µF;125;12000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;7 µF;30;8000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;33 µF;75;7000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;15 µF;15;6000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;4.5 µF;50;9000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;140 µF;6;2000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;43 µF;100;6000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;100 µF;25;4000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;140 µF;60;2400;57.15 x 9.53 (K);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;100 µF;10;2100;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;4.7 µF;100;10000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;27 µF;20;5000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;20 µF;60;5000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;290 µF;8;2000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;6.8 µF;150;15000;57.15 x 7.14 (F);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;150 µF;30;4100;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;33 µF;15;5000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;60 µF;50;3000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;22 µF;8;6000;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;18 µF;125;11000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;8 µF;30;7500;38.10 x 4.78 (C);image/capacitors/tantalum/40023.png
109D;Enlarge;Tantalum, Wet;Through Hole;Axial;40 µF;75;5000;57.15 x 9.53 (T);image/capacitors/tantalum/40023.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;50 µF;125;2300;16.28 x 7.14 (F);image/capacitors/tantalum/40072.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;180 µF;75;1500;16.28 x 7.14 (F);image/capacitors/tantalum/40072.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;390 µF;60;900;19.46 x 9.53 (T);image/capacitors/tantalum/40072.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;470 µF;100;700;26.97 x 9.53 (K);image/capacitors/tantalum/40072.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;68 µF;100;2100;16.28 x 7.14 (F);image/capacitors/tantalum/40072.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;220 µF;50;900;16.28 x 7.14 (F);image/capacitors/tantalum/40072.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;100 µF;125;1800;19.46 x 9.53 (T);image/capacitors/tantalum/40072.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;330 µF;75;1000;19.46 x 9.53 (T);image/capacitors/tantalum/40072.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;560 µF;60;800;26.97 x 9.53 (K);image/capacitors/tantalum/40072.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;560 µF;100;700;26.97 x 9.53 (K);image/capacitors/tantalum/40072.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;470 µF;50;750;19.46 x 9.53 (T);image/capacitors/tantalum/40072.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;150 µF;100;1600;19.46 x 9.53 (T);image/capacitors/tantalum/40072.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;150 µF;125;1600;26.97 x 9.53 (K);image/capacitors/tantalum/40072.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;470 µF;75;900;26.97 x 9.53 (K);image/capacitors/tantalum/40072.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;1 mF;60;500;26.97 x 9.53 (K);image/capacitors/tantalum/40072.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;750 µF;100;900;26.97 x 9.53 (K);image/capacitors/tantalum/40072.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;680 µF;50;700;26.97 x 9.53 (K);image/capacitors/tantalum/40072.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;220 µF;100;1600;19.46 x 9.53 (T);image/capacitors/tantalum/40072.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;240 µF;125;800;26.97 x 9.53 (K);image/capacitors/tantalum/40072.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;750 µF;75;600;26.97 x 9.53 (K);image/capacitors/tantalum/40072.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;33 µF;75;2500;11.51 x 4.78 (C);image/capacitors/tantalum/40072.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;10 µF;125;5500;11.51 x 4.78 (C);image/capacitors/tantalum/40072.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;47 µF;60;2000;11.51 x 4.78 (C);image/capacitors/tantalum/40072.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;220 µF;100;1200;26.97 x 9.53 (K);image/capacitors/tantalum/40072.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;350 µF;125;800;26.97 x 9.53 (K);image/capacitors/tantalum/40072.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;1 mF;75;500;26.97 x 9.53 (K);image/capacitors/tantalum/40072.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;110 µF;75;1300;16.28 x 7.14 (F);image/capacitors/tantalum/40072.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;47 µF;125;2300;16.28 x 7.14 (F);image/capacitors/tantalum/40072.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;150 µF;60;1100;16.28 x 7.14 (F);image/capacitors/tantalum/40072.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;400 µF;100;700;26.97 x 9.53 (K);image/capacitors/tantalum/40072.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;15 µF;100;3500;11.51 x 4.78 (C);image/capacitors/tantalum/40072.png
134D;Enlarge;Tantalum, Wet;Through Hole;Axial;68 µF;50;1500;11.51 x 4.78 (C);image/capacitors/tantalum/40072.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;30 µF;100;3300;19.46 x 9.53 (T);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;270 µF;15;2200;19.46 x 9.53 (T);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;68 µF;60;2500;19.46 x 9.53 (T);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;290 µF;8;1800;19.46 x 9.53 (T);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;300 µF;30;1400;26.97 x 9.53 (K);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;15 µF;15;4400;11.51 x 4.78 (C);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;4 µF;60;9300;11.51 x 4.78 (C);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;1.2 mF;6;1000;26.97 x 9.53 (K);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;22 µF;30;4600;16.28 x 7.14 (F);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;2.5 µF;100;10600;11.51 x 4.78 (C);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;25 µF;50;4600;16.28 x 7.14 (F);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;68 µF;6;3200;11.51 x 4.78 (C);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;9 µF;125;7400;16.28 x 7.14 (F);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;120 µF;25;2600;19.46 x 9.53 (T);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;40 µF;75;3000;19.46 x 9.53 (T);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;100 µF;10;2400;16.28 x 7.14 (F);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;43 µF;100;2600;19.46 x 9.53 (T);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;540 µF;15;1000;26.97 x 9.53 (K);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;140 µF;60;1500;26.97 x 9.53 (K);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;430 µF;8;1400;19.46 x 9.53 (T);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;15 µF;35;6200;11.51 x 4.78 (C);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;3.9 µF;100;10000;11.51 x 4.78 (C);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;33 µF;15;4000;11.51 x 4.78 (C);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;8.2 µF;60;6600;11.51 x 4.78 (C);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;25 µF;8;4000;11.51 x 4.78 (C);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;40 µF;30;4000;16.28 x 7.14 (F);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;47 µF;50;3700;16.28 x 7.14 (F);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;140 µF;6;2000;16.28 x 7.14 (F);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;14 µF;125;5700;16.28 x 7.14 (F);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;180 µF;25;2200;19.46 x 9.53 (T);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;180 µF;10;2200;16.28 x 7.14 (F);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;82 µF;100;1600;26.97 x 9.53 (K);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;10 µF;25;5300;11.51 x 4.78 (C);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;3.5 µF;75;9500;11.51 x 4.78 (C);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;850 µF;8;1000;26.97 x 9.53 (K);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;68 µF;35;2900;16.28 x 7.14 (F);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;4.7 µF;100;8500;11.51 x 4.78 (C);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;70 µF;15;2800;16.28 x 7.14 (F);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;20 µF;60;4700;16.28 x 7.14 (F);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;56 µF;8;3300;11.51 x 4.78 (C);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;68 µF;30;2900;16.28 x 7.14 (F);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;60 µF;50;2900;19.46 x 9.53 (T);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;270 µF;6;2200;16.28 x 7.14 (F);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;18 µF;125;3700;19.46 x 9.53 (T);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;350 µF;25;1300;26.97 x 9.53 (K);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;56 µF;75;2600;19.46 x 9.53 (T);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;250 µF;10;1800;19.46 x 9.53 (T);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;270 µF;35;1400;26.97 x 9.53 (K);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;86 µF;100;1600;26.97 x 9.53 (K);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;22 µF;25;4200;11.51 x 4.78 (C);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;6.8 µF;75;6800;11.51 x 4.78 (C);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;20 µF;10;4000;11.51 x 4.78 (C);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;11 µF;100;6000;16.28 x 7.14 (F);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;120 µF;15;2600;16.28 x 7.14 (F);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;39 µF;60;3400;16.28 x 7.14 (F);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;120 µF;8;2600;16.28 x 7.14 (F);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;100 µF;30;2700;19.46 x 9.53 (T);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;82 µF;50;2500;19.46 x 9.53 (T);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;330 µF;6;1400;19.46 x 9.53 (T);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;25 µF;125;3200;19.46 x 9.53 (T);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;8 µF;30;6600;11.51 x 4.78 (C);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;110 µF;75;1500;26.97 x 9.53 (K);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;390 µF;10;1500;19.46 x 9.53 (T);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;5 µF;50;8000;11.51 x 4.78 (C);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;1.7 µF;125;15600;11.51 x 4.78 (C);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;50 µF;25;3000;16.28 x 7.14 (F);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;15 µF;75;5300;16.28 x 7.14 (F);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;47 µF;10;3700;11.51 x 4.78 (C);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;22 µF;100;4800;16.28 x 7.14 (F);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;170 µF;15;2400;19.46 x 9.53 (T);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;50 µF;60;2900;19.46 x 9.53 (T);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;220 µF;8;2400;16.28 x 7.14 (F);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;150 µF;30;2300;19.46 x 9.53 (T);image/capacitors/tantalum/40024.png
135D;Enlarge;Tantalum, Wet;Through Hole;Axial;750 µF;10;1000;26.97 x 9.53 (K);image/capacitors/tantalum/40024.png
