File Name,Description,PART NUMBER,,"L
0
INDUCTANCE
± 20 % AT
100 kHz,
0.25 V, 0 A
(μH)","DCR
NOM.
25 °C
(m)","DCR
MAX.
25 °C
(m)","HEAT
RATING
CURRENT
DC TYP.
(A) (1)","SATURATION
CURRENT
DC TYP.
(A) (2)"
IHCL-4040DZ-5A 22 µH,"www.vishay.com Vishay Dale
Low Profile, High Current Coupled Inductor
FEATURES
• High temperature, up to 155 °C
• Shielded construction",IHCL4040DZER220M5A 22 µH,"L
1-2",22.0,177.0,189.6,2.5,4.75
IHCL-4040DZ-5A 22 µH,"www.vishay.com Vishay Dale
Low Profile, High Current Coupled Inductor
FEATURES
• High temperature, up to 155 °C
• Shielded construction",IHCL4040DZER220M5A 22 µH,"L
3-4",22.0,176.0,190.0,2.6,4.75
IHCL-4040DZ-5A 22 µH,"www.vishay.com Vishay Dale
Low Profile, High Current Coupled Inductor
FEATURES
• High temperature, up to 155 °C
• Shielded construction",IHCL4040DZER880M5A 22 µH,"L
1-4
(L shorted)
2-3",88.0,353.0,380.0,1.7,2.25
IHCL-4040DZ-5A 22 µH,"www.vishay.com Vishay Dale
Low Profile, High Current Coupled Inductor
FEATURES
• High temperature, up to 155 °C
• Shielded construction",IHCL4040DZER1R5M5A 22 µH,"L
1-3
(L shorted)
2-4",1.5,353.0,380.0,1.7,See note (3)
IHCL-4040DZ-5A 22 µH,"www.vishay.com Vishay Dale
Low Profile, High Current Coupled Inductor
FEATURES
• High temperature, up to 155 °C
• Shielded construction",IHCL4040DZER220M5A 22 µH,"L
Common Mode
(1-3 and
2-4 shorted)",22.0,80.0,86.0,4.3,5.3
IHCL-4040DZ-5A 22 µH,"www.vishay.com Vishay Dale
Low Profile, High Current Coupled Inductor
FEATURES
• High temperature, up to 155 °C
• Shielded construction",IHCL4040DZERR5M5A 22 µH,"L
Differential
Mode
(1-4 and
2-3 shorted)",0.5,80.0,86.0,4.3,See note (3)
