File Name,Description,PART NUMBER,"L
0
INDUCTANC
± 20 %
AT 100 kHz,
0.25 V, 0 A
(μH)","E
DCR
TYP.
25 °C
(mΩ)","DCR
MAX.
25 °C
(mΩ)","HEAT
RATING
CURRENT
DC TYP.
(A) (1)","SATURATION
CURRENT
DC TYP.
(A) (2)","SRF
TYP.
(MHz)"
IHLP-1212BZ-5A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (155 °C) Series
FEATURES
• Shielded construction
• High temperature, up to 155 °C",IHLP1212BZERR1M5A,0.1,6.58,6.95,12.26,13.46,380.0
IHLP-1212BZ-5A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (155 °C) Series
FEATURES
• Shielded construction
• High temperature, up to 155 °C",IHLP1212BZERR22M5A,0.22,12.92,13.74,8.35,5.75,215.0
IHLP-1212BZ-5A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (155 °C) Series
FEATURES
• Shielded construction
• High temperature, up to 155 °C",IHLP1212BZERR47M5A,0.47,19.68,21.75,6.73,4.66,135.0
IHLP-1212BZ-5A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (155 °C) Series
FEATURES
• Shielded construction
• High temperature, up to 155 °C",IHLP1212BZERR68M5A,0.68,24.95,27.75,5.96,4.27,106.0
IHLP-1212BZ-5A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (155 °C) Series
FEATURES
• Shielded construction
• High temperature, up to 155 °C",IHLP1212BZER1R0M5A,1.0,27.64,30.17,5.73,3.64,81.0
IHLP-1212BZ-5A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (155 °C) Series
FEATURES
• Shielded construction
• High temperature, up to 155 °C",IHLP1212BZER1R2M5A,1.2,36.73,38.99,4.78,2.97,67.0
IHLP-1212BZ-5A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (155 °C) Series
FEATURES
• Shielded construction
• High temperature, up to 155 °C",IHLP1212BZER1R5M5A,1.5,41.51,45.0,4.7,3.34,55.0
IHLP-1212BZ-5A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (155 °C) Series
FEATURES
• Shielded construction
• High temperature, up to 155 °C",IHLP1212BZER2R2M5A,2.2,58.93,63.05,4.01,2.62,42.0
IHLP-1212BZ-5A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (155 °C) Series
FEATURES
• Shielded construction
• High temperature, up to 155 °C",IHLP1212BZER3R3M5A,3.3,88.38,96.79,3.26,2.52,40.0
