Series▲▼,Product Image,IO(A)▲▼,TC(°C)▲▼,VRRM(V)▲▼,VRSM(V)▲▼,IFSMat 50 Hz(A)▲▼,IFSMat 60 Hz(A)▲▼,VFMat ITMat25 °C(V)▲▼,TJ(°C)▲▼,RthJCperJunction(°C/W)▲▼,Package▲▼,CircuitConfiguration▲▼,Image path
VS-104MT..KPbF Series,Enlarge,100,80,1400,1500,1130,1180,1.53 at 150,125,0.69,MTK,Three phase AC switch,image/modules/bridge-modules/94351.png
VS-104MT..KPbF Series,Enlarge,100,80,1000,1100,1130,1180,1.53 at 150,125,0.69,MTK,Three phase AC switch,image/modules/bridge-modules/94351.png
VS-104MT..KPbF Series,Enlarge,100,80,1600,1700,1130,1180,1.53 at 150,125,0.69,MTK,Three phase AC switch,image/modules/bridge-modules/94351.png
VS-104MT..KPbF Series,Enlarge,100,80,1200,1300,1130,1180,1.53 at 150,125,0.69,MTK,Three phase AC switch,image/modules/bridge-modules/94351.png
VS-104MT..KPbF Series,Enlarge,100,80,800,900,1130,1180,1.53 at 150,125,0.69,MTK,Three phase AC switch,image/modules/bridge-modules/94351.png
VS-130-160MT..KPbF Series,Enlarge,160,85,800,900,1430,1500,1.49 at 200,150,0.73,MTK,Three phase bridge,image/modules/bridge-modules/94354.png
VS-130-160MT..KPbF Series,Enlarge,130,85,1400,1500,1130,1180,1.63 at 200,150,0.93,MTK,Three phase bridge,image/modules/bridge-modules/94354.png
VS-130-160MT..KPbF Series,Enlarge,160,85,1400,1500,1430,1500,1.49 at 200,150,0.73,MTK,Three phase bridge,image/modules/bridge-modules/94354.png
VS-130-160MT..KPbF Series,Enlarge,130,85,1000,1100,1130,1180,1.63 at 200,150,0.93,MTK,Three phase bridge,image/modules/bridge-modules/94354.png
VS-130-160MT..KPbF Series,Enlarge,160,85,1000,1100,1430,1500,1.49 at 200,150,0.73,MTK,Three phase bridge,image/modules/bridge-modules/94354.png
VS-130-160MT..KPbF Series,Enlarge,130,85,1600,1700,1130,1180,1.63 at 200,150,0.93,MTK,Three phase bridge,image/modules/bridge-modules/94354.png
VS-130-160MT..KPbF Series,Enlarge,160,85,1600,1700,1430,1500,1.49 at 200,150,0.73,MTK,Three phase bridge,image/modules/bridge-modules/94354.png
VS-130-160MT..KPbF Series,Enlarge,130,85,1200,1300,1130,1180,1.63 at 200,150,0.93,MTK,Three phase bridge,image/modules/bridge-modules/94354.png
VS-130-160MT..KPbF Series,Enlarge,160,85,1200,1300,1430,1500,1.49 at 200,150,0.73,MTK,Three phase bridge,image/modules/bridge-modules/94354.png
VS-130-160MT..KPbF Series,Enlarge,130,85,800,900,1130,1180,1.63 at 200,150,0.93,MTK,Three phase bridge,image/modules/bridge-modules/94354.png
VS-131MT...C Series,Enlarge,218,85,1800,1900,1270,1330,2.05 at 300,150,0.41,MTC,Three phase bridge,image/modules/bridge-modules/96989.png
VS-131MT...C Series,Enlarge,218,85,1600,1700,1270,1330,2.05 at 300,150,0.41,MTC,Three phase bridge,image/modules/bridge-modules/96989.png
VS-161MT...C Series,Enlarge,257,85,1800,1900,1540,1610,1.85 at 300,150,0.35,MTC,Three phase bridge,image/modules/bridge-modules/96990.png
