File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2);SRF TYP. (MHz)
IHLP-5050FD-8A;image/small_inductors/34386.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP5050FDER0R22M8A;0.22;0.73;0.81;66;68;113
IHLP-5050FD-8A;image/small_inductors/34386.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP5050FDER0R33M8A;0.33;0.83;0.92;62;44;79.9
IHLP-5050FD-8A;image/small_inductors/34386.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP5050FDER0R47M8A;0.47;1.05;1.16;54;42;65.6
IHLP-5050FD-8A;image/small_inductors/34386.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP5050FDER0R56M8A;0.56;1.24;1.33;50;32;63.1
IHLP-5050FD-8A;image/small_inductors/34386.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP5050FDER0R68M8A;0.68;1.33;1.42;40;29;48.1
IHLP-5050FD-8A;image/small_inductors/34386.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP5050FDER1R0M8A;1.0;1.65;1.77;40;26;33.4
IHLP-5050FD-8A;image/small_inductors/34386.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP5050FDER1R2M8A;1.2;1.98;2.12;29;24.5;32.0
IHLP-5050FD-8A;image/small_inductors/34386.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP5050FDER1R5M8A;1.5;2.4;2.57;27.5;23.5;29.2
IHLP-5050FD-8A;image/small_inductors/34386.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP5050FDER1R8M8A;1.8;2.75;2.94;26;22.5;25.9
IHLP-5050FD-8A;image/small_inductors/34386.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP5050FDER2R2M8A;2.2;3.43;3.67;25.5;21.5;23.3
IHLP-5050FD-8A;image/small_inductors/34386.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP5050FDER3R3M8A;3.3;5.08;5.44;20.2;16.7;17.8
IHLP-5050FD-8A;image/small_inductors/34386.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP5050FDER4R7M8A;4.7;7.41;7.93;19.7;18.5;15.8
IHLP-5050FD-8A;image/small_inductors/34386.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP5050FDER5R6M8A;5.6;8.51;9.11;16.8;14.2;12.3
IHLP-5050FD-8A;image/small_inductors/34386.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP5050FDER6R8M8A;6.8;11.3;12.09;14.9;14.1;13.4
IHLP-5050FD-8A;image/small_inductors/34386.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP5050FDER7R8M8A;7.8;12.6;13.48;13.5;8.5;13.4
IHLP-5050FD-8A;image/small_inductors/34386.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP5050FDER8R2M8A;8.2;13.2;14.12;13.2;7.6;10.3
IHLP-5050FD-8A;image/small_inductors/34386.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP5050FDER100M8A;10;16.60;17.76;12.1;7.8;10.7
IHLP-5050FD-8A;image/small_inductors/34386.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP5050FDER120M8A;12;19.00;20.33;11.4;7.9;9.5
IHLP-5050FD-8A;image/small_inductors/34386.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP5050FDER150M8A;15;24.00;25.68;10.1;7.7;8.8
IHLP-5050FD-8A;image/small_inductors/34386.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP5050FDER220M8A;22;31.30;33.49;9.0;6.3;6.6
IHLP-5050FD-8A;image/small_inductors/34386.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP5050FDER330M8A;33;46.03;49.25;6.9;6.2;5.5
IHLP-5050FD-8A;image/small_inductors/34386.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP5050FDER470M8A;47;77.00;79.60;5.6;5.7;4.1
IHLP-5050FD-8A;image/small_inductors/34386.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP5050FDER820M8A;82;141.10;150.98;3.7;3.7;3.0
IHLP-5050FD-8A;image/small_inductors/34386.png;IHLP® Automotive Inductors, High Temperature (180 °C) Series;IHLP5050FDER101M8A;100;175.00;187.0;3.1;4.3;2.8
