File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A);(3);SRF TYP. (MHz)
IHTH-1500MZ-5A;image/small_inductors/34570.png;High Current Through-Hole Inductor, High Temperature;IHTH1500MZER000M5A;;;;;(2);(3);
IHTH-1500MZ-5A;image/small_inductors/34570.png;High Current Through-Hole Inductor, High Temperature;IHTH1500MZER0R47M5A;0.47;0.19;0.20;134.8;109.4;156.2;54.1
IHTH-1500MZ-5A;image/small_inductors/34570.png;High Current Through-Hole Inductor, High Temperature;IHTH1500MZER2R2M5A;2.2;0.51;0.54;81.7;78.9;111.4;14.7
IHTH-1500MZ-5A;image/small_inductors/34570.png;High Current Through-Hole Inductor, High Temperature;IHTH1500MZER4R7M5A;4.7;1.13;1.19;60.6;60.0;90.1;9.2
