File Name;Image Path;Description;PART NUMBER;L INDUCTANCE 0 ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR AT 25 °C (mΩ);HEAT RATING CURRENT DC (A);TYP. (2);SATURATION CURRENT DC (A);TYP. (4)
IHSR-6767GZ-5A;image/small_inductors/34584.png;Automotive Inductors, High Temperature (155 °C) Series;IHSR6767GZER000M5A;;TYP.;TYP. (1);TYP. (2);TYP. (3);TYP. (4)
IHSR-6767GZ-5A;image/small_inductors/34584.png;Automotive Inductors, High Temperature (155 °C) Series;IHSR6767GZER0R22M5A;0.22;0.24;100;141;107;155
