File Name,Description,PART NUMBER,"L
0
INDUCTANC
± 20 %
AT 100 kHz,
0.25 V, 0 A
(μH)","E
DCR
TYP.
25 °C
(m)","DCR
MAX.
25 °C
(m)","HEAT
RATING
CURRENT
DC TYP.
(A) (1)","SATURATION
CURRENT
DC TYP.
(A) (2)","SRF
TYP.
(MHz)"
IHLP-3232CZ-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Shielded construction
• Excellent DC/DC energy storage up to 5 MHz.",IHLP3232CZERR22M01,0.22,1.6,1.71,32.0,43.0,104.0
IHLP-3232CZ-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Shielded construction
• Excellent DC/DC energy storage up to 5 MHz.",IHLP3232CZERR33M01,0.33,2.4,2.57,25.0,32.0,101.0
IHLP-3232CZ-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Shielded construction
• Excellent DC/DC energy storage up to 5 MHz.",IHLP3232CZERR47M01,0.47,3.11,3.33,21.5,35.0,77.0
IHLP-3232CZ-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Shielded construction
• Excellent DC/DC energy storage up to 5 MHz.",IHLP3232CZER1R0M01,1.0,7.8,8.35,13.7,29.0,51.0
IHLP-3232CZ-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Shielded construction
• Excellent DC/DC energy storage up to 5 MHz.",IHLP3232CZER1R5M01,1.5,12.4,13.3,11.0,24.0,42.0
IHLP-3232CZ-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Shielded construction
• Excellent DC/DC energy storage up to 5 MHz.",IHLP3232CZER2R2M01,2.2,19.0,20.3,9.0,21.0,30.0
IHLP-3232CZ-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Shielded construction
• Excellent DC/DC energy storage up to 5 MHz.",IHLP3232CZER3R3M01,3.3,25.6,27.4,7.2,12.0,27.0
IHLP-3232CZ-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Shielded construction
• Excellent DC/DC energy storage up to 5 MHz.",IHLP3232CZER4R7M01,4.7,32.0,34.2,6.6,10.5,25.0
IHLP-3232CZ-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Shielded construction
• Excellent DC/DC energy storage up to 5 MHz.",IHLP3232CZER5R6M01,5.6,34.7,37.2,6.3,10.0,21.0
IHLP-3232CZ-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Shielded construction
• Excellent DC/DC energy storage up to 5 MHz.",IHLP3232CZER6R8M01,6.8,46.1,49.3,5.3,9.5,19.0
IHLP-3232CZ-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Shielded construction
• Excellent DC/DC energy storage up to 5 MHz.",IHLP3232CZER8R2M01,8.2,55.4,59.3,4.8,9.5,16.0
IHLP-3232CZ-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Shielded construction
• Excellent DC/DC energy storage up to 5 MHz.",IHLP3232CZER100M01,10.0,66.5,71.2,4.7,8.2,15.0
