File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2);SRF TYP. (MHz)
SGIHLP-97OZ-8;image/small_inductors/34463.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP97OZER0R47M8;0.47;0.57;0.68;80.0;100.0;47.5
SGIHLP-97OZ-8;image/small_inductors/34463.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP97OZER1R0M8;1.0;0.83;0.90;69.0;71.0;25.7
SGIHLP-97OZ-8;image/small_inductors/34463.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP97OZER2R2M8;2.2;1.24;1.26;58.0;48.0;17.5
SGIHLP-97OZ-8;image/small_inductors/34463.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP97OZER3R3M8;3.3;1.64;1.78;49.0;41.0;12.8
SGIHLP-97OZ-8;image/small_inductors/34463.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP97OZER4R7M8;4.7;1.70;1.85;47.0;37.0;10.2
SGIHLP-97OZ-8;image/small_inductors/34463.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP97OZER6R8M8;6.8;2.85;3.10;36.0;36.0;8.03
SGIHLP-97OZ-8;image/small_inductors/34463.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP97OZER100M8;10;4.05;4.15;28.0;28.0;6.04
SGIHLP-97OZ-8;image/small_inductors/34463.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP97OZER150M8;15;5.63;6.12;23.5;24.0;4.71
SGIHLP-97OZ-8;image/small_inductors/34463.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP97OZER220M8;22;10.61;10.81;17.5;16.0;3.88
SGIHLP-97OZ-8;image/small_inductors/34463.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP97OZER330M8;33;15.11;15.41;15.5;10.5;3.01
SGIHLP-97OZ-8;image/small_inductors/34463.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP97OZER470M8;47;17.31;17.71;13.5;10.0;2.99
SGIHLP-97OZ-8;image/small_inductors/34463.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP97OZER750M8;75;29.77;32.36;12.0;12.0;2.01
SGIHLP-97OZ-8;image/small_inductors/34463.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP97OZER820M8;82;31.47;34.21;10.2;9.0;2.07
SGIHLP-97OZ-8;image/small_inductors/34463.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP97OZER101M8;100;36.26;39.41;9.1;7.0;2.01
