File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANC ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);E DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2);SRF TYP. (MHz)
IHLP-5050FD-5L;image/small_inductors/34351.png;Low Profile, High Current IHLP® Inductors;IHLP5050FDER1R0M5L;1.0;1.65;1.77;40;26;33.4
IHLP-5050FD-5L;image/small_inductors/34351.png;Low Profile, High Current IHLP® Inductors;IHLP5050FDER1R2M5L;1.2;1.98;2.12;29;24.5;32.0
IHLP-5050FD-5L;image/small_inductors/34351.png;Low Profile, High Current IHLP® Inductors;IHLP5050FDER1R5M5L;1.5;2.4;2.57;27.5;23.5;29.2
IHLP-5050FD-5L;image/small_inductors/34351.png;Low Profile, High Current IHLP® Inductors;IHLP5050FDER1R8M5L;1.8;2.75;2.94;26;22.5;25.9
IHLP-5050FD-5L;image/small_inductors/34351.png;Low Profile, High Current IHLP® Inductors;IHLP5050FDER2R2M5L;2.2;3.43;3.67;25.5;21.5;23.3
IHLP-5050FD-5L;image/small_inductors/34351.png;Low Profile, High Current IHLP® Inductors;IHLP5050FDER3R3M5L;3.3;5.08;5.44;20.2;16.7;17.8
IHLP-5050FD-5L;image/small_inductors/34351.png;Low Profile, High Current IHLP® Inductors;IHLP5050FDER4R7M5L;4.7;7.41;7.93;17.4;18.5;15.8
IHLP-5050FD-5L;image/small_inductors/34351.png;Low Profile, High Current IHLP® Inductors;IHLP5050FDER5R6M5L;5.6;8.51;9.11;13.8;13.8;12.3
IHLP-5050FD-5L;image/small_inductors/34351.png;Low Profile, High Current IHLP® Inductors;IHLP5050FDER6R8M5L;6.8;11.3;12.09;14.2;8.7;13.4
IHLP-5050FD-5L;image/small_inductors/34351.png;Low Profile, High Current IHLP® Inductors;IHLP5050FDER7R8M5L;7.8;12.6;13.48;13.5;8.5;13.6
IHLP-5050FD-5L;image/small_inductors/34351.png;Low Profile, High Current IHLP® Inductors;IHLP5050FDER8R2M5L;8.2;13.2;14.12;13.2;7.6;10.3
IHLP-5050FD-5L;image/small_inductors/34351.png;Low Profile, High Current IHLP® Inductors;IHLP5050FDER100M5L;10;16.60;17.76;10.9;7.2;10.7
IHLP-5050FD-5L;image/small_inductors/34351.png;Low Profile, High Current IHLP® Inductors;IHLP5050FDER120M5L;12;19.00;20.33;10.6;6.9;7.59
IHLP-5050FD-5L;image/small_inductors/34351.png;Low Profile, High Current IHLP® Inductors;IHLP5050FDER150M5L;15;24.00;25.68;8.7;6.8;8.30
IHLP-5050FD-5L;image/small_inductors/34351.png;Low Profile, High Current IHLP® Inductors;IHLP5050FDER220M5L;22;31.30;33.49;8.3;5.5;6.43
