File Name;Image Path;Description;PART NUMBER;PART NUMBER;L IND. 0 ± 15 % AT 0 A (μH);DCR MAX. ();HEAT RATING CURRENT DC MAX. (A);SATURATION CURRENT DC (A) (1)
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER1R0M;IHSM7832ER1R0L;1.0;0.011;9.0;5.3
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER1R2M;IHSM7832ER1R2L;1.2;0.012;8.8;4.8
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER1R5M;IHSM7832ER1R5L;1.5;0.012;8.6;4.4
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER1R8M;IHSM7832ER1R8L;1.8;0.013;8.5;4.0
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER2R2M;IHSM7832ER2R2L;2.2;0.014;8.4;3.6
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER2R7M;IHSM7832ER2R7L;2.7;0.016;8.2;3.2
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER3R3M;IHSM7832ER3R3L;3.3;0.017;8.1;2.8
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER3R9M;IHSM7832ER3R9L;3.9;0.02;7.3;2.6
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER4R7M;IHSM7832ER4R7L;4.7;0.023;6.7;2.4
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER5R6M;IHSM7832ER5R6L;5.6;0.025;6.0;2.3
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER6R8M;IHSM7832ER6R8L;6.8;0.028;5.6;2.1
