File Name,Description,PART NUMBER,"L INDUCTANCE ± 20 %
0
AT 100 kHz, 0.25 V, 0 A
(μH)","DCR TYP.
25 °C
(mΩ)","DCR MAX.
25 °C
(mΩ)","HEAT RATING
CURRENT
DC TYP.
(A) (1)","SATURATION
CURRENT
DC TYP.
(A) (2)","SRF TY
(MHz)"
IHLP-2020BZ-A1,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Saturation Series
FEATURES
• Low profile inductor with excellent saturation
for maximum ripple regulation and transient",IHLP2020BZERR10MA1,0.1,3.6,3.9,17.0,45.0,239.0
IHLP-2020BZ-A1,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Saturation Series
FEATURES
• Low profile inductor with excellent saturation
for maximum ripple regulation and transient",IHLP2020BZERR22MA1,0.22,4.9,5.2,15.0,22.0,145.0
IHLP-2020BZ-A1,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Saturation Series
FEATURES
• Low profile inductor with excellent saturation
for maximum ripple regulation and transient",IHLP2020BZERR33MA1,0.33,7.6,8.2,12.0,25.0,125.0
IHLP-2020BZ-A1,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Saturation Series
FEATURES
• Low profile inductor with excellent saturation
for maximum ripple regulation and transient",IHLP2020BZERR47MA1,0.47,8.9,9.4,11.5,21.0,98.0
IHLP-2020BZ-A1,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Saturation Series
FEATURES
• Low profile inductor with excellent saturation
for maximum ripple regulation and transient",IHLP2020BZERR68MA1,0.68,11.2,12.4,10.0,15.0,77.0
IHLP-2020BZ-A1,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Saturation Series
FEATURES
• Low profile inductor with excellent saturation
for maximum ripple regulation and transient",IHLP2020BZER1R0MA1,1.0,18.9,20.0,7.0,16.0,62.0
IHLP-2020BZ-A1,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Saturation Series
FEATURES
• Low profile inductor with excellent saturation
for maximum ripple regulation and transient",IHLP2020BZER2R2MA1,2.2,45.6,50.1,4.2,9.5,39.0
IHLP-2020BZ-A1,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Saturation Series
FEATURES
• Low profile inductor with excellent saturation
for maximum ripple regulation and transient",IHLP2020BZER3R3MA1,3.3,79.2,85.5,3.3,8.5,30.0
IHLP-2020BZ-A1,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Saturation Series
FEATURES
• Low profile inductor with excellent saturation
for maximum ripple regulation and transient",IHLP2020BZER4R7MA1,4.7,108.0,116.6,2.8,5.0,28.0
IHLP-2020BZ-A1,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Saturation Series
FEATURES
• Low profile inductor with excellent saturation
for maximum ripple regulation and transient",IHLP2020BZER5R6MA1,5.6,113.0,122.0,2.5,4.5,24.0
IHLP-2020BZ-A1,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Saturation Series
FEATURES
• Low profile inductor with excellent saturation
for maximum ripple regulation and transient",IHLP2020BZER6R8MA1,6.8,139.0,150.0,2.4,4.3,21.0
