Series;Product Image;Type;SMD Size Class;Height;Inductance;DC;Saturation Current;Impedance;DCR MAX.;Operating temperature;Image path;Path to the PDF;Path to the ZIP
IHLP-0806AB-5A;Enlarge;Power Inductors;;1.2;240 nH;5.1 A;5.0;;0.02;-55 to +165;image\small_inductors\34618.png;Datasheet\IHLP-0806AB-5A\IHLP-0806AB-5A.pdf;None
IHLP-0806AB-5A;Enlarge;Power Inductors;;1.2;330 nH;4.7 A;4.8;;0.023;-55 to +165;image\small_inductors\34618.png;Datasheet\IHLP-0806AB-5A\IHLP-0806AB-5A.pdf;None
IHLP-0806AB-5A;Enlarge;Power Inductors;;1.2;470 nH;4.6 A;4.5;;0.025;-55 to +165;image\small_inductors\34618.png;Datasheet\IHLP-0806AB-5A\IHLP-0806AB-5A.pdf;None
IHLP-0806AB-5A;Enlarge;Power Inductors;;1.2;220 nH;5.8 A;5.1;;0.018;-55 to +165;image\small_inductors\34618.png;Datasheet\IHLP-0806AB-5A\IHLP-0806AB-5A.pdf;None
IHLP-1008ABEZ-5A;Enlarge;Power Inductors;;1.2;1 µH;3.8 A;3.9;;0.042;-55 to +165;image\small_inductors\34609.png;Datasheet\IHLP-1008ABEZ-5A\IHLP-1008ABEZ-5A.pdf;None
IHLP-1008ABEZ-5A;Enlarge;Power Inductors;;1.2;2.2 µH;2.6 A;2.8;;0.084;-55 to +165;image\small_inductors\34609.png;Datasheet\IHLP-1008ABEZ-5A\IHLP-1008ABEZ-5A.pdf;None
IHLP-1008ABEZ-5A;Enlarge;Power Inductors;;1.2;150 nH;6.5 A;8.5;;0.015;-55 to +165;image\small_inductors\34609.png;Datasheet\IHLP-1008ABEZ-5A\IHLP-1008ABEZ-5A.pdf;None
IHLP-1008ABEZ-5A;Enlarge;Power Inductors;;1.2;470 nH;4.7 A;5.3;;0.026;-55 to +165;image\small_inductors\34609.png;Datasheet\IHLP-1008ABEZ-5A\IHLP-1008ABEZ-5A.pdf;None
IHLP-1212AB-01;Enlarge;Power Inductors;;1.2;220 nH;7.93 A;10.23;;0.01321;-55 to +125;image\small_inductors\34539.png;Datasheet\IHLP-1212AB-01\IHLP-1212AB-01.pdf;Datasheet\IHLP-1212AB-01\IHLP-1212AB-01.zip
IHLP-1212AB-01;Enlarge;Power Inductors;;1.2;1.2 µH;3.81 A;5.61;;0.06279;-55 to +125;image\small_inductors\34539.png;Datasheet\IHLP-1212AB-01\IHLP-1212AB-01.pdf;Datasheet\IHLP-1212AB-01\IHLP-1212AB-01.zip
IHLP-1212AB-01;Enlarge;Power Inductors;;1.2;330 nH;6.96 A;9.32;;0.01834;-55 to +125;image\small_inductors\34539.png;Datasheet\IHLP-1212AB-01\IHLP-1212AB-01.pdf;Datasheet\IHLP-1212AB-01\IHLP-1212AB-01.zip
IHLP-1212AB-01;Enlarge;Power Inductors;;1.2;100 nH;10.48 A;18.92;;0.00961;-55 to +125;image\small_inductors\34539.png;Datasheet\IHLP-1212AB-01\IHLP-1212AB-01.pdf;Datasheet\IHLP-1212AB-01\IHLP-1212AB-01.zip
IHLP-1212AB-01;Enlarge;Power Inductors;;1.2;470 nH;5.86 A;8.17;;0.02739;-55 to +125;image\small_inductors\34539.png;Datasheet\IHLP-1212AB-01\IHLP-1212AB-01.pdf;Datasheet\IHLP-1212AB-01\IHLP-1212AB-01.zip
IHLP-1212AB-01;Enlarge;Power Inductors;;1.2;150 nH;9.06 A;13.13;;0.01214;-55 to +125;image\small_inductors\34539.png;Datasheet\IHLP-1212AB-01\IHLP-1212AB-01.pdf;Datasheet\IHLP-1212AB-01\IHLP-1212AB-01.zip
IHLP-1212AB-01;Enlarge;Power Inductors;;1.2;1 µH;4.13 A;5.85;;0.05372;-55 to +125;image\small_inductors\34539.png;Datasheet\IHLP-1212AB-01\IHLP-1212AB-01.pdf;Datasheet\IHLP-1212AB-01\IHLP-1212AB-01.zip
IHLP-1212AB-11;Enlarge;Power Inductors;;1.2;470 nH;6.4 A;7.0;;0.0195;-55 to +125;image\small_inductors\34299.png;Datasheet\IHLP-1212AB-11\IHLP-1212AB-11.pdf;None
IHLP-1212AB-11;Enlarge;Power Inductors;;1.2;560 nH;5.1 A;6.7;;0.022;-55 to +125;image\small_inductors\34299.png;Datasheet\IHLP-1212AB-11\IHLP-1212AB-11.pdf;None
IHLP-1212AB-11;Enlarge;Power Inductors;;1.2;220 nH;9.3 A;9.3;;0.0114;-55 to +125;image\small_inductors\34299.png;Datasheet\IHLP-1212AB-11\IHLP-1212AB-11.pdf;None
IHLP-1212AB-11;Enlarge;Power Inductors;;1.2;680 nH;4 A;5.5;;0.025;-55 to +125;image\small_inductors\34299.png;Datasheet\IHLP-1212AB-11\IHLP-1212AB-11.pdf;None
IHLP-1212AB-11;Enlarge;Power Inductors;;1.2;330 nH;7.2 A;8.7;;0.0143;-55 to +125;image\small_inductors\34299.png;Datasheet\IHLP-1212AB-11\IHLP-1212AB-11.pdf;None
