File Name,Description,PART NUMBER,"L
0
INDUCTANCE
± 20 % AT
100 kHz,
0.25 V, 0 A
(μH)","DCR
TYP.
25 °C
(mΩ)","DCR
MAX.
25 °C
(mΩ)","HEAT
RATING
CURRENT
DC TYP.
(A) (1)","SATURATION
CURRENT
DC TYP.
(A) (2)","SRF
TYP.
(MHz)"
IHLP-2525AH-L1,"www.vishay.com Vishay Dale
IHLP® Tin/Lead Inductors, High Saturation Series
FEATURES
• Lowest height (1.8 mm) in this package footprint
• Shielded construction",IHLP2525AHERR1ML1,0.1,3.0,3.5,18.0,40.0,288.0
IHLP-2525AH-L1,"www.vishay.com Vishay Dale
IHLP® Tin/Lead Inductors, High Saturation Series
FEATURES
• Lowest height (1.8 mm) in this package footprint
• Shielded construction",IHLP2525AHERR15ML1,0.15,4.7,5.2,15.0,38.0,222.0
IHLP-2525AH-L1,"www.vishay.com Vishay Dale
IHLP® Tin/Lead Inductors, High Saturation Series
FEATURES
• Lowest height (1.8 mm) in this package footprint
• Shielded construction",IHLP2525AHERR22ML1,0.22,5.3,5.7,14.0,26.0,183.0
IHLP-2525AH-L1,"www.vishay.com Vishay Dale
IHLP® Tin/Lead Inductors, High Saturation Series
FEATURES
• Lowest height (1.8 mm) in this package footprint
• Shielded construction",IHLP2525AHERR33ML1,0.33,6.6,7.0,12.0,18.0,136.0
IHLP-2525AH-L1,"www.vishay.com Vishay Dale
IHLP® Tin/Lead Inductors, High Saturation Series
FEATURES
• Lowest height (1.8 mm) in this package footprint
• Shielded construction",IHLP2525AHERR47ML1,0.47,8.4,9.3,11.0,18.0,96.0
IHLP-2525AH-L1,"www.vishay.com Vishay Dale
IHLP® Tin/Lead Inductors, High Saturation Series
FEATURES
• Lowest height (1.8 mm) in this package footprint
• Shielded construction",IHLP2525AHERR68ML1,0.68,12.7,13.9,9.0,17.0,84.0
IHLP-2525AH-L1,"www.vishay.com Vishay Dale
IHLP® Tin/Lead Inductors, High Saturation Series
FEATURES
• Lowest height (1.8 mm) in this package footprint
• Shielded construction",IHLP2525AHERR82ML1,0.82,13.8,15.9,8.0,17.0,78.0
IHLP-2525AH-L1,"www.vishay.com Vishay Dale
IHLP® Tin/Lead Inductors, High Saturation Series
FEATURES
• Lowest height (1.8 mm) in this package footprint
• Shielded construction",IHLP2525AHER1R0ML1,1.0,17.5,18.3,7.0,14.0,65.0
IHLP-2525AH-L1,"www.vishay.com Vishay Dale
IHLP® Tin/Lead Inductors, High Saturation Series
FEATURES
• Lowest height (1.8 mm) in this package footprint
• Shielded construction",IHLP2525AHER1R5ML1,1.5,32.6,34.0,4.0,11.5,50.0
IHLP-2525AH-L1,"www.vishay.com Vishay Dale
IHLP® Tin/Lead Inductors, High Saturation Series
FEATURES
• Lowest height (1.8 mm) in this package footprint
• Shielded construction",IHLP2525AHER2R2ML1,2.2,40.3,46.0,3.75,13.0,43.0
IHLP-2525AH-L1,"www.vishay.com Vishay Dale
IHLP® Tin/Lead Inductors, High Saturation Series
FEATURES
• Lowest height (1.8 mm) in this package footprint
• Shielded construction",IHLP2525AHER2R5ML1,2.5,49.9,52.4,3.5,10.4,37.0
IHLP-2525AH-L1,"www.vishay.com Vishay Dale
IHLP® Tin/Lead Inductors, High Saturation Series
FEATURES
• Lowest height (1.8 mm) in this package footprint
• Shielded construction",IHLP2525AHER3R3ML1,3.3,56.2,60.1,3.25,10.0,36.0
IHLP-2525AH-L1,"www.vishay.com Vishay Dale
IHLP® Tin/Lead Inductors, High Saturation Series
FEATURES
• Lowest height (1.8 mm) in this package footprint
• Shielded construction",IHLP2525AHER4R7ML1,4.7,76.6,78.0,3.0,8.0,25.0
