File Name;Image Path;Description;PART NUMBER;IND. (μH);TOL.;TEST FREQ. (MHz);Q MIN.;SRF MIN. (MHz);DCR MAX. ();RATED DC CURRENT (mA) (1)
ISC-1812;image/small_inductors/34061.png;Wirewound, Surface-Mount, Molded, Shielded Inductors;ISC1812ER000M;;;L & Q;;;;
ISC-1812;image/small_inductors/34061.png;Wirewound, Surface-Mount, Molded, Shielded Inductors;ISC1812ER000M;0.10 0.12 0.15 0.18 0.22 0.33 0.39 0.47 0.56 0.68 0.82 0.8 1.0 1.2 1.5 1.8 2.2 2.7 3.3 3.9 4.7 5.6 6.8 8.2 10.0 12.0 15.0 18.0 22.0 27.0 33.0 39.0 47.0 56.0 68.0 82.0 100.0 120.0 150.0 180.0 220.0 270.0 330.0 390.0 470.0 560.0 680.0 820.0 1000.0;± 20 % ± 20 % ± 20 % ± 20 % ± 20 % ± 20 % ± 20 % ± 20 % ± 20 % ± 20 % ± 20 % ± 20 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 % ± 10 %;25.2 25.2 25.2 25.2 25.2 25.2 25.2 25.2 25.2 25.2 25.2 25.2 7.96 7.96 7.96 7.96 7.96 7.96 7.96 7.96 7.96 7.96 7.96 7.96 2.52 2.52 2.52 2.52 2.52 2.52 2.52 2.52 2.52 2.52 2.52 2.52 0.796 0.796 0.796 0.796 0.796 0.796 0.796 0.796 0.796 0.796 0.796 0.796 0.252;30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 50 50 50 50 50 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 30 40 30 30;460 400 390 350 310 280 240 215 205 195 165 155 140 120 100 90.0 80.0 67.0 61.0 56.0 50.0 40.0 32.0 30.0 25.0 22.0 18.0 15.0 14.0 13.0 12.0 11.0 9.0 8.0 7.6 7.2 7.0 6.0 5.0 4.5 4.2 4.0 3.7 3.5 3.3 2.8 2.6 2.2 2.0;0.23 0.26 0.29 0.32 0.36 0.40 0.45 0.60 0.75 0.80 0.95 1.20 0.35 0.38 0.40 0.43 0.46 0.49 0.55 0.59 0.62 0.69 0.75 0.82 0.90 1.00 1.10 1.24 1.36 1.56 1.72 1.89 2.10 2.34 2.60 2.86 3.25 3.64 4.16 5.72 6.30 6.90 7.54 8.20 9.20 10.50 12.00 13.50 16.00;552 519 491 468 441 418 394 342 306 296 271 242 447 429 418 403 390 378 357 344 336 333 306 292 279 265 252 238 227 212 202 192 183 173 164 156 147 139 130 111 105 101 96 92 87 82 76 72 66
