File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (m);DCR MAX. 25 °C (m);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2)
IHLP-5050CE-L1;image/small_inductors/34183.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP5050CEER000ML1;0.10 0.8 0.96 43 84 0.15 1 1.2 41 75 0.22 1.1 1.3 38.5 65 0.33 1.3 1.5 36.5 62 0.47 1.6 2 32 55 0.60 1.8 2.2 229 51 0.68 2.3 2.5 28 49 0.82 2.6 3 25 44;;;;
IHLP-5050CE-L1;image/small_inductors/34183.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP5050CEER000ML1;1.0 3.3 3.5 24 40 1.5 5.1 5.5 19 35 1.8 6.5 7 16.5 30 2.2 7.2 8 16 29 3.3 11 12 12 27 4.7 14.3 15 10 24 5.6 17.1 19 9.5 19 6.8 19.8 22 9 18 8.2 24.8 28 8.5 16 10 30.4 34 7 14;;;;
