File Name;Image Path;Description;PART NUMBER;INDUCTANCE (μH);TOL.;THICKNESS “D” (INCHES [mm]);TEST FREQ. (MHz);Q MIN.;SRF MIN. (MHz);DCR MAX. ();RATED DC CURRENT (mA)
ILSB-0805;image/small_inductors/34028.png;Monolithic Chip Inductors;ILSB0805ER000M;;;;L AND Q;;;;
ILSB-0805;image/small_inductors/34028.png;Monolithic Chip Inductors;ILSB0805ER000M;0.047 0.056 0.068 0.082 0.10 0.12 0.15 0.18 0.22 0.27 0.33 0.39 0.47 0.56 0.68 0.82 1.0 1.2 1.5 1.8 2.2 2.7 3.3 3.9 4.7 5.6 6.8 8.2 10 12 15 18 22 27 33;20 % 20 % 20 % 20 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 %;0.035 ± 0.008 [0.90 ± 0.2] 0.035 ± 0.008 [0.90 ± 0.2] 0.035 ± 0.008 [0.90 ± 0.2] 0.035 ± 0.008 [0.90 ± 0.2] 0.035 ± 0.008 [0.90 ± 0.2] 0.035 ± 0.008 [0.90 ± 0.2] 0.035 ± 0.008 [0.90 ± 0.2] 0.035 ± 0.008 [0.90 ± 0.2] 0.035 ± 0.008 [0.90 ± 0.2] 0.035 ± 0.008 [0.90 ± 0.2] 0.035 ± 0.008 [0.90 ± 0.2] 0.035 ± 0.008 [0.90 ± 0.2] 0.035 ± 0.008 [0.90 ± 0.2] 0.035 ± 0.008 [0.90 ± 0.2] 0.035 ± 0.008 [0.90 ± 0.2] 0.035 ± 0.008 [0.90 ± 0.2] 0.035 ± 0.008 [0.90 ± 0.2] 0.035 ± 0.008 [0.90 ± 0.2] 0.035 ± 0.008 [0.90 ± 0.2] 0.035 ± 0.008 [0.90 ± 0.2] 0.035 ± 0.008 [0.90 ± 0.2] 0.049 ± 0.008 [1.25 ± 0.2] 0.049 ± 0.008 [1.25 ± 0.2] 0.049 ± 0.008 [1.25 ± 0.2] 0.049 ± 0.008 [1.25 ± 0.2] 0.049 ± 0.008 [1.25 ± 0.2] 0.049 ± 0.008 [1.25 ± 0.2] 0.049 ± 0.008 [1.25 ± 0.2] 0.049 ± 0.008 [1.25 ± 0.2] 0.049 ± 0.008 [1.25 ± 0.2] 0.049 ± 0.008 [1.25 ± 0.2] 0.049 ± 0.008 [1.25 ± 0.2] 0.049 ± 0.008 [1.25 ± 0.2] 0.049 ± 0.008 [1.25 ± 0.2] 0.049 ± 0.008 [1.25 ± 0.2];50 50 50 50 25 25 25 25 25 25 25 25 25 25 25 25 10 10 10 10 10 10 10 10 10 4 4 4 2 2 1 1 1 1 0.4;15 15 15 15 20 20 20 20 20 20 20 25 25 25 25 25 45 45 45 45 45 45 45 45 45 45 45 45 50 50 30 30 30 30 30;320 300 280 255 279 253 230 213 196 173 167 156 144 133 121 115 87 75 69 64 58 52 48 44 41 37 34 30 28 26 22 21 19 17 13;0.20 0.20 0.20 0.20 0.30 0.30 0.40 0.40 0.50 0.50 0.55 0.65 0.65 0.75 0.80 1.00 0.40 0.50 0.50 0.60 0.65 0.75 0.80 0.90 1.00 0.90 1.00 1.10 1.15 1.25 0.80 0.90 1.10 1.15 1.25;300 300 300 300 250 250 250 250 250 250 250 200 200 150 150 150 50 50 50 50 30 30 30 30 30 15 15 15 15 15 5 5 5 5 5
