File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANC ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);E DCR TYP. 25 °C (m);DCR MAX. 25 °C (m);HEAT RATING CURRENT DC TYP. (A) (3);SATURATION CURRENT DC TYP. (A) (4);SRF TYP. (MHz)
IHTH-0750IZ-51;image/small_inductors/34394.png;High Current Through Hole Inductor,;IHTH0750IZER0R47M51;0.47;0.47;0.52;83.0;44.0;67.00
IHTH-0750IZ-51;image/small_inductors/34394.png;High Current Through Hole Inductor,;IHTH0750IZER1R0M51;1.0;0.87;0.92;66.0;44.0;35.70
IHTH-0750IZ-51;image/small_inductors/34394.png;High Current Through Hole Inductor,;IHTH0750IZER2R2M51;2.2;1.51;1.63;45.0;38.0;17.85
IHTH-0750IZ-51;image/small_inductors/34394.png;High Current Through Hole Inductor,;IHTH0750IZER3R3M51;3.3;2.28;2.40;40.0;33.0;16.70
IHTH-0750IZ-51;image/small_inductors/34394.png;High Current Through Hole Inductor,;IHTH0750IZER4R7M51;4.7;2.85;3.00;30.0;26.0;13.22
IHTH-0750IZ-51;image/small_inductors/34394.png;High Current Through Hole Inductor,;IHTH0750IZER6R8M51;6.8;3.97;4.18;24.5;22.0;9.50
IHTH-0750IZ-51;image/small_inductors/34394.png;High Current Through Hole Inductor,;IHTH0750IZER8R2M51;8.2;5.7;6.14;20.0;14.5;11.60
IHTH-0750IZ-51;image/small_inductors/34394.png;High Current Through Hole Inductor,;IHTH0750IZER100M51;10;7.32;7.70;17.7;13.0;9.77
IHTH-0750IZ-51;image/small_inductors/34394.png;High Current Through Hole Inductor,;IHTH0750IZER220M51;22;12.56;13.22;12.7;11.5;6.42
IHTH-0750IZ-51;image/small_inductors/34394.png;High Current Through Hole Inductor,;IHTH0750IZER330M51;33;22.61;23.80;9.5;10.0;4.58
IHTH-0750IZ-51;image/small_inductors/34394.png;High Current Through Hole Inductor,;IHTH0750IZER470M51;47;35.34;37.20;6.8;6.5;4.28
IHTH-0750IZ-51;image/small_inductors/34394.png;High Current Through Hole Inductor,;IHTH0750IZER680M51;68;46.47;48.92;6.2;6.2;2.74
IHTH-0750IZ-51;image/small_inductors/34394.png;High Current Through Hole Inductor,;IHTH0750IZER820M51;82;55.20;58.10;5.2;6.0;3.09
IHTH-0750IZ-51;image/small_inductors/34394.png;High Current Through Hole Inductor,;IHTH0750IZER101M51;100;60.80;64.00;5.0;5.2;2.63
