File Name,Description,PART NUMBER,"L
0
INDUCTANC
± 20 %
AT 100 kHz,
0.25 V, 0 A
(μH)","E
DCR
TYP.
25 °C
(m)","DCR
MAX.
25 °C
(m)","HEAT
RATING
CURRENT
DC TYP.
(A) (1)","SATURATION
CURRENT
DC TYP.
(A) (2)","SRF
TYP.
(MHz)"
IHLP-2020BZ-11,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, Low DCR Series
FEATURES
• Shielded construction
• Lowest DCR/μH, in this package size",IHLP2020BZERR1M11,0.1,2.7,2.9,21.0,25.0,266.0
IHLP-2020BZ-11,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, Low DCR Series
FEATURES
• Shielded construction
• Lowest DCR/μH, in this package size",IHLP2020BZERR22M11,0.22,4.1,4.5,17.0,13.0,146.0
IHLP-2020BZ-11,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, Low DCR Series
FEATURES
• Shielded construction
• Lowest DCR/μH, in this package size",IHLP2020BZERR33M11,0.33,5.5,5.9,13.0,7.5,108.0
IHLP-2020BZ-11,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, Low DCR Series
FEATURES
• Shielded construction
• Lowest DCR/μH, in this package size",IHLP2020BZERR47M11,0.47,7.1,7.7,12.5,8.0,83.0
IHLP-2020BZ-11,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, Low DCR Series
FEATURES
• Shielded construction
• Lowest DCR/μH, in this package size",IHLP2020BZER1R0M11,1.0,16.8,18.1,7.5,7.0,66.0
IHLP-2020BZ-11,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, Low DCR Series
FEATURES
• Shielded construction
• Lowest DCR/μH, in this package size",IHLP2020BZER2R2M11,2.2,34.9,37.7,5.0,5.5,41.0
IHLP-2020BZ-11,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, Low DCR Series
FEATURES
• Shielded construction
• Lowest DCR/μH, in this package size",IHLP2020BZER3R3M11,3.3,53.5,57.8,4.1,4.7,29.0
IHLP-2020BZ-11,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, Low DCR Series
FEATURES
• Shielded construction
• Lowest DCR/μH, in this package size",IHLP2020BZER4R7M11,4.7,75.3,81.3,3.2,3.0,27.0
IHLP-2020BZ-11,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, Low DCR Series
FEATURES
• Shielded construction
• Lowest DCR/μH, in this package size",IHLP2020BZER5R6M11,5.6,85.2,92.0,3.0,2.2,24.0
IHLP-2020BZ-11,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, Low DCR Series
FEATURES
• Shielded construction
• Lowest DCR/μH, in this package size",IHLP2020BZER6R8M11,6.8,114.0,121.0,2.8,2.1,21.0
IHLP-2020BZ-11,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, Low DCR Series
FEATURES
• Shielded construction
• Lowest DCR/μH, in this package size",IHLP2020BZER100M11,10.0,169.3,182.8,2.2,2.0,17.0
