File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2);SRF TYP. (MHz)
IHTH-1125KZ-5A;image/small_inductors/34349.png;High Current Through-Hole Inductor,;IHTH1125KZER0R47M5A;0.47;0.26;0.30;125;112;57.25
IHTH-1125KZ-5A;image/small_inductors/34349.png;High Current Through-Hole Inductor,;IHTH1125KZER1R0M5A;1.0;0.43;0.50;90;65;29.30
IHTH-1125KZ-5A;image/small_inductors/34349.png;High Current Through-Hole Inductor,;IHTH1125KZER2R2M5A;2.2;0.70;0.77;72;64;17.25
IHTH-1125KZ-5A;image/small_inductors/34349.png;High Current Through-Hole Inductor,;IHTH1125KZER3R3M5A;3.3;1.40;1.50;57;62;15.8
IHTH-1125KZ-5A;image/small_inductors/34349.png;High Current Through-Hole Inductor,;IHTH1125KZER4R7M5A;4.7;1.70;1.82;50;52;11.36
IHTH-1125KZ-5A;image/small_inductors/34349.png;High Current Through-Hole Inductor,;IHTH1125KZER6R8M5A;6.8;1.84;1.97;44.5;44;9.35
IHTH-1125KZ-5A;image/small_inductors/34349.png;High Current Through-Hole Inductor,;IHTH1125KZER8R2M5A;8.2;2.82;3.00;34.5;32;9.24
IHTH-1125KZ-5A;image/small_inductors/34349.png;High Current Through-Hole Inductor,;IHTH1125KZER000M5A;10 15;3.20 4.45;3.64 4.76;33 26;30 20;7.76 6.17
IHTH-1125KZ-5A;image/small_inductors/34349.png;High Current Through-Hole Inductor,;IHTH1125KZER220M5A;22;6.39;6.83;21.0;23;5.61
IHTH-1125KZ-5A;image/small_inductors/34349.png;High Current Through-Hole Inductor,;IHTH1125KZER330M5A;33;10.6;11.3;15.9;18;4.20
IHTH-1125KZ-5A;image/small_inductors/34349.png;High Current Through-Hole Inductor,;IHTH1125KZER470M5A;47;13.2;14.6;14.0;16.2;2.99
IHTH-1125KZ-5A;image/small_inductors/34349.png;High Current Through-Hole Inductor,;IHTH1125KZER680M5A;68;25.6;27.4;10.5;9.6;2.95
IHTH-1125KZ-5A;image/small_inductors/34349.png;High Current Through-Hole Inductor,;IHTH1125KZER101M5A;100;30.7;32.2;8.8;6.0;2.04
