File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2)
IHLP-6767GZ-L1;image/small_inductors/34284.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP6767GZER0R22ML1;0.22;0.63;0.70;80;129
IHLP-6767GZ-L1;image/small_inductors/34284.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP6767GZER0R33ML1;0.33;0.71;0.79;65;126
IHLP-6767GZ-L1;image/small_inductors/34284.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP6767GZER0R47ML1;0.47;0.90;1.03;62;123
IHLP-6767GZ-L1;image/small_inductors/34284.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP6767GZER0R56ML1;0.56;0.91;1.00;56;88
IHLP-6767GZ-L1;image/small_inductors/34284.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP6767GZER0R82ML1;0.82;1.17;1.29;50;73
IHLP-6767GZ-L1;image/small_inductors/34284.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP6767GZER1R0ML1;1.0;1.28;1.35;48;73
IHLP-6767GZ-L1;image/small_inductors/34284.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP6767GZER1R5ML1;1.5;1.78;1.88;42;65
IHLP-6767GZ-L1;image/small_inductors/34284.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP6767GZER1R8ML1;1.8;1.96;2.07;38;65
IHLP-6767GZ-L1;image/small_inductors/34284.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP6767GZER2R2ML1;2.2;2.40;2.53;35;62
IHLP-6767GZ-L1;image/small_inductors/34284.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP6767GZER3R3ML1;3.3;3.68;3.88;28;54
IHLP-6767GZ-L1;image/small_inductors/34284.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP6767GZER4R7ML1;4.7;4.84;5.11;25;41
IHLP-6767GZ-L1;image/small_inductors/34284.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP6767GZER000ML1;5.6 6.8;6.68 8.37;7.05 8.83;21 19;40 32
IHLP-6767GZ-L1;image/small_inductors/34284.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP6767GZER8R2ML1;8.2;10.10;10.66;18;25
IHLP-6767GZ-L1;image/small_inductors/34284.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP6767GZER100ML1;10.0;11.6;12.0;16.5;25
IHLP-6767GZ-L1;image/small_inductors/34284.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP6767GZER150ML1;15.0;18.8;19.9;12.5;25
IHLP-6767GZ-L1;image/small_inductors/34284.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP6767GZER220ML1;22.0;25.1;26.5;11;23
