File Name;Image Path;Description;PART NUMBER;INDUCTANCE (μH);TEST FREQUENCY L;DCR MAX. (Ω);RATED DC CURRENT (A) (1)
IDCP-3916;image/small_inductors/34131.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP3916ER100M;10.0;2.52 MHz;0.05;2.38
IDCP-3916;image/small_inductors/34131.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP3916ER120M;12.0;2.52 MHz;0.06;2.13
IDCP-3916;image/small_inductors/34131.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP3916ER150M;15.0;2.52 MHz;0.07;1.87
IDCP-3916;image/small_inductors/34131.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP3916ER180M;18.0;2.52 MHz;0.08;1.73
IDCP-3916;image/small_inductors/34131.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP3916ER220M;22.0;2.52 MHz;0.09;1.60
IDCP-3916;image/small_inductors/34131.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP3916ER270M;27.0;2.52 MHz;0.10;1.44
IDCP-3916;image/small_inductors/34131.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP3916ER330M;33.0;2.52 MHz;0.12;1.26
IDCP-3916;image/small_inductors/34131.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP3916ER390M;39.0;2.52 MHz;0.15;1.20
IDCP-3916;image/small_inductors/34131.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP3916ER470M;47.0;2.52 MHz;0.17;1.10
IDCP-3916;image/small_inductors/34131.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP3916ER560M;56.0;2.52 MHz;0.20;1.01
IDCP-3916;image/small_inductors/34131.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP3916ER680M;68.0;2.52 MHz;0.22;0.91
IDCP-3916;image/small_inductors/34131.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP3916ER820M;82.0;2.52 MHz;0.25;0.85
IDCP-3916;image/small_inductors/34131.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP3916ER101M;100.0;1 kHz;0.34;0.74
IDCP-3916;image/small_inductors/34131.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP3916ER121M;120.0;1 kHz;0.40;0.69
IDCP-3916;image/small_inductors/34131.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP3916ER151M;150.0;1 kHz;0.54;0.61
IDCP-3916;image/small_inductors/34131.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP3916ER181M;180.0;1 kHz;0.62;0.56
IDCP-3916;image/small_inductors/34131.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP3916ER221M;220.0;1 kHz;0.72;0.53
IDCP-3916;image/small_inductors/34131.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP3916ER271M;270.0;1 kHz;0.95;0.45
IDCP-3916;image/small_inductors/34131.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP3916ER331M;330.0;1 kHz;1.10;0.42
IDCP-3916;image/small_inductors/34131.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP3916ER391M;390.0;1 kHz;1.24;0.38
IDCP-3916;image/small_inductors/34131.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP3916ER471M;470.0;1 kHz;1.53;0.35
IDCP-3916;image/small_inductors/34131.png;High Current, Surface Mount Inductors - Non-Shielded;IDCP3916ER561M;560.0;1 kHz;1.90;0.32
