Series▲▼(all)Pha... Surge Suppressor CapacitorsZoa… Surge Suppressor Capacitors;Product Image;Type▲▼(all)1-phase or 3-phase units, capacitor banks 36 kVZoaso;Technology▲▼(all)All-film polypropylene / aluminum foilAll-film polypropylene / aluminum foil, MKP;Description▲▼(all)Surge suppressor capacitors, indoor / outdoorZinc oxide RC-surge suppressor (ZORC) for HV-motor and transformers;Voltage Min.(V)▲▼(all)1000;Voltage Max.(V)▲▼(all)11 00036 000;Capacitance Min.▲▼(all)0.1 µF;Capacitance Max.▲▼(all)0.5 µF0.6 µF;Frequency Min. (Hz)▲▼(all)50;Frequency Max. (Hz)▲▼(all)60;Image path
Pha... Surge Suppressor Capacitors;Enlarge;1-phase or 3-phase units, capacitor banks 36 kV;All-film polypropylene / aluminum foil;Surge suppressor capacitors, indoor / outdoor;1000;36 000;0.1 µF;0.5 µF;50;60;image/capacitors/power-heavy-current/surge-suppressor/13189.png
Zoa… Surge Suppressor Capacitors;Enlarge;Zoaso;All-film polypropylene / aluminum foil, MKP;Zinc oxide RC-surge suppressor (ZORC) for HV-motor and transformers;1000;11 000;0.1 µF;0.6 µF;50;60;image/capacitors/power-heavy-current/surge-suppressor/13192.png
