Series▲▼(all)ESTAmat MH-NESTAmat PFC-N;Product Image;Type▲▼(all)Power Factor Controller;Description▲▼(all)Measuring voltage = Supply voltage: 230 VAC ± 10 %, 6 or 12 stepsMeasuring voltage: 90 VAC to 690 VAC,  supply voltage: 90 VAC to 300 VAC, 45 Hz to 65 Hz, 6 or 12 steps;Voltage Max.(V)▲▼(all)230 + 10 %690;Image path
ESTAmat MH-N;Enlarge;Power Factor Controller;Measuring voltage = Supply voltage: 230 VAC ± 10 %, 6 or 12 steps;230 + 10 %;image/capacitors/power-heavy-current/power-factor-controllers/13119.png
ESTAmat PFC-N;Enlarge;Power Factor Controller;Measuring voltage: 90 VAC to 690 VAC,  supply voltage: 90 VAC to 300 VAC, 45 Hz to 65 Hz, 6 or 12 steps;690;image/capacitors/power-heavy-current/power-factor-controllers/13120.png
