Series▲▼(all)C/... HVAC 3-Phase Capacitor BanksC/... HVAC 3-Phase Capacitor Banks IP55C/... HVAC MECBPha... HVAC Capacitors 1-PhasePha... HVAC Capacitors 3-Phase;Product Image;Type▲▼(all)3-phase capacitor banks up to 12 kVFixed or switchedHigh voltage AC 1-phaseHigh voltage AC 3-phase capacitor banksHigh voltage AC power capacitors, 3-phase units;Technology▲▼(all)All-film polypropylene / aluminum foilMetal enclosed power modules, air insulated;Description▲▼(all)High voltage AC capacitor banks, indoor / outdoorHigh voltage AC power capacitors, indoor / outdoorHigh voltage power capacitors, indoorMECB, indoor or outdoorPower capacitors IP55, indoor / outdoor;Voltage Min.(V)▲▼(all)1000;Output Min. (kvar)▲▼(all)2550150;Output Max. (kvar)▲▼(all)> 25 00020 00090010006840;Frequency Min. (Hz)▲▼(all)50;Frequency Max. (Hz)▲▼(all)60;Image path
C/... HVAC 3-Phase Capacitor Banks;Enlarge;High voltage AC 3-phase capacitor banks;All-film polypropylene / aluminum foil;High voltage AC capacitor banks, indoor / outdoor;1000;150;> 25 000;50;60;image/capacitors/power-heavy-current/high-voltage-ac/13191.png
C/... HVAC 3-Phase Capacitor Banks IP55;Enlarge;3-phase capacitor banks up to 12 kV;All-film polypropylene / aluminum foil;Power capacitors IP55, indoor / outdoor;1000;50;6840;50;60;image/capacitors/power-heavy-current/high-voltage-ac/13194.png
C/... HVAC MECB;Enlarge;Fixed or switched;Metal enclosed power modules, air insulated;MECB, indoor or outdoor;1000;150;20 000;50;60;image/capacitors/power-heavy-current/high-voltage-ac/13190.png
Pha... HVAC Capacitors 1-Phase;Enlarge;High voltage AC 1-phase;All-film polypropylene / aluminum foil;High voltage AC power capacitors, indoor / outdoor;1000;25;1000;50;60;image/capacitors/power-heavy-current/high-voltage-ac/13045.png
Pha... HVAC Capacitors 3-Phase;Enlarge;High voltage AC power capacitors, 3-phase units;All-film polypropylene / aluminum foil;High voltage power capacitors, indoor;1000;25;900;50;60;image/capacitors/power-heavy-current/high-voltage-ac/13181.png
