File Name,Description,PART NUMBER,"L
0
INDUCTANCE
± 20 %
AT 100 kHz,
0.25 V, 0 A
(μH)","DCR
TYP.
25 °C
(m)","DCR
MAX.
25 °C
(m)","HEAT
RATING
CURRENT
DC TYP.
(A) (1)","SATURATION
CURRENT
DC TYP.
(A) (2)","SRF
TYP.
(MHz)"
IHLP-1212BZ-11,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, Low DCR Series
FEATURES
• Shielded construction
• Excellent DC/DC energy storage up to 1 MHz to",IHLP1212BZERR22M11,0.22,9.5,11.4,6.5,7.5,245.0
IHLP-1212BZ-11,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, Low DCR Series
FEATURES
• Shielded construction
• Excellent DC/DC energy storage up to 1 MHz to",IHLP1212BZERR36M11,0.36,11.5,13.8,6.3,6.5,170.0
IHLP-1212BZ-11,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, Low DCR Series
FEATURES
• Shielded construction
• Excellent DC/DC energy storage up to 1 MHz to",IHLP1212BZERR56M11,0.56,16.2,19.4,5.5,5.5,110.0
IHLP-1212BZ-11,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, Low DCR Series
FEATURES
• Shielded construction
• Excellent DC/DC energy storage up to 1 MHz to",IHLP1212BZERR68M11,0.68,17.0,20.4,5.5,5.0,105.0
IHLP-1212BZ-11,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, Low DCR Series
FEATURES
• Shielded construction
• Excellent DC/DC energy storage up to 1 MHz to",IHLP1212BZERR88M11,0.88,18.5,22.0,5.5,4.5,85.0
IHLP-1212BZ-11,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, Low DCR Series
FEATURES
• Shielded construction
• Excellent DC/DC energy storage up to 1 MHz to",IHLP1212BZER1R0M11,1.0,20.0,24.0,5.0,4.5,75.0
IHLP-1212BZ-11,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, Low DCR Series
FEATURES
• Shielded construction
• Excellent DC/DC energy storage up to 1 MHz to",IHLP1212BZER1R2M11,1.2,23.0,27.0,5.0,4.0,65.0
IHLP-1212BZ-11,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, Low DCR Series
FEATURES
• Shielded construction
• Excellent DC/DC energy storage up to 1 MHz to",IHLP1212BZER1R5M11,1.5,28.5,32.0,3.8,4.0,70.0
IHLP-1212BZ-11,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, Low DCR Series
FEATURES
• Shielded construction
• Excellent DC/DC energy storage up to 1 MHz to",IHLP1212BZER2R2M11,2.2,42.9,46.0,3.0,3.3,55.0
IHLP-1212BZ-11,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, Low DCR Series
FEATURES
• Shielded construction
• Excellent DC/DC energy storage up to 1 MHz to",IHLP1212BZER3R3M11,3.3,56.0,61.0,2.7,3.3,45.0
