File Name;Image Path;Description;PART NUMBER;L INDUCTANCE 0 ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP.;(A) (3);SRF TYP. (MHz)
IHLP-7575GZ-51;image/small_inductors/34572.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP7575GZER000M51;;;;;(A) (2);(A) (3);
IHLP-7575GZ-51;image/small_inductors/34572.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP7575GZER0R56M51;0.56;1.02;1.09;61;70;101;50.0
IHLP-7575GZ-51;image/small_inductors/34572.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP7575GZER1R0M51;1.0;1.25;1.34;55;56;81;31.5
IHLP-7575GZ-51;image/small_inductors/34572.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP7575GZER1R5M51;1.5;1.51;1.62;48;44;63;23.0
IHLP-7575GZ-51;image/small_inductors/34572.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP7575GZER3R3M51;3.3;3.12;3.34;36;28;41;12.3
IHLP-7575GZ-51;image/small_inductors/34572.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP7575GZER8R2M51;8.2;7.23;7.74;20.7;23.1;33;8.7
IHLP-7575GZ-51;image/small_inductors/34572.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP7575GZER100M51;10;9.31;9.96;18.7;21.6;31.1;8.4
IHLP-7575GZ-51;image/small_inductors/34572.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP7575GZER330M51;33;25.2;27.0;10.2;9.9;14.3;4.4
