File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2)
IHLP-5050EZ-A1;image/small_inductors/34248.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050EZER0R1MA1;0.10;0.53;0.60;55.0;118.0
IHLP-5050EZ-A1;image/small_inductors/34248.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050EZER0R22MA1;0.22;0.64;0.80;51.0;110.0
IHLP-5050EZ-A1;image/small_inductors/34248.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050EZER0R33MA1;0.33;0.85;1.1;42.0;80.0
IHLP-5050EZ-A1;image/small_inductors/34248.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050EZER0R47MA1;0.47;1.1;1.3;38.0;65.0
IHLP-5050EZ-A1;image/small_inductors/34248.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050EZER0R56MA1;0.56;1.3;1.5;36.0;55.0
IHLP-5050EZ-A1;image/small_inductors/34248.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050EZER0R68MA1;0.68;1.5;1.7;34.0;54.0
IHLP-5050EZ-A1;image/small_inductors/34248.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050EZER0R82MA1;0.82;2.0;2.3;31.0;53.0
IHLP-5050EZ-A1;image/small_inductors/34248.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050EZER1R0MA1;1.0;2.1;2.5;29.0;50.0
IHLP-5050EZ-A1;image/small_inductors/34248.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050EZER1R5MA1;1.5;3.4;4.1;23.0;48.0
IHLP-5050EZ-A1;image/small_inductors/34248.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050EZER1R8MA1;1.8;4.2;4.9;19.0;40.0
IHLP-5050EZ-A1;image/small_inductors/34248.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050EZER2R2MA1;2.2;4.6;5.5;17.0;32.0
IHLP-5050EZ-A1;image/small_inductors/34248.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050EZER3R3MA1;3.3;7.7;9.2;15.0;32.0
IHLP-5050EZ-A1;image/small_inductors/34248.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050EZER4R7MA1;4.7;12.8;15.0;12.0;27.0
IHLP-5050EZ-A1;image/small_inductors/34248.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050EZER5R6MA1;5.6;14.0;16.5;11.5;22.0
IHLP-5050EZ-A1;image/small_inductors/34248.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050EZER6R8MA1;6.8;15.4;18.5;11.0;21.0
IHLP-5050EZ-A1;image/small_inductors/34248.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050EZER7R8MA1;7.8;17.2;20.5;10.0;18.0
IHLP-5050EZ-A1;image/small_inductors/34248.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050EZER8R2MA1;8.2;18.9;22.5;9.5;18.0
IHLP-5050EZ-A1;image/small_inductors/34248.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050EZER100MA1;10;21.4;25.5;9.0;16.0
IHLP-5050EZ-A1;image/small_inductors/34248.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050EZER150MA1;15;32.5;35;7.1;14.5
